基础信息_Text_ID,基础信息_Original_Text,空间环境特征_Place_Name,空间环境特征_Place_Type,空间环境特征_Spatial_Features_Manmade,空间环境特征_Spatial_Features_Natural,空间环境特征_Spatial_Features_Visual,空间环境特征_Spatial_Features_OtherSensory,认知评价与体验_Sensory_Visual_Desc,认知评价与体验_Sensory_Auditory_Desc,认知评价与体验_Sensory_TactileKinesthetic_Desc,认知评价与体验_Sensory_OlfactoryGustatory_Desc,认知评价与体验_Cognitive_Legibility_Orientation,认知评价与体验_Cognitive_Functionality_Usability,认知评价与体验_Cognitive_Aesthetics_Quality,认知评价与体验_Cognitive_Atmosphere_Experience,认知评价与体验_Cognitive_Meaning_Association,认知评价与体验_Social_CrowdLevel,情感表达_Emotion_Valence,情感表达_Emotion_Discrete,情感表达_Emotion_Intensity,情感表达_Emotion_Shift,行为活动_Social_Company,行为活动_Behavior_Activities,行为活动_Behavior_Social_Interaction_Desc,行为活动_Behavior_Lingering_Mention,行为活动_Behavior_Approach_Avoidance_Intent,行为活动_Behavior_Plan_Change,行为活动_Behavior_Activity_Evaluation,关系抽取_RE_Spatial_Cognitive,关系抽取_RE_Cognitive_Emotion,关系抽取_RE_Emotion_Behavior,关系抽取_RE_Spatial_Emotion,关系抽取_RE_Spatial_Relation,关系抽取_RE_Other,综合摘要_Spatio_Emotional_Cognitive_Behavioral_Summary,筛选
310,阵阵江风微凉， 缓缓漫步江畔， 黑鹰翱翔白云外， 白鹭觅食江滩上， 江水悠悠， 芦苇飘扬， 渡轮开往彼岸， 看！这秋日美好景象。 沿滨江风光带滨江绿道往中山码头方向前行，一路都有零散分布的芦苇，时不时还会看到黑耳鸢在天空和江面盘旋，白鹭在江滩上闲庭信步的觅食，乌龟趴在江边大石头上晒太阳，幸运的话还能看见江豚在水中嬉戏。沿路的芦苇和建筑都很适合拍人像写真。国庆节期间去的，江边人并不多，但是坐轮渡去浦口码头的人还是挺多的。在浦口去了胡杨根馄饨店吃了一碗泡泡馄饨，加了虾皮和榨菜，是老南京馄饨的味道，很好吃。 拍摄时间：2023年10月5日 拍摄地点： 民国首都电厂旧址公园： 图1到图6～夕space餐厅 图7到图9～下关滨江商务区综合指挥中心 滨江绿道沿线，图10到图15 中山码头：可坐轮渡至对岸的浦口码头，票价2元（可刷公交卡）。图16、图17 浦口火车站，可惜去的时候火车站锁了，不能进去拍照。图18 赏花观物写词，纯属个人爱好。图片文案皆原创，禁止商用，转发借用请注明出处或。谢谢！,滨江风光带; 滨江绿道; 中山码头; 浦口码头; 民国首都电厂旧址公园; 夕Space落日餐厅; 下关滨江商务区综合指挥中心; 浦口火车站; 胡杨根馄饨店,滨水区域; 公园/绿地; 地标/空间节点; 商业设施; 交通枢纽,滨江绿道; 建筑群; 渡轮; 码头设施; 餐厅; 馄饨店,江风; 江水; 芦苇; 黑耳鸢; 白鹭; 乌龟; 江豚,秋日景色; 芦苇; 黑耳鸢飞翔; 白鹭觅食; 江水悠悠; 渡轮航行; 人像写真场景,江风微凉; 食物香味,美好; 适合拍人像写真,,江风微凉,食物香味,路线清晰（沿滨江风光带往中山码头方向）,轮渡票价便宜且可刷公交卡,美好景象; 适合拍人像写真,宁静; 自然; 文艺,老南京味道,人不多,Positive,愉悦/开心; 放松/平静,中/一般,否,独自,散步; 拍照; 观景; 乘坐轮渡; 品尝美食,观察自然生物,一路观赏并拍摄,推荐,否,拍摄体验满意，美食体验良好,[滨江风光带] -> [适合拍人像写真]; [老南京馄饨] -> [好吃],[美好景象] -> [愉悦/开心]; [自然氛围] -> [放松/平静],[愉悦/开心] -> [推荐],[秋日江畔景色] -> [愉悦/开心],[滨江风光带] [沿着] [长江]; [中山码头] [通过渡轮连接] [浦口码头]; [民国首都电厂旧址公园] [邻近] [夕Space餐厅],[泡泡馄饨] [配料] [虾皮和榨菜],在滨江风光带（地点/自然特征），进行散步、拍照、观景等活动（行为），感知到江风微凉和自然美景（感官体验），认为景色优美且有文艺感（认知评价），感到愉悦放松（情感表达），并表达了推荐意愿（行为意图）。,0.985039547
901,风太大没能坐上轮渡，有些遗憾。 旧地重游，新的文化街区也开放了，百年老站的背影越走越远。,南京西站; 下关火车主题公园; 铁路轮渡旧址,历史遗迹; 公园/绿地; 交通枢纽,轮渡; 文化街区; 火车站建筑,风,百年老站,风大（触觉）,,,风大,,路线清晰（熟悉区域）,轮渡因天气停运（不便）; 新文化街区开放（功能性提升）,百年老站有历史感,怀旧,历史感; 记忆联想,无法判断,Mixed,遗憾; 怀旧,中/一般,是（期待->遗憾）,无法判断,游览,,旧地重游,未明确表示回避或接近意愿,是（因风大未能乘坐轮渡）,,[轮渡] -> [因风大停运]; [百年老站] -> [有历史感],[有历史感] -> [怀旧]; [未能乘坐轮渡] -> [遗憾],[遗憾] -> [未能乘坐轮渡],[百年老站] -> [怀旧],[新文化街区] [邻近] [百年老站],,在下关滨江区域旧地重游（地点），感知到风大（触觉），认为百年老站具有历史感（认知评价），感到遗憾和怀旧的混合情感（情感），因天气原因未能乘坐轮渡并产生了计划改变（行为意图）。,0.189382997
956,打工人续命工具，迷你小电风扇，好好看，还有三个档位，追剧神器来啦！数量有限，送完为止，冲！7.298.11,无法判断,无法判断,无法判断,无法判断,无法判断,无法判断,无法判断,无法判断,无法判断,无法判断,无法判断,迷你小电风扇有三个档位,迷你小电风扇好看,无法判断,无法判断,无法判断,Positive,愉悦/开心,中/一般,无法判断,无法判断,购买; 获取赠品,无法判断,无法判断,想要获得赠品,无法判断,无法判断,无法判断,[迷你小电风扇好看] -> [愉悦/开心],[愉悦/开心] -> [想要获得赠品],无法判断,无法判断,[迷你小电风扇] [功能] [三个档位]; [迷你小电风扇] [用途] [追剧神器],无法判断,0.866719936
944,"南京栖霞山长江大桥，简称栖霞山大桥，原称南京长江第四大桥，《南京市城市总体规划》中quot;五桥一隧quot;过江通道之一，2008年建成时被誉为quot;中国的金门大桥quot; 📸：Canon600dsigma18200,73mm拍摄（半画幅） 参数：a档，ISO100,f11，后期9张堆栈 位置：南大附近，很好找 建议带小架子，大架子也能拍但是右边会有遮挡",南京栖霞山长江大桥,地标/空间节点,桥梁,,桥梁景观,,,,,,,拍照取景有遮挡限制,被誉为'中国的金门大桥',,具有规划意义的过江通道,无法判断,Positive,兴趣/好奇,中/一般,否,独自,摄影; 参观,,,推荐（带小架子）,否,对摄影效果有特定要求,[栖霞山长江大桥] -> [被誉为'中国的金门大桥'],[被誉为'中国的金门大桥'] -> [兴趣/好奇],[兴趣/好奇] -> [推荐带小架子拍摄],[栖霞山长江大桥] -> [兴趣/好奇],[栖霞山长江大桥] [位于] [南京]; [拍摄位置] [靠近] [南大],[摄影器材] [影响] [拍摄效果],在南京栖霞山长江大桥（地点），独自进行摄影活动（行为），感知到大桥作为地标性建筑的视觉吸引力（认知美学），产生兴趣和好奇心（情感），并表达了带合适设备拍摄的推荐意图（行为意图）。,0.007122457
12,1918年冬，朱自清去北京上学，在浦口火车站与父亲话别。 我们过了江，进了车站。我买票，他忙着照看行李。 他望车外看了看，说：我买几个橘子去。你就在此地，不要走动。 可曾记得这篇朱自清的散文？ 浦口火车站，《背影》的发生地，老式英式建筑，三层砖木结构。 车站保留下了斑驳外墙的老建筑，包括候车大楼、月台、雨廊、售票房、贵宾楼、电报房、职工住宅楼等，被称为中国最完整的百年车站。 走过拱形雨廊，望见3层主楼的红色屋顶上写着南京北站四个大字，主楼正对面的广场上有一座专门为纪念孙中山先生灵柩停放处所建的中山停灵台。 旧车站里，那块用繁体字呈现的＂行李包裹提取处＂的铁皮牌子和锈迹斑斑的铁皮灯罩，让人感觉时空交错，仿佛看到了作家当年提着随身行李在这里驻足的情景。再往里走，会看到如今仍在使用的火车轨道，货车依然会在老铁轨上穿梭而行。 👇👇👇 📝历史沿革📝 ✅民国三年（1914年），浦口火车站正式开通运营。 ✅1929年5月28日，装运孙中山先生灵柩的火车通过津浦铁路从北平运抵浦口火车站，奉安大典迎灵仪式，建中山停灵台。 ✅1968年10月，随着南京长江大桥通车，浦口火车站停办客运。 ✅1985年，恢复部分客运，更名为南京北站。 ✅2004年10月，停办客运。 🚉交通攻略：从中山码头搭渡轮到浦口码头下，步行即到。,浦口火车站; 南京北站; 中山码头; 浦口码头; 中山停灵台,历史遗迹; 交通枢纽,老式英式建筑; 候车大楼; 月台; 拱形雨廊; 售票房; 贵宾楼; 电报房; 职工住宅楼; 红色屋顶; 铁皮牌子; 铁皮灯罩; 火车轨道; 货车; 渡轮,,斑驳外墙; 红色屋顶; 铁皮牌子; 锈迹斑斑的铁皮灯罩; 老铁轨,,斑驳; 红色屋顶; 锈迹斑斑,,,,路线清晰（从中山码头到浦口码头）,历史遗迹保护完整; 仍有货运功能,老式英式建筑; 斑驳外墙; 锈迹斑斑; 有设计感,时空交错; 怀旧; 有故事,《背影》记忆关联; 孙中山灵柩停放历史; 文学回忆; 历史文化厚重,无法判断,Positive,怀旧/温馨; 敬畏/惊叹; 兴趣/好奇,中/一般,否,无法判断,参观游览; 阅读学习; 拍照打卡; 乘坐轮渡,,深入探索车站内部,推荐/有兴趣前往,否,感受到浓厚的历史氛围和文学联想,[老式英式建筑] -> [有设计感]; [锈迹斑斑的铁皮灯罩] -> [时空交错],[怀旧氛围] -> [怀旧/温馨]; [文学记忆关联] -> [兴趣/好奇],[怀旧/温馨] -> [推荐/有兴趣前往],[斑驳外墙] -> [怀旧/温馨],[浦口火车站] [位于] [浦口码头附近]; [中山码头] [通过渡轮连接] [浦口码头],[孙中山灵柩] [停放于] [中山停灵台],在浦口火车站(地点/历史遗迹)，进行参观游览和拍照打卡(行为)，感知到斑驳外墙和锈迹斑斑的铁皮灯罩(视觉)，产生时空交错的历史联想(认知评价)，感受到怀旧与好奇的情感(情感)，并表达了对这一历史场所的兴趣(行为意图)。,0.754795345
179,"于一身的城市,其大气之美尤为显著",,,,,,,,,,,,,,大气之美,,,Positive,愉悦/开心,中/一般,否,,,,,,,,,[大气之美] -> [愉悦/开心],,,,,对城市整体感知中，产生大气之美的认知评价，感受到愉悦情感。,0.105687789
897,南京作为一个历史比较悠久厚重的城市，著名的旅游景点还是很多的，下面我从我自己的一些感受方面，给大家提供一些思路： （这里只放部分最著名且比较方便到达的景点） 📍出南京站： 玄武湖：南京站南广场对面即是玄武湖（4A）是一个挺大的湖，湖水清澈平静，可以划船🛶，情侣园方向也是紫峰大厦🏙的一个机位点，玄武湖边上也能看到明城墙的核心一段 古鸡鸣寺：玄武湖往南出口不远就到，求姻缘求财神💰心诚则灵，每年四月多到五月还会有樱花🌸 紫金山：玄武湖东南角白马公园是紫金山⛰上山的一个入口（另一个在蒋王庙），紫金山不高，白天去可以上到天文台，其中白马路线比较平缓，蒋王庙路线全程阶梯 总统府：鸡鸣寺往南路过鼓楼到大行宫，很快就能到达总统府，作为民国的象征性建筑，值得一去（需预约） 先锋书店：总店为五台山店，位于鼓楼站西南方向，有许多人留下的明信片🎑，可以看到感人有趣的故事 新街口（德基等）：2号线上大行宫往西，亚洲最大的地铁站之一，本地人都常迷路的大转盘，其中7号口通往德基广场，以其奢华的装饰出名，有几个上千万的厕所🚾可以去打卡 夫子庙：大行宫3号线上往南，沿路有科巷小吃街，种类多且相对便宜，但旺季需排队。夫子庙有中国科举博物馆等，可以看秦淮河夜景，小吃多但不一定都正宗，商业化较严重。附近还可以到老门东，是一条老街，也有一些南京经典小吃 南京博物院：需提前预约，较难约，喜欢了解古物、历史的可以去，质量很高，值得一去 遇难同胞纪念馆：需提前预约，也很难约，纪念南京大屠杀的这段历史 红山动物园：南京站往北一点到达，国内为数不多的无动物🐒表演的动物园，（动物自己要表演）动物种类多，生活状态好，有一些知名的动物明星🦁 中山陵：明孝陵风景区，位于紫金山东边，是纪念孙中山先生的地方，中山陵边上是音乐台（看鸽子🐦飞）还有梅花山、中山植物园等；其中著名的梧桐🌲大道也在明孝陵景区附近，有包括陵园路在内的一些路段 牛首山：从南京南站出往北可以到达，耗巨资建的，佛教🪷文化，壮观，需购买门票 中山浦口码头：相对偏远，可以坐轮渡过长江，其中浦口码头⛵对应的南京西站（浦口火车站）也是朱自清先生《背影》里的背景地点（买橘子🍊那个） 📍关于交通方式：如果人数较少的话建议直接坐地铁🚇或者公交🚌，南京的地铁线是很全面的，如果手机带nfc功能可以直接办理一个金陵通地铁卡,中山浦口码头; 浦口火车站; 南京西站,交通枢纽,轮渡,,,,,,,,相对偏远,可以坐轮渡过长江,,,浦口火车站是朱自清《背影》中的背景地点,,Neutral,,,否,,乘坐轮渡,,,,否,,[中山浦口码头] -> [相对偏远]; [中山浦口码头] -> [可以坐轮渡过长江],,,,[浦口码头] [对应于] [南京西站]; [浦口码头] [邻近] [浦口火车站],[中山浦口码头] [功能] [过江交通],在中山浦口码头(地点)，进行乘坐轮渡过长江(行为)，感知到其地理位置相对偏远(认知评价)，没有明显的情感倾向(情感)，并强调了其作为朱自清《背影》中浦口火车站的历史文化意义(行为意图)。,0.871183402
424,大家好，我是摄影师林宇森，这次我们去一直很火的南京下关火车主题公园拍照，一趟拍摄下来，有好有坏，先大家总结一下需要注意的点吧。 1下关火车是俩节火车，一节是带独立包厢的，消费200（没记错的话）才给进，而且这个是不允许拍照的，如果只是拍照的话，就不用考虑啦～另一节公共车厢的是可以拍摄的，消费买几串关东煮就行。 2室内拍摄，要注意光线够不够充足，我们当时去的时候是阴天，室内光线很暗，只有车厢自带天花板顶光，要注意人脸光线，特别如果本身相机高感不好的，如残幅机最好等有太阳再来拍。 3取景，在车厢这种较狭窄的空间里，要注意你的拍摄机位构图等等，以及确定好你带的焦段是否适合在狭窄的空间里拍摄，还有注意窗外的景，不要太过杂乱。 4车外拍摄，车外拍摄的话其实就一个站台，如p2可以可以用个广角，人物站在火车旁拍一张，如果想法够多的话也可以下车的时候拍一张手扶梯特写，或者人物站在梯子上向后看（拍出火车延伸感），如果有带梯子的话，可以站梯子上用站台上的灯坐前景，拍摄人物等车等等情节。 5除了拍摄火车，也可以逛逛公园其他地方，江边芦苇荡，或者是不远处的邮轮渡口都可以尝试。 以上是我对这次下关火车拍摄的总结啦～希望能对你有些帮助，如果大家还有其他好看的拍摄地，也可以推荐给我哦，我们下次再见,下关火车主题公园; 江边芦苇荡; 邮轮渡口,公园/绿地; 地标/空间节点; 商业设施; 交通枢纽,火车车厢; 独立包厢; 公共车厢; 关东煮摊位; 站台; 手扶梯; 梯子; 灯具; 芦苇荡; 渡口设施,芦苇荡,火车延伸感; 广角构图; 火车与人物场景; 江边景观,,光线充足与否; 室内光线很暗; 窗外景色杂乱,,,,空间布局清晰但拍摄需要技巧,部分区域需消费进入; 拍摄设备要求较高,火车场景有美感; 江边芦苇荡自然美,适合摄影创作,工业风建筑; 怀旧氛围,适中,Mixed,兴趣/好奇; 谨慎/担忧,中/一般,否,独自或专业团队,摄影; 游览; 构图设计; 器材调试,摄影师分享经验,进行长时间拍摄,推荐但建议准备充分,否,拍摄体验有好有坏，需要专业准备,[火车车厢] -> [空间较狭窄]; [江边芦苇荡] -> [自然美],[拍摄难度] -> [谨慎/担忧]; [火车场景美] -> [兴趣/好奇],[谨慎/担忧] -> [建议准备充分再拍摄],[火车延伸感构图] -> [兴趣/好奇],[火车主题公园] [包含] [江边芦苇荡]; [站台] [邻近] [邮轮渡口],[摄影师] [使用] [不同镜头],在下关火车主题公园（地点/人造特征），进行专业摄影创作（行为），感知到室内光线条件和空间限制（视觉），认为场景具有美学价值但拍摄有一定难度（认知评价），产生兴趣与谨慎的混合情感（情感），并推荐他人但建议做好充分准备（行为意图）。,0.492780074
682,南京新晋网红打卡地：长江大桥南堡公园的网红栈桥开放啦，夜景真的很美很治愈，重点是免费，趁着五一假期赶紧艾特Ta一起去打卡吧！,长江大桥南堡公园; 网红栈桥,公园/绿地; 地标/空间节点,栈桥,,夜景; 灯光,,很美,,,,,免费,美; 治愈,治愈,,无法判断,Positive,愉悦/开心; 放松/平静,中/一般,否,与朋友,打卡; 拍照; 夜游,建议和朋友一起前往,,推荐; 下次还来,否,,[网红栈桥] -> [美]; [夜景] -> [治愈],[美] -> [愉悦/开心]; [治愈] -> [放松/平静],[愉悦/开心] -> [推荐; 下次还来],[夜景] -> [治愈],[网红栈桥] [位于] [长江大桥南堡公园],,在长江大桥南堡公园网红栈桥（地点/人造特征），进行夜间打卡活动（行为），感知到美丽的夜景灯光（视觉），认为景观具有美学价值且令人治愈（认知评价），感到愉悦和放松（情感），并推荐他人前往（行为意图）。,0.695158382
976,🐰提及素有六朝古都、十朝都会美誉的南京，相信大家都不陌生。夫子庙、明孝陵、中山陵、玄武湖、总统府都是大家熟知的必去景点。但是今天猪猪要介绍的，是有着另一番风味的百年老站浦口火车站。💥💥 🌸中国唯一保存民国特色的百年老站 浦口火车站始建于清光绪三十四年（1908年）；于民国三年（1914年）正式开通运营；2004年10月，停办客运；2013年5月，列入第七批全国重点文物保护单位。 🎆🎆 🌟2004年10月，浦口火车站客运正式停止运营。但她依旧活跃在文学舞台。 1918年冬，朱自清去北京上学，在浦口火车站与父亲话别，写下了散文名篇《背影》； 1919年春，毛泽东送湖南留法学生去上海，在浦口火车站丢失了一双布鞋，陷入困顿，幸遇老乡，解了燃眉之急(见斯诺的《西行漫记》); 2000年，电视连续剧《情深深雨蒙蒙》取景地； 2002年，电视连续剧《金粉世家》取景地； 2004年，电影《茉莉花开》取景地； 2020年，电影《致我们终将逝去的青春》取景地； 等等🎆🎆 🌟2017年3月19日，浦口火车站旧址开始动工改造。此次动工改造旨在保护历史建筑的基础上，打造历史文化展示区和影视基地，从而传承浦口火车站的百年历史文化，提升旅游、休闲的文化内涵，使江北新区成为休闲文化新中心。🎆🎆 💓最后不得不说，没有去过浦口火车站旧址的朋友们的确错过了最原始朴素没有修饰的历史，但以后有机会去一趟改造后的风情小镇，又何尝不是一件好事呢！中国历史源远流长，处处皆是风景。南京浦口火车站，等待大家去探索哦！🎀 生活薯 薯管家,浦口火车站,历史遗迹; 文化展示区; 影视基地,火车站建筑; 候车室; 月台; 铁轨; 民国风格建筑,,民国风格建筑; 历史感场景; 影视取景地,,原始朴素; 历史感强,,,,无法判断,无法判断,有设计感; 有历史感; 精致/粗糙,怀旧; 有故事; 有文化底蕴,有历史感; 有文化底蕴; 有象征意义; 有回忆,无法判断,Positive,怀旧/温馨; 兴趣/好奇; 自豪/归属感,中/一般,否,无法判断,参观; 游览; 拍照,,,推荐; 下次还来,否,,[浦口火车站] -> [有历史感]; [民国特色建筑] -> [有文化底蕴],[有历史感] -> [怀旧/温馨]; [有文化底蕴] -> [自豪/归属感],[怀旧/温馨] -> [推荐]; [自豪/归属感] -> [下次还来],[民国风格建筑] -> [兴趣/好奇],[浦口火车站] [邻近] [长江]; [浦口火车站] [位于] [江北新区],[浦口火车站] [关联人物] [朱自清]; [浦口火车站] [关联事件] [《背影》创作地],在浦口火车站(地点/历史遗迹)，感知到民国风格建筑的历史氛围(视觉)，认为该地有深厚历史文化底蕴(认知评价)，感受到怀旧、自豪与兴趣交织的情感(情感)，并表达了推荐前往探索的意愿(行为意图)。,0.252331369
595,城市的夜晚霓虹灯璀璨,无法判断,无法判断,霓虹灯,无法判断,霓虹灯光,无法判断,璀璨,无法判断,无法判断,无法判断,无法判断,无法判断,无法判断,无法判断,无法判断,无法判断,Positive,愉悦/开心,中/一般,无法判断,无法判断,,无法判断,无法判断,无法判断,无法判断,无法判断,[霓虹灯] -> [璀璨],[璀璨] -> [愉悦/开心],无法判断,[霓虹灯] -> [愉悦/开心],无法判断,无法判断,在城市的夜晚（地点），感知到霓虹灯的视觉效果（感官），认为灯光璀璨（认知评价），感到愉悦（情感），但未提及具体行为意图。,0.062494359
54,吃完晚饭一路狂飙 还好赶上了落日 只是今天没有晚霞 否则应该会更美吧 话说～南京现在哪里人少啊 不知道要去哪里玩 怕被挤死,无法判断,滨水区域,无法判断,落日; 晚霞（缺失）,落日景观,无法判断,应该会更美,无法判断,无法判断,无法判断,无法判断,无法判断,无法判断,无法判断,无法判断,人多/拥挤,Mixed,放松/平静; 焦虑/害怕,中/一般,是（放松->焦虑）,无法判断,散步; 观景,无法判断,赶上了落日,避免拥挤地点,否,成功看到落日但遗憾缺少晚霞,[落日] -> [应该会更美],[应该会更美] -> [放松/平静],[焦虑/害怕] -> [怕被挤死],[落日] -> [放松/平静],无法判断,无法判断,在南京某地（地点），进行观落日活动（行为），感知到视觉美感但遗憾缺少晚霞（感官），认为景色应该会更美（认知评价），感到放松但仍担心人群拥挤（情感），并表达了寻找人少景点的意愿（行为意图）。,0.864623067
96,不管你是生活在南京，还是来第一次南京玩 我都会毫不犹豫推荐这条线路！！ 一条沿江citywalk路线，既有百年南京厚重历史， 也有独属于长江的海岛浪漫！！ 你会偶遇民国建筑群，拍到复古火车头，也会坐上了2块💰的渡江游轮，会看到了朱自清笔下《背影》里的车站 🕑下午两点钟到达第一站南堡公园，沿江边一路南下游玩，傍晚来到中山码头正好可以赶上17：00的轮渡，也是轮渡日落的最佳观景时间。时间一定要把握好！ Citywalk路线： 1长江大桥南堡2下关西火车主题公园3栈桥旧址4沿江路5大马路6江豚观赏地7首都电厂旧址8中山码头9浦口码头🔟浦口火车站返程 总计：3h 南堡公园（玻璃栈道 长江大桥） 在玻璃栈道上可以看到长江落日和南京长江大桥，波光粼粼的江面。 沿着滨江道路一直往前走，依次可经过民国建筑群、江豚观赏地。 中山码头 建议下午4点多到，坐上5点那一趟的轮船，找一个靠窗的位置，正好可以赶上日落。轮渡2元次，刷公交卡即可，时间6：0019：00，单程十几分钟。 浦口码头 下船后就是浦口码头，穿过马路就可到达南京北站旧址。这里是《情深深雨濛濛》离别的车站，也是朱自清笔下《背影》里面的车站。 Ps：附近没有直达的地铁，需要打车或者公交车到达目的地。,长江大桥南堡; 下关西火车主题公园; 栈桥旧址; 大马路; 江豚观赏地; 首都电厂旧址; 中山码头; 浦口码头; 浦口火车站,滨水区域; 公园/绿地; 地标/空间节点; 历史遗迹; 交通枢纽,玻璃栈道; 长江大桥; 火车头; 渡江游轮; 轮渡; 民国建筑群; 步道; 指示牌; 轨道; 车站建筑,长江; 江面; 落日; 江豚,长江落日; 波光粼粼的江面; 民国建筑群; 复古火车头; 日系风格照片,轮渡汽笛声; 江风; 江涛声,浪漫; 出片; 视野开阔; 波光粼粼,轮渡汽笛声,江风,,路线清晰; 时间安排明确,设施齐全; 价格便宜; 安全; 方便使用公交卡,好看; 出片; 有设计感; 精致; 有历史感; 文艺,浪漫; 放松; 有氛围感; 有活力,厚重的历史感; 有故事; 有文化底蕴; 有回忆,适中,Positive,愉悦/开心; 放松/平静; 敬畏/惊叹; 兴趣/好奇,强/高,否,独自; 与朋友,散步; 拍照; 乘坐轮渡; 观景; 打卡; 看日落; 游览; 参观历史遗址,适合不同人群一起游玩,全程3小时; 待到日落时分,推荐; 想常来,否,城市漫步很浪漫; 拍照出片效果好,[玻璃栈道] -> [视野开阔]; [民国建筑群] -> [有历史感]; [落日] -> [浪漫],[浪漫氛围] -> [愉悦/开心]; [有历史感] -> [敬畏/惊叹],[愉悦/开心] -> [推荐; 想常来],[长江落日] -> [治愈/敬畏]; [江风] -> [舒适],[长江大桥南堡] [连接] [下关西火车主题公园]; [中山码头] [通过轮渡连接] [浦口码头],[轮渡] [价格] [2元/次],在南京下关滨江区域（地点），进行沿江城市漫步、拍摄民国建筑群和复古火车头等活动（行为），感知到长江落日和波光粼粼江面的视觉美感（视觉），认为该地区兼具历史厚重感和浪漫氛围（认知评价），感到愉悦放松并产生敬畏之情（情感），并强烈推荐给他人且表示想再次来访（行为意图）。,0.107497279
644,有点富士山下罗森那个味儿了，车流动下的711，落日余晖下的711，和朋友，和恋人，你自己，都可以，带感，出片儿！打卡拍照的出片地儿！搜索深业滨江江边路,7-11江边路店,商业设施; 地标/空间节点,便利店; 道路; 车流; 照明设施; 指示牌,落日,落日余晖中的便利店; 出片场景,,带感,无法判断,无法判断,无法判断,无法判断,无法判断,出片; 好看; 有设计感,浪漫; 有氛围感,熟悉感（类似日本富士山下罗森）,适中,Positive,愉悦/开心; 兴趣/好奇,强/高,否,独自; 与朋友; 与伴侣,拍照; 打卡; 散步,和朋友，和恋人一起,无法判断,推荐; 下次还来,否,拍照体验很好,[落日余晖下的711] -> [出片; 好看; 有设计感],[出片] -> [愉悦/开心]; [有氛围感] -> [兴趣/好奇],[愉悦/开心] -> [推荐; 下次还来],[落日余晖下的7111] -> [愉悦/开心],[7-11江边路店] [位于] [深业滨江江边路],[7-11] [相似于] [日本富士山下罗森],在深业滨江江边路7-11江边路店（地点），和朋友、恋人或独自进行拍照打卡活动（行为），感知到落日余晖下的视觉美感（感官体验），认为该地好看且有氛围感（认知评价），感受到愉悦与好奇（情感表达），并表达了强烈推荐和重访意愿（行为意图）。,0.009855373
51,这是情深深雨蒙蒙书恒和依萍离别的车站，也是朱自清的父亲去买橘子留下《背影》的地方。 下午五点的光线绝绝子！太能拍出故事感了✨,南京西站,历史遗迹; 文化地标,车站建筑; 站台; 轨道; 候车室,阳光,光影效果; 故事感场景,,绝绝子; 太能拍出故事感,,,,路线清晰（著名文学作品中的场景）,,有设计感; 有历史感; 有文化内涵,有氛围感; 浪漫; 怀旧,有历史感; 有文化底蕴; 有文学联想; 有回忆,无法判断,Positive,愉悦/开心; 敬畏/惊叹; 怀旧/温馨,强/高,否,无法判断,拍照,,,推荐; 想常来,否,拍照很出片,[下午五点的光线] -> [太能拍出故事感]; [车站建筑] -> [有历史感],[有历史感] -> [怀旧/温馨]; [太能拍出故事感] -> [愉悦/开心],[愉悦/开心] -> [太能拍出故事感]; [怀旧/温馨] -> [推荐],[下午五点的光线] -> [愉悦/开心],[南京西站] [是] [《背影》发生地],[情深深雨蒙蒙] [取景地关联] [南京西站],在南京西站（地点/历史遗迹），进行拍照活动（行为），感知到下午五点的光线视觉美感（感官），认为车站有历史感和文化内涵（认知评价），感到愉悦和怀旧（情感），并强烈推荐此地（行为意图）。,0.558134617
787,老下关也是走起来了,老下关,滨水区域,,,,,,,,,,,,,老下关的历史意义,,Positive,兴趣/好奇,中/一般,否,无法判断,散步; 游览,,,想来体验,否,,[老下关] -> [历史意义],[历史意义] -> [兴趣/好奇],[兴趣/好奇] -> [想来体验],,,,在老下关(地点)，进行散步、游览(行为)，感知到该区域的历史意义(认知意义)，产生兴趣(情感)，并表达了想来体验的意愿(行为意图)。,0.041096042
