关系抽取_RE_Spatial_Emotion,情感表达_Emotion_Valence,情感表达_Emotion_Discrete,情感表达_Emotion_Intensity,情感表达_Emotion_Shift,空间环境特征_Place_Name
[民国首都电厂旧址公园] -> [兴趣/好奇],Positive,兴趣/好奇; 敬佩/敬畏,中/一般,否,下关西火车主题街区
[蓝调日光] -> [愉悦/开心],Positive,愉悦/开心; 放松/平静,强/高,否,民国首都电厂旧址公园; 中山码头
[火车] -> [绝了]; [长江] -> [超级棒],Positive,愉悦/开心; 兴趣/好奇,强/高,否,
[老建筑] -> [怀旧/温馨],Mixed,怀旧/温馨; 兴趣/好奇,中/一般,否,
[长江大桥] -> [敬畏/惊叹]; [时代标语] -> [自豪/归属感],Positive,愉悦/开心; 敬畏/惊叹; 自豪/归属感,强/高,否,扬子江生态公园; 浦口码头; 长江大桥
[老旧砖石与铁轨] -> [怀旧/温馨],Positive,怀旧/温馨; 放松/平静,中/一般,否,下关火车公园
[南京长江大桥] -> [敬畏/惊叹]; [江豚] -> [愉悦/开心],Positive,愉悦/开心; 兴趣/好奇; 怀旧/温馨,中/一般,否,中山码头; 浦口码头; 大马路
[无法进入的历史遗迹] -> [失望/悲伤],Negative,挫败/烦恼; 失望/悲伤,中/一般,否,长江大桥; 大桥南堡公园; 玻璃栈道; 中山码头
[江上落日] -> [兴趣/好奇]; [对岸夜景] -> [愉悦/开心],Positive,愉悦/开心; 放松/平静; 兴趣/好奇,中/一般,否,浦口火车站
[江风] -> [惬意]; [江景] -> [愉悦/开心],Positive,放松/平静; 愉悦/开心; 自在,中/一般,否,长江大桥; 江豚观赏地; 下关火车主题公园; 铁路轮渡旧址
[夕阳下的江景] -> [放松/平静],Positive,愉悦/开心; 放松/平静; 兴趣/好奇,中/一般,否,浦口火车站; 民国首都电厂旧址公园
"[落霞与孤鹜齐飞,秋水共长天一色] -> [敬畏/惊叹]",Positive,愉悦/开心; 放松/平静; 敬畏/惊叹,强/高,否,中山码头; 浦口码头; 扬子江生态公园; 阅江楼; 长江大桥; 浦口站旧址
[落日暖光] -> [温暖感]; [寒冷天气] -> [身体不适],Positive,愉悦/开心; 放松/平静,中/一般,否,中山码头; 民国首都电厂旧址公园; 民国海军医院旧址
[民国风情] -> [兴趣/好奇],Neutral,兴趣/好奇; 平静,中/一般,否,滨河公园; 新河街; 鱼嘴湿地公园
[地暖] -> [舒适/安全],Positive,舒适/安全,弱/低,否,下关火车主题公园
[日落+江风+夜景] -> [愉悦/放松/惊叹],Positive,愉悦/开心; 放松/平静; 敬畏/惊叹,强/高,否,南京滨江公园
[夕阳] -> [愉悦/开心],Positive,愉悦/开心; 兴趣/好奇,中/一般,否,下关火车主题公园
[火车经过] -> [兴趣/好奇],Positive,兴趣/好奇; 愉悦/开心,中/一般,否,浦口火车站; 民国首都电厂旧址公园
[火车呼啸而过] -> [沉浸式体验]; [复古氛围] -> [怀旧],Positive,愉悦/开心; 怀旧/温馨; 敬畏/惊叹,中/一般,否,无法判断
[滨江夕阳] -> [兴趣/好奇],Positive,兴趣/好奇; 自豪/归属感; 期待/憧憬,中/一般,否,长江大桥
[百年老站] -> [怀旧/温馨],Positive,自豪/归属感; 怀旧/温馨,中/一般,否,ITC MALL
[工业风格车厢] -> [兴趣/好奇],Positive,兴趣/好奇; 舒适/安全,中/一般,否,龙虎巷; 浦口火车站
[浩荡的江水] -> [敬畏/惊叹],Positive,自豪/归属感; 敬畏/惊叹,强/高,否,浦口火车站; 南京长江大桥; 浦口公园
[落日和晚风] -> [治愈感]; [驻唱演出] -> [愉悦/开心],Positive,愉悦/开心; 放松/平静; 敬畏/惊叹,强/高,是（放松->紧张/不适）,下关; 中山码头; 南京西站; 大马路; 民国首都电厂旧址公园; 阅江楼; 秦淮河入江口; 和记洋行; 下关火车主题公园; 渡江胜利纪念馆; 南京下关历史陈列馆
[日落] -> [敬畏/惊叹],Positive,愉悦/开心; 放松/平静; 敬畏/惊叹,强/高,否,浦口码头; 南京北站; 江北新区
[夕阳西下] -> [愉悦/开心],Positive,愉悦/开心; 放松/平静; 怀旧/温馨,中/一般,否,下关火车主题公园
,,,,,长江大桥
[长江全景] -> [欣赏/惊叹],Positive,愉悦/开心; 放松/平静; 兴趣/好奇; 怀旧/温馨,中/一般,否,江边路
[落日余晖] -> [放松/平静]; [背景音乐] -> [愉悦/开心],Positive,愉悦/开心; 放松/平静,强/高,否,长江大桥玻璃栈道
[橘子海日落] -> [愉悦/开心]; [江风] -> [放松/平静]; [江豚露出水面] -> [兴趣/好奇],Positive,愉悦/开心; 放松/平静; 兴趣/好奇,中/一般,否,鼓楼滨江风光带; 江豚观测点
[民国建筑] -> [历史文化感知],Neutral,,弱/低,否,
[长江大桥] -> [震撼]; [长在桥下] -> [敬畏/惊叹],Positive,敬畏/惊叹; 自豪/归属感,强/高,否,南京长江水生物科普馆; 长江微笑驿站; 江豚书屋; 江豚观测点; 民国首都电厂旧址公园; 中山码头; 浦口码头; 浦口火车站; 浦口码头滨江生态公园; 下关火车主题公园; 长江大桥玻璃栈道
[下午五点的光线] -> [愉悦/开心],Positive,愉悦/开心; 敬畏/惊叹; 怀旧/温馨,强/高,否,中山码头
,Neutral,,弱/低,否,浦口码头; 中山码头; 浦口火车站旧址; 民国首都电厂旧址; 江豚观赏地; 大马路; 下关历史陈列馆; 铁路栈桥旧址; 下关火车公园; 玻璃栈桥
[日落🌇] -> [治愈/惊叹],Positive,愉悦/开心; 放松/平静; 兴趣/好奇,中/一般,否,江边路; 鼓楼滨江风光带
[落日] -> [放松/平静],Mixed,放松/平静; 焦虑/害怕,中/一般,是（放松->焦虑）,长江大桥
[长江景色] -> [兴趣/好奇],Positive,兴趣/好奇; 愉悦/开心; 放松/平静,中/一般,否,南京西站
[蓝调时刻+灯光] -> [愉悦/开心],Positive,愉悦/开心; 放松/平静,中/一般,否,中山码头; 浦口码头
[长江大桥] -> [惊叹/敬畏],Positive,兴趣/好奇; 惊叹/敬畏; 怀旧/温馨,中/一般,否,中山码头; 下关火车主题公园; 铁路轮渡旧址; 南京西站; 大桥南堡公园; 玻璃栈道; 阅江楼; 浦口码头
[景色] -> [愉悦/开心],Positive,愉悦/开心,中/一般,否,无法判断
[空无一人] -> [宁静氛围引发的怀旧感],Positive,怀旧/温馨; 敬畏/惊叹,中/一般,否,下关火车主题公园; 中山码头; 浦口码头; 燕子矶公园; 幕燕滨江风貌区; 达摩古洞景区; 五马渡游轮码头
[金色夕阳] -> [敬畏/惊叹]; [江风] -> [舒适],Positive,愉悦/开心; 敬畏/惊叹; 放松/平静; 怀旧/温馨,强/高,否,中山码头; 下关火车主题公园; 玻璃栈道; 长江大桥
[被日落包围] -> [愉悦/开心],Positive,愉悦/开心; 浪漫/温馨,强/高,否,中山码头; 浦口码头; 浦口火车站; 南京长江大桥
[朱自清背影] -> [怀旧/温馨]; [老人唱歌] -> [放松/平静],Positive,放松/平静; 怀旧/温馨,中/一般,否,民国首都电厂旧址公园
[南京长江大桥] -> [自豪/归属感],Positive,自豪/归属感; 兴趣/好奇,强/高,否,浦口火车站
[双檐翘角结构九间城楼] -> [精致/有设计感],Mixed,怀旧/温馨; 悲伤/失望,中/一般,是 (历史荣耀->现实失落),中山码头
[历史展览] -> [兴趣/好奇],Positive,怀旧/温馨; 兴趣/好奇; 自豪/归属感,中/一般,否,夕Space; 中山码头
[落日景观] -> [愉悦/开心]; [蓝调时刻] -> [放松/平静],Positive,愉悦/开心; 放松/平静,强/高,否,下关火车遗址公园; 下关大马路; 下关梧桐大道; 中山码头; 浦口火车站; 扬子江生态公园
[偶遇江豚] -> [惊喜/愉悦],Positive,愉悦/开心; 惊喜,中/一般,是（普通->惊喜）,南京长江大桥
,Neutral,,弱/低,否,中山大道; 中山码头; 中山桥; 海陵门; 挹江门; 盐仓桥; 六角亭; 四望山; 八字山; 中山北路; 挹江门派出所
[火车鸣笛声] -> [怀旧/温馨]; [夕阳下的芦苇] -> [愉悦/开心],Positive,兴趣/好奇; 愉悦/开心; 怀旧/温馨,中/一般,否,中山码头; 浦口火车站
[开阔视野] -> [舒适/安全],Positive,愉悦/开心; 舒适/安全,中/一般,否,南京长江大桥; 南堡公园玻璃栈道
[秋日江风] -> [舒适/放松],Positive,愉悦/开心; 放松/平静,强/高,否,中山码头; 长江
[夕阳] -> [温情记忆]; [江景] -> [浪漫感受],Positive,怀旧/温馨; 愉悦/开心,强/高,否,玻璃栈道; 大桥南堡公园
[风] -> [风中凌乱],Mixed,舒适/安全; 疲惫,中/一般,是（舒适->疲惫）,中山码头; 浦口码头; 民国首都电厂旧址公园; 江豚观赏地; 民国海军医院旧址; 铁路轮渡栈桥旧址; 下关火车主题公园; 大桥南堡公园; 玻璃栈道; 映红桥; 长江大桥
[晚上的风] -> [放松/平静],Mixed,放松/平静; 些许失落,中/一般,是（失落->放松）,中山码头; 浦口码头
[日落景观] -> [兴趣/好奇],Positive,愉悦/开心; 兴趣/好奇,中/一般,否,下关火车主题园; 江豚观赏地; 民国首都电厂旧址公园; 中山码头; 浦口码头; 浦口火车站
[夕阳光影] -> [愉悦/开心]; [朱自清站台] -> [怀旧/温馨],Positive,愉悦/开心; 怀旧/温馨; 兴趣/好奇,强/高,否,老下关码头; 民国首都电厂旧址公园; 夕Space落日餐厅
[长江大桥] -> [怀旧/温馨],Positive,怀旧/温馨; 愉悦/开心,中/一般,否,大桥玻璃栈道; 下关码头; 火车主题园; 江豚观赏地; 下关滨江商务区综合执法站; 下关大桥
[指示牌] -> [兴趣/好奇],Neutral,兴趣/好奇,弱/低,否,桥
[江风吹拂] -> [舒适/安全]; [大桥雄伟] -> [敬畏/惊叹],Positive,愉悦/开心; 放松/平静,中/一般,否,世茂滨江希尔顿; 滨江步道; 中山码头; 云兮餐厅
[橘色日落] -> [愉悦/开心],Positive,愉悦/开心; 放松/平静,强/高,否,浦口火车站; 中山码头; 浦口码头; 扬子江生态公园; 南京北站
[熟悉的景色] -> [怀旧/温馨],Neutral,怀旧/温馨; 放松/平静,弱/低,否,南堡公园; 长江大桥
,,,,,江边路
[蓝调落日余晖] -> [愉悦/开心],Positive,兴趣/好奇; 愉悦/开心,中/一般,否,中山码头; 浦口火车站; 下关火车街区; 长江大桥
[夜景车流] -> [兴趣/好奇],Positive,兴趣/好奇; 自豪/归属感,中/一般,否,中山码头
[民国风建筑] -> [愉悦/开心],Positive,愉悦/开心; 兴趣/好奇; 自豪/归属感,强/高,否,下关滨江
[夕阳和蓝调时刻] -> [愉悦/开心]; [梦幻灯光] -> [愉悦/开心],Positive,愉悦/开心; 敬畏/惊叹,强/高,否,
[国庆限定花篮] -> [愉悦/开心],Positive,自豪/归属感; 愉悦/开心,中/一般,否,南京长江大桥; 中山码头; 浦口码头; 玻璃栈道
[夕阳景观] -> [愉悦/开心],Positive,愉悦/开心; 放松/平静,中/一般,否,长江大桥
,Neutral,,弱/低,否,浦口火车站
,,,,,长江大桥玻璃栈道; 下关火车主题公园
,,,,,长江大桥; 鼓楼
[汽笛声] -> [兴趣/好奇]; [绝美日落] -> [敬畏/惊叹],Positive,愉悦/开心; 放松/平静; 敬畏/惊叹; 兴趣/好奇,强/高,否,大桥南堡公园
[蓝天白云] -> [愉悦/开心],Positive,愉悦/开心; 放松/平静,中/一般,否,长江大桥
[落日] -> [愉悦/开心],Positive,愉悦/开心; 兴趣/好奇,强/高,否,
[综艺拍摄现场] -> [好奇],Neutral,好奇; 轻微失望,弱/低,是（好奇->轻微失望）,
[长江落日] -> [治愈/敬畏]; [江风] -> [舒适],Positive,愉悦/开心; 放松/平静; 敬畏/惊叹; 兴趣/好奇,强/高,否,下关火车主题公园; 中山码头; 浦口码头; 兔布洛亲子乐园; 铁路轮渡栈桥旧址; 长江大桥
无法判断,Mixed,钦佩; 幽默,中/一般,否,中山码头; 长江; 江边路
[晴天] -> [兴趣/好奇],Neutral,兴趣/好奇; 挫败/烦恼,中/一般,否,中山码头; 浦口码头; 背影车站
[落日余晖] -> [放松/平静]; [开阔江景] -> [敬畏/惊叹],Positive,愉悦/开心; 放松/平静; 敬畏/惊叹,中/一般,否,长江大桥
[大坝瀑布] -> [惊叹]; [童趣游乐设施] -> [愉悦],Positive,愉悦/开心; 放松/平静; 敬畏/惊叹,强/高,否,长江大桥南堡; 下关西火车主题公园; 栈桥旧址; 大马路; 江豚观赏地; 首都电厂旧址; 中山码头; 浦口码头; 浦口火车站
[灯光] -> [兴趣/好奇],Positive,兴趣/好奇,中/一般,否,无法判断
[天气好] -> [愉悦/开心],Positive,兴趣/好奇; 愉悦/开心,中/一般,否,轮渡
,Positive,愉悦/开心; 自豪/归属感,中/一般,否,中山码头; 浦口码头; 长江大桥
[橘子海日落] -> [愉悦/开心]; [音乐节气氛] -> [兴趣/好奇],Positive,愉悦/开心; 放松/平静; 兴趣/好奇; 自豪/归属感,中/一般,否,渡江胜利纪念馆; 滨江步道; 绿博园
[日落景观] -> [放松/平静]; [江豚观赏] -> [兴趣/好奇],Positive,愉悦/开心; 放松/平静; 兴趣/好奇,强/高,否,长江大桥; 大桥南堡公园; 玻璃栈道
[日落] -> [放松/平静]; [大桥亮灯] -> [治愈感],Mixed,愉悦/开心; 紧张/焦虑; 放松/平静,中/一般,是（放松->紧张->放松）,长江大桥; 长江大桥玻璃栈道
[吹着风] -> [舒适/安全]; [听到小曲] -> [愉悦/开心],Positive,愉悦/开心; 放松/平静; 怀旧/温馨,强/高,否,新街口; 大行宫; 张府园; 常府街; 上海路; 老门东; zong统府; 先锋书店; 颐和路; 西桥; 南大; 丰富路; 南台巷; 万象天地; 熙南里; 国创园; 梦幻城; 青岛路; 陶谷新村
[对窗观景座位] -> [新奇体验],Mixed,兴趣/好奇; 失望/悲伤,中/一般,是（兴趣->失望）,浦口码头; 中山码头; 民国首都电厂旧址; 江豚观赏地; 大马路; 下关历史陈列馆; 铁路栈桥旧址; 下关火车公园; 玻璃栈桥; 不老村; 佛手湖; 老山音乐节; 猪圈咖啡
[江景] -> [好看]; [火车声音] -> [震撼],Positive,愉悦/开心; 放松/平静; 敬畏/惊叹,中/一般,否,滨江风光带; 鼓楼滨江; 万景园; 绿博园; 南京眼; 鱼嘴湿地公园; 鱼嘴公园
[烧饼香味] -> [愉悦/开心],Positive,兴趣/好奇; 舒适/安全,中/一般,否,南堡公园; 大桥
[浦口火车站] -> [怀旧/温馨],Mixed,怀旧/温馨; 悲伤/失落; 感动,强/高,是（感动->悲伤->温暖）,长江大桥; 玻璃栈道; 大桥南堡公园; 桥苑食府
[侧逆光下的火车站] -> [愉悦/开心],Positive,放松/平静; 愉悦/开心,中/一般,是（焦虑->放松/平静）,中山码头; 浦口码头; 大马路
[温柔夜景] -> [放松/平静],Positive,愉悦/开心; 放松/平静,中/一般,否,中山码头; 浦口码头; 南京北站; 玻璃栈道; 长江大桥
[开阔江景] -> [放松/平静],Positive,愉悦/开心; 放松/平静,中/一般,否,中山码头; 浦口码头
[火车场景] -> [兴趣/好奇],Positive,愉悦/开心; 兴趣/好奇,中/一般,否,浦口火车站
[江豚现身瞬间] -> [喜悦/兴奋]; [黑鸢捉鱼场景] -> [兴趣/好奇],Positive,愉悦/开心; 放松/平静; 敬畏/惊叹; 兴趣/好奇,强/高,否,南京下关火车站
[夕阳江景] -> [愉悦/开心]; [江风] -> [放松/平静],Positive,愉悦/开心; 放松/平静; 兴趣/好奇,强/高,否,民国风街区
[法式城堡+明城墙砖] -> [敬畏/惊叹],Positive,兴趣/好奇; 敬畏/惊叹; 怀旧/温馨,中/一般,否,下关火车主题公园; 长江大桥; 玻璃栈道
[开阔江景] -> [震撼/惊叹],Positive,敬畏/惊叹; 愉悦/开心; 舒适/安全,中/一般,否,下关火车主题公园; 中山码头; 浦口码头
[开阔江景] -> [平静],Neutral,平静,弱/低,否,江豚观赏地
[夜景] -> [愉悦/开心],Positive,愉悦/开心; 放松/平静,强/高,否,中山码头; 浦口火车站; 扬子江生态公园
[南京长江大桥] -> [自豪/归属感],Positive,自豪/归属感; 敬佩,强/高,否,中山码头; 下关滨江
[自然山水景观] -> [自豪/归属感],Positive,自豪/归属感; 兴趣/好奇,中/一般,否,长江大桥
[树影婆娑] -> [放松/平静],Positive,愉悦/开心; 放松/平静; 敬畏/惊叹; 兴趣/好奇,强/高,否,中山码头; 浦口码头
[历史场景] -> [怀旧/温馨],Positive,愉悦/开心; 怀旧/温馨,中/一般,否,中山码头; 浦口码头; 浦口火车站
[夕阳洒在江面] -> [愉悦/开心],Positive,愉悦/开心; 放松/平静,中/一般,否,南京长江大桥
[开阔水面] -> [豁然开朗]; [江水波动声音] -> [放松/平静],Positive,兴趣/好奇; 愉悦/开心; 放松/平静,中/一般,否,浦口区; 老江浦县; 老浦口区; 凤凰山; 求雨山公园; 城南河; 文德路; 浦口火车站; 南京北站; 浦口公园; 高新区; 南京大学; 东南大学; 仙林大学城; 江宁大学城; 研创园; 长江隧道口; 江北新区; 核心区; 桥北; 高新; 大厂; 六合江边; 老山国际森林公园
[江风+水汽+凉意] -> [快乐信号]; [老人望江场景] -> [敬畏/惊叹],Positive,怀旧/温馨; 放松/平静; 愉悦/开心; 敬畏/惊叹,中/一般,否,前线大院; 卫岗55号; 下马坊地铁站; 明孝陵; 梧桐大道
[日落晚霞] -> [愉悦/开心; 敬畏/惊叹],Positive,愉悦/开心; 敬畏/惊叹,强/高,否,浦口火车站; 大马路; 南京北站旧址; 中山码头
[江风拂面] -> [放松/平静],Positive,愉悦/开心; 放松/平静; 敬畏/惊叹,强/高,否,中山码头; 浦口码头; 浦口公园; 浦口火车站; 滨江游乐园; 阅江楼; 长江玻璃栈道; 扬子江大道4号岗亭; 小沙滩公园
,,,,,中山码头; 浦口火车站; 江豚书屋; 微笑驿站; 长江大桥
[橘子海落日] -> [治愈/敬畏]; [江风] -> [舒适],Positive,愉悦/开心; 放松/平静; 敬畏/惊叹; 兴趣/好奇,强/高,否,浦口码头; 南京长江大桥; 中山码头; 栈桥
[江风拂面] -> [放松/平静],Positive,愉悦/开心; 放松/平静,中/一般,否,长江大桥玻璃栈道
[江边吹风] -> [愉悦],Positive,期待; 愉悦,中/一般,否,中山码头; 浦口火车站
,,,,,
[《背影》相关场景] -> [敬佩/惊叹],Positive,怀旧/温馨; 愉悦/开心; 敬佩/惊叹,中/一般,否,下关滨江; 灯塔; 江边; 长江大桥南堡公园; 中山码头; 浦口火车站; 南京西站; 映红桥; 下关火车主题公园; 铁路轮渡旧址; 民国海军医院旧址; 民国首都电厂旧址公园
[晚风] -> [放松/平静]; [日落] -> [愉悦/开心],Positive,愉悦/开心; 放松/平静; 敬畏/惊叹,强/高,是（原有刻板印象 -> 积极改观）,中山码头; 南京长江大桥
[民国风灯光] -> [愉悦/开心],Positive,愉悦/开心; 怀旧/温馨,强/高,否,老下关; 中山码头; 浦口火车站; 南京西站
[夕阳西下] -> [愉悦/开心]; [滔滔江水] -> [敬畏/惊叹],Positive,愉悦/开心; 放松/平静; 敬畏/惊叹,强/高,否,
[铁路轮渡栈桥] -> [敬佩/惊叹],Neutral,敬佩/惊叹; 怀旧,中/一般,否,浦口火车站
[中山码头历史] -> [敬佩],Positive,自豪/归属感; 敬佩,中/一般,否,长江大桥; 玻璃栈道; 下关火车主题公园; 中山码头; 大桥公园
[开阔江景] -> [放松/平静],Positive,放松/平静; 怀旧/温馨,中/一般,否,南京北站
[拍摄取景点] -> [兴趣/好奇],Positive,兴趣/好奇; 舒适/安全,中/一般,否,中山码头; 浦口火车站; 南京长江大桥玻璃栈桥
,Neutral,,中/一般,否,铁路轮渡旧址
[江景] -> [放松/平静],Positive,愉悦/开心; 放松/平静; 兴趣/好奇,中/一般,否,中山码头; 浦口码头; 铁路轮渡栈桥旧址
[开阔江景] -> [放松/平静]; [江风拂面] -> [舒适/愉悦],Positive,愉悦/开心; 放松/平静; 兴趣/好奇; 自豪/归属感,中/一般,否,浦口火车站
[落日] -> [愉悦/开心]; [玻璃栈道] -> [敬畏/惊叹],Positive,愉悦/开心; 放松/平静; 兴趣/好奇; 敬畏/惊叹,中/一般,否,中山码头; 浦口码头; 浦口火车站旧址
,,,,,长江大桥; 大桥南堡公园; 映红桥
[波光粼粼的江面] -> [宁静]; [昏暗光线下的宽阔江面] -> [敬畏/惊叹],Positive,放松/平静; 敬畏/惊叹,强/高,否,中山码头; 浦口码头
[历史建筑] -> [怀旧/温馨],Positive,怀旧/温馨; 兴趣/好奇,中/一般,否,渡江胜利纪念馆; 中山码头; 下关旧电厂; 火车主题公园; 南京外滩; 海军医院旧址; 长江大桥江边路
[光影效果] -> [愉悦/开心],Positive,愉悦/开心; 自豪/归属感,中/一般,否,阅江楼; 中山码头; 江豚观赏地; 铁路轮渡旧址; 下关火车主题公园; 长江大桥玻璃栈道
[夕阳景色] -> [放松/平静],Positive,愉悦/开心; 敬畏/惊叹; 放松/平静,强/高,否,
[隐藏但美丽的空间] -> [好奇与自豪],Positive,兴趣/好奇; 自豪/归属感,中/一般,否,下关江边; 下关火车主题公园
[江景] -> [浪漫]; [日落] -> [壮阔],Positive,愉悦/开心; 放松/平静; 兴趣/好奇; 自豪/归属感,强/高,否,中山码头; 浦口火车站
[阳光墙面效果] -> [愉悦/开心]; [火车声音] -> [兴趣/好奇],Positive,敬畏/惊叹; 兴趣/好奇; 愉悦/开心,强/高,否,中山码头; 下关火车公园
[蒸汽机车和绿皮车厢] -> [愉悦/开心],Positive,愉悦/开心; 怀旧/温馨,中/一般,否,浦口浦云路大桥; 南京长江大桥; 玻璃栈道; 南堡公园
[江风轻拂] -> [放松/平静]; [落日余晖] -> [愉悦/开心],Positive,愉悦/开心; 敬畏/惊叹; 放松/平静,强/高,否,南京长江大桥
[韩系落日餐厅+玄武湖景观] -> [愉悦/开心],Positive,愉悦/开心; 放松/平静,中/一般,否,中山码头; 浦口码头; 南京北站; 民国首都电厂旧址公园; 江豚书屋; 下关火车主题公园; 玻璃栈道
[历史陈列馆] -> [自豪/归属感],Positive,愉悦/开心; 自豪/归属感,中/一般,否,南京长江大桥
[民国首都电厂旧址公园] -> [怀旧/温馨],Positive,怀旧/温馨; 愉悦/开心,中/一般,否,下关火车主题公园
[波光粼粼的江景] -> [愉悦/开心]; [江风吹动秀发] -> [放松/平静],Positive,愉悦/开心; 放松/平静,强/高,否,中山码头; 浦口码头; 民国首都电厂旧址; 铁路轮渡旧址; 下关火车公园
[日落] -> [治愈/敬畏]; [江风吹拂] -> [舒适],Positive,愉悦/开心; 放松/平静; 舒适/安全,强/高,否,夕Space落日餐厅
[江风拂面] -> [愉悦/开心]; [火车声] -> [敬畏/惊叹],Positive,敬畏/惊叹; 愉悦/开心,强/高,否,中山码头
[江风] -> [舒适]; [民国建筑] -> [怀旧/温馨],Positive,放松/平静; 愉悦/开心; 怀旧/温馨,中/一般,否,民国首都电厂旧址公园
[历史建筑风貌] -> [怀旧/温馨],Positive,自豪/归属感; 怀旧/温馨,中/一般,否,大桥南堡公园; 玻璃栈道; 长江大桥
[夕阳晚霞] -> [愉悦/开心]; [江风吹拂] -> [放松/平静],Positive,愉悦/开心; 放松/平静; 敬畏/惊叹,强/高,否,鼓楼滨江
[窗户景观] -> [愉悦/开心],Positive,愉悦/开心; 放松/平静,中/一般,否,南京长江大桥; 玻璃栈道
,Neutral,,弱/低,否,下关火车主题公园; 中山码头; 浦口码头; 浦口公园
[橘子海日落] -> [治愈/愉悦]; [江风] -> [舒适但需保暖],Positive,愉悦/开心; 放松/平静; 兴趣/好奇; 舒适/安全,强/高,否,浦口火车站; 中山码头; 浦口码头
[玻璃栈道] -> [兴趣/好奇],Positive,愉悦/开心; 兴趣/好奇,强/高,否,幕燕滨江; 长江汽渡; 五马渡轮渡; 幕府山达摩洞; 燕子矶; 观音阁; 西站主题; 长江大桥玻璃栈道
[日落] -> [愉悦/开心],Positive,愉悦/开心; 兴趣/好奇,强/高,否,得壹空间; 星巴克; 民国海军医院旧址
[南京城墙] -> [历史厚重感]; [玄武湖公园] -> [放松/平静],Positive,愉悦/开心; 放松/平静,中/一般,否,
[南京长江大桥] -> [敬畏/惊叹],Positive,敬畏/惊叹; 自豪/归属感,强/高,否,中山码头; 浦口码头; 江豚观赏地; 铁路轮渡栈桥旧址; 下关火车主题公园; 欢乐舞台; 长江大桥南堡公园; 好好便利店（宝塔桥西街店）; 玻璃栈道
[日落光线] -> [愉悦/开心]; [江景] -> [放松/平静],Positive,愉悦/开心; 放松/平静,中/一般,否,下关火车主题公园; 玻璃栈道
[民国风建筑] -> [喜欢],Positive,愉悦/开心; 放松/平静,中/一般,否,中山码头; 浦口码头
[日落余晖下的火车站] -> [敬畏/惊叹],Positive,愉悦/开心; 敬畏/惊叹,强/高,否,南京长江大桥; 夫子庙; 秦淮河; 玄武湖公园; 南京城墙
[民国建筑风格] -> [敬畏/惊叹],Neutral,怀旧/温馨; 敬畏/惊叹,中/一般,否,南京长江大桥
[夕阳下的江滩] -> [放松/平静]; [蓝天白云] -> [愉悦/开心],Positive,愉悦/开心; 放松/平静; 兴趣/好奇; 敬畏/惊叹,强/高,否,下关火车主题公园
,Positive,愉悦/开心,中/一般,否,长江大桥; 下关火车主题公园
[江景] -> [放松/平静],Positive,兴趣/好奇; 放松/平静,中/一般,否,下关火车主题公园
[电影感场景] -> [愉悦/开心],Positive,愉悦/开心; 放松/平静,强/高,否,龙虎巷1号; 浦镇扶轮学校; 河北同乡会中学; 浦厂子弟小学; 两浦铁路中学; 附凤门
