关系抽取_RE_Cognitive_Emotion
[配套比较全] -> [舒适/安全]; [小区较老] -> [兴趣/好奇]
[有历史感] -> [怀旧/温馨]; [开阔江景] -> [愉悦/开心]; [金色夕阳] -> [敬畏/惊叹]
[浪漫氛围] -> [愉悦/开心]; [求婚意义] -> [浪漫/温馨]
[怀旧氛围] -> [怀旧/温馨]; [吹江风] -> [放松/平静]
[标志性建筑] -> [自豪/归属感]; [见证国家发展] -> [自豪/归属感]
[城市变迁] -> [怀旧/悲伤]
[有历史感] -> [怀旧/温馨]; [文化展示] -> [兴趣/好奇]
[浪漫氛围] -> [愉悦/开心]; [美丽景色] -> [放松/平静]
[方向感强] -> [Neutral]
[百年历史感] -> [怀旧/温馨]; [氛围感照片] -> [愉悦/开心]
[视野美] -> [愉悦/开心]
[有氛围感] -> [放松/平静]; [出片] -> [愉悦/开心]
[怀旧氛围] -> [怀旧/温馨]; [浪漫场景] -> [愉悦/开心]
[风大] -> [风中凌乱]; [步行距离远] -> [疲惫]
[舒服] -> [放松/平静]; [天气不好] -> [些许失落]
[咖啡好喝] -> [愉悦/开心]; [日落场景] -> [兴趣/好奇]
[电影感] -> [愉悦/开心]; [文学氛围] -> [怀旧/温馨]; [科普教育] -> [兴趣/好奇]
[怀旧] -> [怀旧/温馨]
[有象征意义] -> [兴趣/好奇]
[开阔景观] -> [放松/平静]; [历史感] -> [愉悦/开心]
[轻松愉快氛围] -> [愉悦/开心]
[怀旧感] -> [怀旧/温馨]
[很出片] -> [兴趣/好奇]
[出片] -> [兴趣/好奇]; [拍摄推荐] -> [自豪/归属感]
[民国风满满] -> [愉悦/开心]; [画面感满满] -> [兴趣/好奇]
[如梦似幻] -> [愉悦/开心]; [浪漫氛围] -> [愉悦/开心]
[喜庆氛围] -> [愉悦/开心]; [国家庆典联想] -> [自豪/归属感]
[出片] -> [愉悦/开心]; [开阔氛围] -> [放松/平静]
[标志性] -> [中性情感]
[出片] -> [愉悦/开心]; [江涛拍岸] -> [放松/平静]; [日落] -> [敬畏/惊叹]
[非常赞] -> [愉悦/开心]
[出片效果好] -> [愉悦/开心]; [适合拍照] -> [兴趣/好奇]
[限制通行] -> [轻微失望]
[浪漫氛围] -> [愉悦/开心]; [有历史感] -> [敬畏/惊叹]
[对他人气质的欣赏] -> [钦佩]
[热闹氛围] -> [兴趣/好奇]; [长时间排队] -> [挫败/烦恼]
[适合拍照] -> [愉悦/开心]; [傍晚氛围感强] -> [放松/平静]; [船行驶在江面上真的蛮壮观] -> [敬畏/惊叹]
[历史教育意义] -> [敬畏/惊叹]; [新海诚电影现实版] -> [愉悦/开心]
[灯光设计吸引人] -> [兴趣/好奇]
[有拍摄价值] -> [兴趣/好奇]
[实用建议] -> [自豪/归属感]
[氛围感绝啦] -> [愉悦/开心]; [音乐节气氛] -> [兴趣/好奇]
[风景超美] -> [愉悦/开心]; [日落景观] -> [放松/平静]; [江豚观赏] -> [兴趣/好奇]
[灯光秀] -> [愉悦/开心]; [人群密集] -> [紧张/焦虑]
[风景很不错] -> [愉悦/开心]; [像极了小时候的夏天] -> [怀旧/温馨]
[朱自清文化联想] -> [兴趣/好奇]; [黑暗压抑场景] -> [失望/悲伤]
[很舒服很放松] -> [放松/平静]; [震撼] -> [敬畏/惊叹]
[性价比高] -> [舒适/安全]; [适合拍照] -> [兴趣/好奇]
[历史厚重感] -> [怀旧/温馨]; [个人回忆] -> [感动/悲伤]
[梦幻氛围] -> [愉悦/开心]; [放松体验] -> [放松/平静]
[温柔氛围] -> [放松/平静]; [历史感] -> [愉悦/开心]
[轻松氛围] -> [愉悦/开心]; [美景] -> [放松/平静]
[甚有氛围感] -> [愉悦/开心]
[亮闪闪的江豚] -> [惊叹/好奇]; [自然生态展示] -> [兴趣/好奇]; [温暖的阳光] -> [放松/平静]
[氛围感拉满] -> [愉悦/开心]; [吹江风] -> [放松/平静]; [影视记忆] -> [兴趣/好奇]
[有特色] -> [兴趣/好奇]; [历史价值高] -> [敬畏/惊叹]
[开阔视野] -> [震撼/惊叹]; [安全性评价] -> [舒适/安全]
[有历史感] -> [平静]; [实用性强] -> [平静]
[夕阳] -> [愉悦/开心]; [吹江风很舒服] -> [放松/平静]
[有历史感] -> [自豪/归属感]; [有象征意义] -> [敬佩]
[自然与人文景观交汇] -> [自豪/归属感]; [发展潜力大] -> [兴趣/好奇]
[民国风满满] -> [兴趣/好奇]; [氛围感炸裂] -> [愉悦/开心]
[文艺风格] -> [愉悦/开心]; [历史感] -> [怀旧/温馨]
[视角很棒] -> [愉悦/开心]; [惬意] -> [放松/平静]
[出片] -> [愉悦/开心]; [豁然开朗] -> [放松/平静]; [有故事感] -> [兴趣/好奇]
[历史感] -> [怀旧/温馨]; [江景] -> [愉悦/开心]; [宁静氛围] -> [放松/平静]
[浪漫氛围] -> [愉悦/开心]
[性价比高] -> [愉悦/开心]; [穿越感] -> [敬畏/惊叹]
[好看/出片] -> [愉悦/开心]; [宁静] -> [放松/平静]
[视野超好] -> [愉悦/开心]; [出片效果好] -> [愉悦/开心]
[交通便利性提升] -> [期待]
[怀旧氛围] -> [怀旧/温馨]; [文艺风格] -> [愉悦/开心]
[美到让人窒息] -> [敬畏/惊叹]; [中式浪漫] -> [愉悦/开心]
[有历史感] -> [怀旧/温馨]; [出片] -> [愉悦/开心]
[复古氛围很好] -> [愉悦/开心]; [雄伟的长江大桥] -> [敬畏/惊叹]
[有历史感] -> [敬佩/惊叹]; [有故事] -> [怀旧]
[文化遗产] -> [自豪/归属感]; [历史意义] -> [敬佩]
[有历史感] -> [怀旧/温馨]
[适合打卡拍照] -> [兴趣/好奇]; [等待期间游览] -> [舒适/安全]
[有设计感] -> [愉悦/开心]; [适合拍照] -> [兴趣/好奇]
[风景太美] -> [愉悦/开心]; [身心享受] -> [放松/平静]
[江水景观] -> [放松/平静]; [落日] -> [愉悦/开心]; [玻璃栈道] -> [敬畏/惊叹]
[宁静氛围] -> [放松/平静]; [穿越时空的历史感] -> [敬畏/惊叹]
[历史感] -> [怀旧/温馨]; [文学记忆] -> [兴趣/好奇]
[适合拍照] -> [愉悦/开心]
[有设计感] -> [愉悦/开心]; [震撼场景] -> [敬畏/惊叹]
[独特且值得探索] -> [兴趣/好奇]; [独特且值得探索] -> [自豪/归属感]
[民国风情] -> [兴趣/好奇]; [少有人打扰] -> [放松/平静]; [很出片] -> [愉悦/开心]
[最佳机位] -> [愉悦/开心]; [壮观景象] -> [敬畏/惊叹]
[休闲] -> [愉悦/开心]; [回忆儿时快乐] -> [怀旧/温馨]
[美到令人窒息] -> [愉悦/开心]; [有历史感] -> [敬畏/惊叹]
[韩系风格] -> [愉悦/开心]; [欣赏风景] -> [放松/平静]
[有历史感] -> [自豪/归属感]
[有回忆] -> [怀旧/温馨]
[海边风格] -> [愉悦/开心]; [浪漫氛围] -> [放松/平静]
[浪漫氛围] -> [愉悦/开心]; [舒服的体感] -> [放松/平静]
[宏伟] -> [敬畏/惊叹]; [历史与现代的碰撞] -> [愉悦/开心]
[浪漫氛围] -> [放松/平静]; [出片效果] -> [愉悦/开心]; [民国建筑] -> [怀旧/温馨]
[历史文化价值] -> [自豪/归属感]; [朱自清《背影》关联] -> [怀旧/温馨]
[风景如画] -> [愉悦/开心]; [江风吹拂] -> [放松/平静]; [诗意栖居] -> [敬畏/惊叹]
[观景体验] -> [放松/平静]; [装饰美感] -> [愉悦/开心]
[好看/出片] -> [愉悦/开心]; [安静放松的氛围] -> [放松/平静]
[浪漫氛围] -> [愉悦/开心]; [宝藏景观] -> [兴趣/好奇]
[性价比高] -> [愉悦/开心]; [日落美景] -> [愉悦/开心]
[文化氛围浓厚] -> [愉悦/开心]; [宁静时光] -> [放松/平静]
[承载着无数记忆与荣耀] -> [自豪/归属感]
[出片] -> [愉悦/开心]; [浪漫氛围] -> [放松/平静]
[环境不错] -> [放松/平静]; [适合拍照] -> [愉悦/开心]
[出片效果] -> [愉悦/开心]; [日落美景] -> [敬畏/惊叹]
[有故事] -> [怀旧/温馨]; [历史厚重感] -> [敬畏/惊叹]
[风景无敌] -> [愉悦/开心]; [工业风] -> [兴趣/好奇]; [远眺长江大桥] -> [敬畏/惊叹]
[大气之美] -> [愉悦/开心]
[性价比超高] -> [放松/平静]; [有历史感] -> [兴趣/好奇]
[太有电影感] -> [愉悦/开心]
[承载中国近代史记忆] -> [敬佩]; [有历史文化价值] -> [自豪/归属感]
[有历史感] -> [平静/中性]
[怀旧氛围] -> [怀旧/温馨]; [出片] -> [愉悦/开心]
[构图创意好] -> [敬佩/惊叹]; [灯光效果很好] -> [愉悦/开心]
[适合拍照] -> [愉悦/开心]; [有年代感] -> [怀旧/温馨]
[有历史感] -> [怀旧/温馨]; [落寞氛围] -> [悲伤/失望]
[美食美景兼得] -> [愉悦/开心]; [有诗意的店名] -> [兴趣/好奇]
[文艺氛围] -> [愉悦/开心]; [历史联想] -> [怀旧/温馨]
[有文化底蕴] -> [怀旧/温馨]; [文艺氛围] -> [兴趣/好奇]
[适合拍艺术大片] -> [兴趣/好奇]; [电影感十足] -> [愉悦/开心]
[免费开放日信息] -> [兴趣/好奇]
[文化氛围] -> [兴趣/好奇]; [个人记忆关联] -> [怀旧/温馨]
[失望体验] -> [失望/悲伤]; [低劣的文化展示] -> [厌恶]
[有历史感] -> [怀旧/温馨]; [掀起阵阵波澜] -> [敬畏/惊叹]
[美貌文创] -> [愉悦/开心]; [晚霞亮灯美景] -> [愉悦/开心]
[省事省心省钱] -> [愉悦/开心]
[怀旧氛围] -> [怀旧/温馨]; [历史感] -> [敬畏/惊叹]
[烟火气] -> [愉悦/开心]; [月台与橘子树] -> [兴趣/好奇]
[穿着旗袍拍照的中年姐姐们] -> [愉悦/开心]; [有趣的经历] -> [兴趣/好奇]
[爽] -> [愉悦/开心]
[温暖] -> [舒适/安全]
[有历史感] -> [怀旧/温馨]
[有历史感] -> [敬佩/自豪]; [静心淡然宁静] -> [平静/放松]
[特别有爱] -> [兴趣/好奇]; [空调凉快] -> [舒适/安全]
[好看/出片] -> [愉悦/开心]; [舒服/放松] -> [放松/平静]
[轻松游览体验] -> [放松/平静]; [拍照打卡吸引力] -> [兴趣/好奇]
[浪漫氛围] -> [愉悦/开心]; [有文化底蕴] -> [敬畏/惊叹]
[有历史意义] -> [兴趣/好奇]
[风景真的很美很美] -> [愉悦/开心]; [浪漫氛围] -> [放松/平静]
[复古风格] -> [愉悦/开心]; [新鲜感] -> [愉悦/开心]
[壮观] -> [敬畏/惊叹]; [惬意] -> [愉悦/开心]; [教育记忆] -> [怀旧/温馨]
[文艺风格] -> [愉悦/开心]; [工业风] -> [兴趣/好奇]; [历史意义] -> [敬畏/惊叹]
[教育基地] -> [Neutral]
[重要工业遗产] -> [自豪/归属感]; [工程奇迹] -> [敬佩]
[改善职工住房条件] -> [舒适/安全]
[适合打卡拍照] -> [愉悦/开心]; [有设计感] -> [兴趣/好奇]
[有历史感] -> [无法判断]
[诗意的氛围] -> [放松/平静]; [柔和的光线] -> [敬畏/惊叹]
[怀旧氛围] -> [怀旧/温馨]; [历史意义] -> [愉悦/开心]
[怀旧氛围] -> [怀旧/温馨]; [打卡机位丰富] -> [愉悦/开心]
[写入教科书] -> [自豪/归属感]; [承载几代人回忆] -> [敬佩]
[风景特别好] -> [愉悦/开心]; [长江大桥近在咫尺] -> [敬畏/惊叹]
[圆梦] -> [兴奋]; [滚滚长江] -> [激动]
[浪漫] -> [愉悦/开心]; [自由] -> [放松/平静]
[宁静氛围] -> [放松/平静]; [治愈感] -> [愉悦/开心]
[景色优美] -> [愉悦/开心]; [放松氛围] -> [放松/平静]
[最美的日落] -> [愉悦/开心]; [岁月静好] -> [放松/平静]
[唤醒长江的清晨] -> [兴趣/好奇]
[厚重历史感] -> [敬畏/惊叹]; [醉美秋意] -> [愉悦/开心]
[浪漫氛围] -> [愉悦/开心]; [治愈体验] -> [放松/平静]
[最受喜爱] -> [愉悦/开心]
[遮挡视野] -> [遗憾]; [绝佳视角] -> [心灵抚慰]; [意外舒适公园] -> [放松]
[休闲放松] -> [放松/平静]; [美丽景色] -> [愉悦/开心]
[拍摄效果好] -> [兴趣/好奇]; [冬季寒冷] -> [担忧/焦虑]
[设计感强] -> [兴趣/好奇]; [创新性融合] -> [愉悦/开心]
[历史变迁的见证] -> [怀旧/温馨]; [文化传承] -> [自豪/归属感]
[有文化底蕴] -> [怀旧/温馨]; [落日余晖] -> [愉悦/开心]
[青春感] -> [愉悦/开心]; [纪念感] -> [怀旧/温馨]
[故事感] -> [怀旧/温馨]; [文艺氛围] -> [兴趣/好奇]
[运营时间安排清晰] -> [中性情感]
[适合拍照] -> [愉悦/开心]; [凉快] -> [放松/平静]
[宽阔江面] -> [放松/平静]; [美丽日落] -> [愉悦/开心]
[气势磅礴] -> [敬畏/惊叹]; [红色精神] -> [自豪/归属感]
[功能完善] -> [愉悦/开心]
[风景优美] -> [愉悦/开心]; [历史厚重感] -> [敬畏/惊叹]
[出片效果] -> [愉悦/开心]
[浪漫氛围] -> [放松/平静]
[非常值得] -> [愉悦/开心]; [夜景很美] -> [放松/平静]; [人行道狭窄噪音大] -> [焦虑/害怕]
[更显美丽] -> [愉悦/开心]
[出片] -> [愉悦/开心]; [安静氛围] -> [放松/平静]
[宁静氛围] -> [放松/平静]; [美成了一幅画] -> [愉悦/开心]; [夕阳美景] -> [敬畏/惊叹]
[好看/出片] -> [愉悦/开心]
[历史感] -> [兴趣/好奇]; [江风吹拂] -> [放松/平静]
[装修有特色] -> [愉悦/开心]; [江景优美] -> [舒适/安全]
[路线清晰] -> [兴趣/好奇]; [烤肉体验很好] -> [愉悦/开心]
[壮观] -> [兴趣/好奇]; [宏伟] -> [赞叹]; [氛围感强] -> [愉悦/开心]
[巨好拍] -> [愉悦/开心]; [好看/出片] -> [愉悦/开心]
[有设计感] -> [愉悦/开心]; [有趣] -> [兴趣/好奇]
[浪漫氛围] -> [愉悦/开心]; [特殊时刻] -> [浪漫/温馨]
[浪漫氛围] -> [愉悦/开心]; [看到江豚] -> [敬畏/惊叹]
[视野超级好] -> [满足]; [不能遛狗] -> [遗憾]
[充满历史感] -> [兴趣/好奇]; [超级梦幻] -> [敬畏/惊叹]; [出片率高] -> [愉悦/开心]
[有生活气息] -> [兴趣/好奇]; [物品真实有趣] -> [愉悦/开心]
[真的美] -> [愉悦/开心]; [有氛围感] -> [放松/平静]
[出片效果] -> [愉悦/开心]; [轻松氛围] -> [放松/平静]
[视觉震撼的日落场景] -> [敬畏/惊叹]; [很出片] -> [愉悦/开心]
[浪漫] -> [愉悦/开心]; [宁静] -> [放松/平静]; [开阔江景] -> [敬畏/惊叹]
[悠闲地吹吹江风] -> [放松/平静]; [民国时期的感觉] -> [兴趣/好奇]
[有历史感] -> [兴趣/好奇]; [避开人潮] -> [放松/平静]
[国家重点交通设施] -> [中性情感]
[有象征意义] -> [自豪/归属感]
[夕阳很美] -> [愉悦/开心]; [宁静氛围] -> [放松/平静]
[有故事] -> [怀旧/温馨]; [有回忆] -> [怀旧/温馨]
[浪漫氛围] -> [浪漫/温馨]; [美食体验] -> [愉悦/开心]
[争气桥] -> [自豪/归属感]; [军事测试历史] -> [敬畏/惊叹]
[有历史感] -> [怀旧/温馨]; [出片] -> [愉悦/开心]
[有氛围感] -> [愉悦/开心]; [出片] -> [兴趣/好奇]
[位置很好] -> [放松/平静]; [拍照出片] -> [愉悦/开心]
[松弛感] -> [放松/平静]; [心神畅快] -> [治愈]
[有文化底蕴] -> [怀旧/温馨]; [见证岁月变迁] -> [敬佩/惊叹]
[生活的独特性和记忆价值] -> [自豪/归属感]
[岁月静好] -> [放松/平静]; [适合拍照] -> [愉悦/开心]
[有历史感] -> [怀旧/温馨]
[文艺气息] -> [兴趣/好奇]; [秋高气爽] -> [放松/平静]; [好出片] -> [愉悦/开心]
[童年回忆] -> [怀旧/温馨]; [老下关改造提升] -> [愉悦/开心]
[风景宜人] -> [放松/平静]; [童年乐趣] -> [怀旧/温馨]
[走心又有趣] -> [愉悦/开心]
[文学记忆] -> [敬爱/感恩]; [咖啡香气] -> [放松/平静]
[有历史感] -> [兴趣/好奇]; [天气寒冷] -> [厌恶]
[未看到江豚] -> [失望]
[动人画卷] -> [愉悦/开心]; [宁静神秘氛围] -> [放松/平静]; [金辉点点景象] -> [敬畏/惊叹]
[好拍] -> [愉悦/开心]; [有氛围感] -> [放松/平静]
[治愈感] -> [放松/平静]
[巨美] -> [愉悦/开心]; [灯光亮化] -> [放松/平静]; [博物馆式审美] -> [兴趣/好奇]
[非常推荐] -> [愉悦/开心]; [历史感] -> [兴趣/好奇]
[美好景象] -> [愉悦/开心]; [自然氛围] -> [放松/平静]
[宁静氛围] -> [放松/平静]; [美景] -> [愉悦/开心]
[童年记忆] -> [怀旧/温馨]; [食物美味] -> [愉悦/开心]
[历史厚重感] -> [敬佩/崇拜]; [工艺精美] -> [兴趣/好奇]
[有历史感] -> [怀旧/温馨]
[食物香味] -> [愉悦/开心]; [空调温度舒适] -> [放松/平静]
[兴趣] -> [期待]
[惬意] -> [放松/平静]; [悠闲时光] -> [愉悦/开心]
[怀旧] -> [怀旧/温馨]
[体验风的感觉] -> [愉悦/开心]; [家庭氛围] -> [舒适/安全]
[浪漫氛围] -> [愉悦/开心]; [趣味性强] -> [兴趣/好奇]; [壮观景象] -> [敬畏/惊叹]
[色彩斑斓] -> [愉悦/开心]; [闹中取静] -> [放松/平静]; [有历史感] -> [敬畏/惊叹]
[复古风适合拍照] -> [愉悦/开心]; [近距离拥抱长江] -> [放松/平静]; [长江大桥壮观] -> [敬畏/惊叹]
[中式美学氛围] -> [愉悦/开心]; [秋色景观] -> [放松/平静]
[视野开阔] -> [放松/平静]; [开阔江景] -> [舒适/安全]
[出片] -> [愉悦/开心]; [放松氛围] -> [放松/平静]
[地标意义] -> []
[青春回忆] -> [怀旧/温馨]
[夜景好看] -> [愉悦/开心]; [像海边] -> [放松/平静]
[经典设计] -> [愉悦/开心]; [历史感] -> [怀旧/温馨]; [时光之镜] -> [敬畏/惊叹]
[有历史感] -> [愉悦/开心]; [宁静氛围] -> [放松/平静]
[适合拍照] -> [愉悦/开心]
[浪漫氛围] -> [放松/平静]; [出片效果] -> [愉悦/开心]
[排队人群] -> [震惊]; [好天气] -> [犹豫]
[体验当地生活] -> [舒适/安全]; [朱自清站台] -> [兴趣/好奇]
[美] -> [愉悦/开心]; [视野开阔] -> [敬畏/惊叹]
[历史联想] -> [兴趣/好奇]; [设施陈旧] -> [失望/悲伤]
[宁静氛围] -> [放松/平静]; [历史感] -> [敬畏/惊叹]
[美不胜收] -> [愉悦/开心]; [雄伟壮观] -> [敬畏/惊叹]
[真的太美了] -> [愉悦/开心; 敬畏/惊叹]
[出片] -> [愉悦/开心]; [轻松氛围] -> [放松/平静]
[桥下风景有感觉] -> [兴趣/好奇]; [公园关闭且拒绝协商] -> [失望/悲伤]
[有文化底蕴] -> [敬仰]; [历史感] -> [怀旧]
[幸福感] -> [愉悦/开心]; [看到江豚] -> [惊叹/喜悦]
[太动漫了] -> [愉悦/开心]; [有设计感] -> [兴趣/好奇]
[出片效果] -> [愉悦/开心]; [氛围感] -> [放松/平静]
[特别优美] -> [愉悦/开心]; [有氛围感] -> [放松/平静]
[难得一见] -> [兴趣/好奇]; [研究价值高] -> [自豪/归属感]
[舒适氛围] -> [放松/平静]; [夜景灯光] -> [愉悦/开心]
[适合人像拍摄] -> [兴趣/好奇]
[城市探索好去处] -> [愉悦/开心]; [登高望远视野好] -> [放松/平静]
[交通变动告知] -> [担忧]; [提供解决方案] -> [缓解情绪]
[美丽日落] -> [愉悦/开心]; [恐高感] -> [敬畏/惊叹]
[浪漫] -> [愉悦/开心]
[有故事感] -> [兴趣/好奇]; [最佳欣赏落日地] -> [愉悦/开心]
[超出片] -> [愉悦/开心]
[浪漫] -> [愉悦/开心]
[漫画感] -> [愉悦/开心]; [浪漫的日落] -> [放松/平静]
[浪漫氛围] -> [愉悦/开心]; [记忆联想] -> [浪漫/温馨]
[浪漫氛围] -> [愉悦/开心]
[海边乌托邦] -> [愉悦/开心]; [绝美自然风光] -> [敬畏/惊叹]
[可以拍情绪片] -> [兴趣/好奇]; [大桥不好看] -> [无特别感受]
[有历史感] -> [怀旧/温馨]; [有氛围感] -> [兴趣/好奇]
[有历史感] -> [兴趣/好奇]; [好去处] -> [愉悦/开心]
[浪漫氛围] -> [愉悦/开心]; [放松体验] -> [放松/平静]
[氛围感强] -> [愉悦/开心]
[浪漫氛围] -> [愉悦/开心]; [历史联想] -> [怀旧/温馨]
[包出片] -> [愉悦/开心]
[有文化底蕴] -> [怀旧/温馨]; [环境整洁] -> [愉悦/开心]
[生态价值和观赏意义] -> [兴趣/好奇]
[有氛围感] -> [愉悦/开心]; [废墟感] -> [兴趣/好奇]
[最美落日] -> [愉悦/开心]; [超级浪漫] -> [浪漫/温馨]
[惬意感受] -> [放松/平静]; [很出片] -> [愉悦/开心]
[商业化严重] -> [失望]; [交通拥堵] -> [焦虑]
[电梯不对外开放] -> [失望]
[骑行顺畅] -> [愉悦/开心]
[怀旧] -> [怀旧]
[电影感大片] -> [愉悦/开心]; [万人合唱] -> [愉悦/开心]; [阳光洒落的阅读区] -> [放松/平静]
[老电影风格] -> [怀旧/温馨]; [承载记忆] -> [敬佩/惊叹]
[有历史感] -> [敬畏/惊叹]; [有文化底蕴] -> [自豪/归属感]
[灯火璀璨] -> [愉悦/开心]; [美轮美奂] -> [敬畏/惊叹]
[视野好] -> [愉悦/开心]; [有历史感] -> [兴趣/好奇]; [晚上灯光好看] -> [愉悦/开心]
[怀旧感] -> [怀旧/温馨]; [可爱的城市更新过程] -> [愉悦/开心]
[熟悉感] -> [怀旧/温馨]
[历史文化价值] -> [兴趣/好奇]
[惬意氛围] -> [放松/平静]; [民国风情] -> [兴趣/好奇]
[心旷神怡] -> [放松/平静]; [彷佛置身德国天鹅堡] -> [愉悦/开心]
[历史感] -> [怀旧/温馨]; [宁静氛围] -> [放松/平静]
[拍出剪影感] -> [愉悦/开心]; [朱自清《背影》场景] -> [兴趣/好奇]
[好视野] -> [愉悦/开心]; [日落美景] -> [幸福感受]
[现代感] -> [愉悦/开心]; [震撼灯光秀] -> [敬畏/惊叹]
[拍照非常nice] -> [兴趣/好奇]; [宁静环境] -> [放松/平静]
[全景震撼] -> [敬畏/惊叹]; [历史厚重感] -> [兴趣/好奇]
[百年历史美感] -> [敬畏/惊叹]; [景色美丽] -> [愉悦/开心]
[景色美] -> [愉悦/开心]; [历史感] -> [怀旧/温馨]
[有历史感和文化意义] -> [怀旧/温馨]; [性价比高] -> [愉悦/开心]
[湖光闪烁] -> [愉悦/开心]; [放松解压] -> [放松/平静]
[空气好] -> [放松/平静]; [人少] -> [舒适/安全]
[有文化底蕴] -> [敬佩/敬畏]; [文学场景联想] -> [怀旧/温馨]
[舒服] -> [放松/平静]; [江景优美] -> [愉悦/开心]
[有氛围感] -> [愉悦/开心]; [环境舒适] -> [放松/平静]
[香味诱人] -> [愉悦/开心]; [出片场景] -> [兴趣/好奇]
[出片] -> [愉悦/开心]
[好看/出片] -> [愉悦/开心]; [浪漫氛围] -> [放松/平静]
[浪漫氛围] -> [愉悦/开心]; [震撼场景] -> [敬畏/惊叹]
[拍摄难度] -> [谨慎/担忧]; [火车场景美] -> [兴趣/好奇]
[江景无敌] -> [愉悦/开心]; [放松] -> [放松/平静]
[好看/出片] -> [愉悦/开心]; [放松] -> [放松/平静]
[有历史感] -> [怀旧/温馨]; [有文化底蕴] -> [敬佩/敬畏]
[好看/出片] -> [愉悦/开心]
[有氛围感] -> [愉悦/开心]; [完美结合] -> [放松/平静]
[与课文关联] -> [怀旧/温馨]; [失望场景] -> [失望/悲伤]
