Text_ID,Original_Text,Place_Name,Place_Type,Spatial_Features_Manmade,Spatial_Features_Natural,Spatial_Features_Visual,Spatial_Features_OtherSensory,Sensory_Visual_Desc,Sensory_Auditory_Desc,Sensory_TactileKinesthetic_Desc,Sensory_OlfactoryGustatory_Desc,Cognitive_Legibility_Orientation,Cognitive_Functionality_Usability,Cognitive_Aesthetics_Quality,Cognitive_Atmosphere_Experience,Cognitive_Meaning_Association,Social_CrowdLevel,Emotion_Valence,Emotion_Discrete,Emotion_Intensity,Emotion_Shift,Social_Company,Behavior_Activities,Behavior_Social_Interaction_Desc,Behavior_Lingering_Mention,Behavior_Approach_Avoidance_Intent,Behavior_Plan_Change,Behavior_Activity_Evaluation,RE_Spatial_Cognitive,RE_Cognitive_Emotion,RE_Emotion_Behavior,RE_Spatial_Emotion,RE_Spatial_Relation,RE_Other,Spatio_Emotional_Cognitive_Behavioral_Summary
entry_11,虎门医院旧址创建于1930年，由门楼、医院主楼、商颂亭三部分构成，坐东南朝西北。医院主楼是一栋仿宫殿形式的两层建筑，正立面两侧各建有一座八角攒尖顶的塔楼，与主楼一体，整体建筑呈工字型，具有鲜明的折衷主义建筑风格。 朱执信纪念碑是为纪念在虎门殉难的中国近代资产阶级民主革命家朱执信先生而建的，抗日名将蒋光鼐发起捐资为其立碑。纪念碑于1931年重建，由民国政要胡汉民撰写碑铭和碑文。曾被破坏，1986年由虎门镇政府和海军医院修缮复原。,民国海军医院旧址,历史遗迹,门楼; 医院主楼; 商颂亭; 塔楼; 纪念碑; 碑铭; 碑文,,仿宫殿形式; 两层建筑; 八角攒尖顶; 工字型; 折衷主义建筑风格,,仿宫殿形式; 折衷主义建筑风格,,,,坐东南朝西北,,鲜明的折衷主义建筑风格; 修缮复原,,1930年创建; 纪念朱执信先生; 抗日名将蒋光鼐; 民国政要胡汉民; 曾被破坏; 修缮复原,,Neutral,,,否,,,,,,否,,[医院主楼] -> [鲜明的折衷主义建筑风格]; [纪念碑] -> [纪念朱执信先生],,,,,,介绍了民国海军医院旧址(地点)的构成(门楼、主楼、商颂亭)和建筑风格(人造特征/认知美学)，以及朱执信纪念碑的历史和意义(人造特征/认知意义)。
entry_12,浪漫的是落日是晚风，是甲板对面的南京长江大桥,南京长江大桥,地标/空间节点; 交通枢纽,甲板; 南京长江大桥,落日; 晚风,落日; 南京长江大桥,晚风,,,,,,,浪漫,浪漫,,,Positive,愉悦/开心; 放松/平静; 浪漫/温馨,中/一般,否,,观景(个人),,,,否,,[落日/晚风/南京长江大桥] -> [浪漫],[浪漫] -> [愉悦/开心]; [浪漫] -> [浪漫/温馨],,[落日/晚风/南京长江大桥] -> [浪漫/温馨],[南京长江大桥] [位于] [甲板对面],,在甲板上(地点)，看到落日、感受到晚风、远眺南京长江大桥(空间特征)，觉得很浪漫(认知氛围/情感)。
entry_13,试过了，南京长江大桥要门票的。100块，送一张高清合影。,南京长江大桥,地标/空间节点; 交通枢纽,南京长江大桥; 门票,,高清合影,,,,,,,要门票 (100块),,,,,Neutral,,,否,独自,尝试进入(个人),,,,否,,[南京长江大桥] -> [要门票],,,,,,尝试后发现去南京长江大桥(地点)需要购买100元门票(认知功能)，会赠送高清合影(行为)。
entry_14,🌊南京也有自己的海岸线？周末打卡浦口码头，轮渡直达中山码头，一路逛了扬子江生态公园、民国机电厂遗址、民国海军医院遗址，仿佛置身海边！🌅 📸 拍照圣地：扬子江生态公园的江景无敌，随手一拍就是大片！民国机电厂遗址和海军医院遗址更是充满了历史感，仿佛穿越回了那个年代。 🚢 轮渡体验：从浦口码头到中山码头的轮渡，吹着江风，看着两岸的风景，心情瞬间放松下来。江风拂面，仿佛真的在海边度假！ 💡 小贴士：建议傍晚时分去，夕阳下的江景更加迷人，拍照效果也更好哦！ 📍 地址：南京市浦口区浦口码头 快来南京的海岸线打卡吧，感受不一样的江边风情！🌊✨,浦口码头; 中山码头; 扬子江生态公园; 民国首都电厂旧址公园; 民国海军医院旧址,交通枢纽; 公园/绿地; 历史遗迹; 滨水区域,浦口码头; 轮渡; 中山码头; 扬子江生态公园; 民国机电厂遗址; 民国海军医院遗址,江景; 江风; 两岸风景; 夕阳,江景; 大片; 两岸风景; 夕阳,江风,无敌; 大片; 迷人,,放松; 江风拂面,,,轮渡直达,江景无敌; 随手一拍就是大片; 迷人; 拍照效果更好,仿佛置身海边; 仿佛穿越回了那个年代; 放松; 仿佛真的在海边度假; 不一样的江边风情,历史感,,Positive,愉悦/开心; 放松/平静; 兴趣/好奇; 怀旧/温馨,强/高,否,独自,打卡(个人); 坐轮渡(个人); 逛(个人); 拍照(个人); 看风景(个人),,,建议傍晚时分去; 快来...打卡吧,否,随手一拍就是大片,[扬子江生态公园江景] -> [无敌/大片]; [民国遗址] -> [历史感/仿佛穿越]; [江风/两岸风景] -> [放松/像海边度假],[放松] -> [放松/平静]; [大片/迷人] -> [愉悦/开心]; [历史感/穿越感] -> [怀旧/温馨],[愉悦/放松] -> [打卡/推荐],[江风] -> [放松/平静],[轮渡] [从] [浦口码头] [到] [中山码头],,在浦口码头(地点)及周边(扬子江公园、民国遗址)，通过坐轮渡、逛公园(行为)，体验到无敌的江景和历史感(空间特征/认知美学/意义)，感觉仿佛置身海边、穿越时空(认知氛围)，心情放松愉悦(情感)，并推荐傍晚去拍照打卡(行为意图)。
entry_15,属于我娃的背影 老公悄咪咪发的朋友圈 （他说不删 也没屏蔽父母和亲戚） 朱自清爸爸买🍊 我效仿 结果被挂住了 老公第一反应不是救我 他拿出了相机 拍了好久 还是我的娃说：妈妈我来救你 自己看图都笑死了了 还有很多人路过 好社死 不知道有没有被别人拍下来,浦口火车站,历史遗迹; 交通枢纽,相机,橘子,背影; 橘子,,,笑死了,被挂住了,,,,,社死,朱自清爸爸买橘子,很多人路过,Mixed,愉悦/开心; 挫败/烦恼; 尴尬 (未在列表中，归为挫败/烦恼),中/一般,否,"与家人 (老公, 娃)",模仿 (个人); 拍照 (集体); 救助 (集体),老公拍照不救助; 娃说要救妈妈; 自己看图笑死; 被路人围观,拍了好久,,否,笑死了; 好社死,,[社死] -> [挫败/烦恼]; [看图] -> [愉悦/开心],,,,[模仿朱自清爸爸买橘子] -> [被挂住],在疑似浦口火车站(地点)，模仿朱自清爸爸买橘子(行为/认知联想)时被挂住(行为)，老公拍照不救助，最后被娃解救(社交互动)，感觉又好笑又社死(情感/活动评价)，且被很多人围观(认知人群)。
entry_16,2025315 阴转小雨 510 空气质量:87良 南航研一骑行记 骑行人员：咸鱼 骑行序：晨起特遣八时，察天气报，见天将持续降雨，遂复眠。至午时十二，忽觉雨已止，遂启程骑行。至二十里，骤雨忽至，连绵不绝，至五十里始歇。前无村落，后无店肆，唯有继续前行。雨水浸身，化作落汤之鸡，况老山崎岖，坡道陡峭，湿滑泥泞，且多弯道，难以加速。以我弱腿，行此艰难，实为力不从心。是以，名此行:落汤鸡之旅。 骑行路线图： p1:明故宫中山码头浦口码头老山路线(详见p2)，小雨天气被老山大坡征服(以后老老实实骑江心洲吧)。行程总时长包含晚饭时间约2h＋(小红书上很火的黔多多烙锅p14，等位1h p15，干饭1h) p2:本次环老山路线图，际刻骑行app，路书编号:10131011际刻骑行 中山浦口码头时刻表、价格( 注意分工作日和周末！) p3: 工作日时刻 p4: 周末时刻 (建议提前10分钟到达渡口) p5:人2r，如果有车一共3r，可用支付宝出行公交码支付 PS:比不能用公交码的燕子矶渡口强多了！ 照片拍摄位置 p6、p7:中山码头浦口码头 p8:浦口火车站近代风貌区内，距离浦口码头200米 p9:老山外环线照片 p10:老山九龙湖北侧 p11:我爱南京立牌 老山九龙湖 p12:老山隆兴寺前方道路，由于后面再度下雨🌧基于赶渡船，未给隆兴寺拍照 p13:成功坐上18:30的返程渡船 晚饭时刻(p15)： 南记黔多多贵州酸汤火锅烙锅(红庙店) 总结：最近小红书上总刷到的烙锅，大家一定一定要美团提前排队！否则就像(p16)的我，等位36桌排了67min。味道中等偏上，分量可以，两个人吃的美团158套餐(p17) 碎碎念：路书10131011中的环老山骑行路线90路段是接连的上下坡，狠狠的练腿了，建议大家选择晴天骑行，不喜欢山路骑行的请谨慎前往。,明故宫; 中山码头; 浦口码头; 老山; 江心洲; 燕子矶渡口; 浦口火车站; 老山九龙湖; 老山隆兴寺; 红庙,历史遗迹; 交通枢纽; 公园/绿地; 商业设施,中山码头; 浦口码头; 渡口; 支付宝公交码; 燕子矶渡口; 浦口火车站; 风貌区; 老山外环线; 我爱南京立牌; 老山隆兴寺; 道路; 渡船; 黔多多烙锅; 美团,阴转小雨; 降雨; 骤雨; 雨水; 老山; 坡道; 泥泞; 弯道; 九龙湖; 天气,照片; 立牌,小雨; 骤雨; 雨水浸身; 湿滑; 泥泞; 天气,,,雨水浸身; 落汤之鸡; 崎岖; 陡峭; 湿滑泥泞; 难以加速; 艰难; 力不从心; 上下坡; 练腿,,多弯道; 崎岖; 陡峭; 湿滑泥泞,可用支付宝支付; 比燕子矶强多了; 需提前排队 (餐厅),味道中等偏上; 分量可以,艰难; 力不从心; 落汤鸡之旅,南航研一骑行记,等位36桌,Negative,挫败/烦恼,中/一般,否,独自,骑行(个人); 睡觉(个人); 坐渡船(个人); 吃饭(个人); 等位(个人),,行程总时长约2h+; 等位1h; 干饭1h,以后老老实实骑江心洲吧; 建议提前10分钟到达渡口; 一定一定要美团提前排队; 建议大家选择晴天骑行; 谨慎前往,是 (因天气预报复眠; 因下雨未给隆兴寺拍照),艰难; 力不从心; 落汤鸡之旅; 狠狠的练腿了,[老山坡道] -> [崎岖/陡峭]; [雨天路面] -> [湿滑泥泞]; [支付宝支付] -> [方便/比燕子矶强],[艰难/力不从心] -> [挫败/烦恼],[挫败/烦恼] -> [以后老老实实骑江心洲吧/建议晴天骑行/谨慎前往],[雨水浸身/落汤之鸡] -> [挫败/烦恼],[浦口火车站] [距离200米] [浦口码头],[小雨天气] -> [被老山大坡征服],记录了一次从明故宫经中山码头、浦口码头至老山的骑行(行为/地点)，因雨天和老山路况(崎岖、陡峭、湿滑)(自然/空间特征/认知易读性)，骑行过程艰难，感觉力不从心(活动评价/情感)，被称为“落汤鸡之旅”(认知氛围)，建议晴天骑行并谨慎选择山路(行为意图)。晚餐在红庙吃了烙锅，需排长队(行为/地点)。
entry_17,🚞如果多一张车票，你会不会跟我走🎫 南京下关火车主题公园，是长江边上的一个火车主题园，其原型是2012年停止运营的南京西站，也是南京最早的火车站。园内有两节绿皮车厢可以上去拍照，复古车站，复古车轨和座椅，建议着复古风的衣服拍写真。日落的时候，夕阳照射进车厢里投射出橘黄色的光斑，真的美哭了！日落之后，路灯照进来又是不一样的光影效果。 旁边就是长江，可以下到江边拍夕阳剪影，日落的光线超级美，很多新人在这边拍婚纱照，不远处就是南京长江大桥，可以看到真正的绿皮火车驶过。 地址：南京市鼓楼区老江口 地铁3号线上元门站2号口，出站后换乘12路公交至宝塔桥，然后步行900米，或者出地铁站后打车前往 门票：免费,下关火车主题公园; 南京西站; 长江; 南京长江大桥; 上元门站; 宝塔桥,公园/绿地; 历史遗迹; 交通枢纽; 滨水区域; 地标/空间节点,火车主题园; 南京西站; 绿皮车厢; 复古车站; 复古车轨; 座椅; 路灯; 江边; 南京长江大桥; 绿皮火车; 地铁站; 公交; 出入口,长江; 日落; 夕阳; 光斑; 光影; 光线,绿皮车厢; 复古车站; 复古车轨; 座椅; 夕阳; 橘黄色光斑; 光影效果; 夕阳剪影; 光线; 绿皮火车; 南京长江大桥,,复古; 橘黄色; 美哭了; 不一样的光影效果; 超级美,,,,旁边就是长江; 不远处就是南京长江大桥,可以上去拍照; 可以下到江边; 免费,复古; 美哭了; 不一样的光影效果; 超级美,复古,原型是南京西站; 南京最早的火车站,很多新人拍婚纱照,Positive,愉悦/开心; 惊叹/敬畏; 浪漫/温馨; 怀旧/温馨,强/高,否,,拍照(个人); 拍写真(个人); 拍夕阳剪影(个人); 拍婚纱照(集体); 观景(个人),看到很多新人在这边拍婚纱照,,建议着复古风的衣服,否,,[绿皮车厢/车站/车轨/座椅] -> [复古]; [夕阳/光斑/光影/光线] -> [美哭了/超级美],[美哭了/超级美] -> [愉悦/开心]; [美哭了/超级美] -> [惊叹/敬畏]; [复古] -> [怀旧/温馨],[愉悦/开心] -> [拍照],[夕阳/橘黄色光斑] -> [浪漫/温馨],[下关火车主题公园] [位于] [长江边上]; [长江] [位于] [公园旁边]; [南京长江大桥] [位于] [公园不远处],,在下关火车主题公园(地点)，其原型是南京西站(认知意义)，园内有绿皮车厢、复古车站和车轨(空间特征)，日落时夕阳和光影效果很美(自然/视觉特征/认知美学)，可以在江边拍剪影，看到长江大桥和绿皮火车(空间特征/行为)，整体氛围复古浪漫(认知氛围/情感)，适合拍照(行为)，吸引了新人拍婚纱照(认知人群)。
entry_18,"🚋浦口火车站, 时光的见证者, 等你来探寻。每一砖每一瓦, 都承载着历史的厚重, 带你穿越时空的隧。🚦 浦口火车站旧址位于南京市浦口区，始建于清光绪三十四年（1908年），占地面积20公顷，被列为中国最文艺的九个火车站，是全国重点文物保护单位。 民国三年（1914年），浦口火车站正式开通运营，是连接平津冀鲁豫皖等11省的重要交通枢纽；1968年10月，随着南京长江大桥通车，浦口火车站停办客运；1985年，恢复部分客运，并更名为南京北站，站场货运业务不断扩大，站场规模不断扩建；2004年10月，停办客运。1 2013年3月5日，浦口火车站旧址被中华人民共和国国务院公布为第七批全国重点文物保护单位。🌈 📸 建筑特点🛤 浦口火车站，为老式英式建筑，三层砖木结构，米黄色外墙，红色大屋顶。伸出直通月台的单柱伞形长廊和连接轮渡码头的拱形雨廊，连接着一座3层米黄色的主楼，红色的屋顶上写着南京北站四个大字，主楼正对面的广场上还有一座专门为纪念孙中山先生灵柩停放处所建的中山停灵台。 浦口火车站的特点就在于候车大楼、月台、雨廊、售票房、贵宾楼、高级职工宿舍等主体及配套建筑，都被系统性地保存下来。房屋顶是青灰色的机平瓦，外立面是土黄色的水泥砂浆粉刷，具有类似小二楼别墅的形制。浦口火车站建筑中的月台、雨廊等附属建筑，采用了钢筋混凝土的结构。 🎆网红景点🎇 🕹浦口火车站旧址：百年老站，是朱自清笔下的背影，是情深深雨濛濛的月台，复古风情满满，拍照秒出大片📸！站台、铁轨、仓库、老式车厢，每一处都是历史的痕迹！ 🕹大马路民国风情街：街道两旁的建筑保留了民国时期的风格，漫步其中，仿佛置身于老电影场景中🎬。 🕹 大马路市集：春节期间，各种地方特色小吃、手工艺品、复古小饰品，各类花式花灯。📷 🚇交通出行:🚇可以选择乘坐地铁3号线到柳州东路站，然后转乘公交；或者乘坐 S8 号线到毛纺厂路站转公交；如果想体验独特的过江方式，也可以导航至中山码头，乘坐轮渡前往浦口码头，票价 2 元。🚢",浦口火车站; 南京北站; 中山停灵台; 大马路; 中山码头; 浦口码头,历史遗迹; 交通枢纽; 商业设施; 地标/空间节点; 广场/开阔地,火车站; 砖; 瓦; 建筑; 外墙; 屋顶; 月台; 长廊; 雨廊; 主楼; 广场; 中山停灵台; 候车大楼; 售票房; 贵宾楼; 高级职工宿舍; 房屋顶; 外立面; 钢筋混凝土结构; 站台; 铁轨; 仓库; 老式车厢; 大马路; 民国风情街; 市集; 花灯; 地铁站; 公交; 轮渡,,英式建筑; 米黄色外墙; 红色大屋顶; 单柱伞形长廊; 拱形雨廊; 青灰色机平瓦; 土黄色水泥砂浆粉刷; 小二楼别墅形制; 复古风情; 民国时期风格; 老电影场景; 花灯,,老式英式; 米黄色; 红色; 青灰色; 土黄色; 复古风情; 秒出大片,,,,,系统性地保存下来; 票价2元 (轮渡),最文艺; 英式建筑; 复古风情满满; 拍照秒出大片; 民国时期风格,时光的见证者; 历史的厚重; 穿越时空; 文艺; 复古风情; 仿佛置身于老电影场景中,时光的见证者; 历史的厚重; 清光绪三十四年始建; 最文艺; 全国重点文物保护单位; 重要交通枢纽; 南京北站; 纪念孙中山先生灵柩停放处; 百年老站; 朱自清笔下的背影; 情深深雨濛濛的月台; 历史的痕迹; 民国时期风格,,Positive,兴趣/好奇; 怀旧/温馨; 敬畏/惊叹,中/一般,否,,探寻(个人); 拍照(个人); 漫步(个人); 逛市集(个人); 乘坐轮渡(个人),,,等你来探寻,否,拍照秒出大片,[浦口火车站建筑] -> [英式/文艺/复古/历史感]; [大马路建筑] -> [民国风格/像老电影],[历史的厚重/百年老站/背影/月台] -> [怀旧/温馨]; [文艺/复古] -> [兴趣/好奇]; [时光见证者] -> [敬畏/惊叹],[兴趣/好奇] -> [探寻/拍照/漫步],[浦口火车站] -> [怀旧/温馨],[中山停灵台] [位于] [主楼正对面广场],[浦口火车站] -> [朱自清《背影》/《情深深雨濛濛》发生地],介绍了浦口火车站(地点)作为时光见证者(认知意义)，其英式建筑风格(空间特征/认知美学)和承载的历史厚重感(认知意义/氛围)，是文艺复古的网红景点(认知氛围/美学)，适合拍照(行为)，并介绍了周边的大马路民国风情街和市集(地点)，以及多种交通方式(行为)，整体充满怀旧与好奇感(情感)。
entry_19,小时候住在下关区，经常会来到桥下顺着楼梯马上去来到桥边看车水马龙，后来搬走了，也已经很多年不曾来过 如今再来南京长江大桥，发现变化真大，桥已经不能再爬，桥下的绿草地也挤满了加起来遛娃的家长们，还有的支个帐篷来露营，春日的午后好不惬意！ 在走两步就到了下关西主题公园，过两条街就是中山码头，坐轮渡可以到达浦口，傍晚来坐船还可以看到夕阳🌇,下关区; 南京长江大桥; 下关火车主题公园; 中山码头; 浦口,地标/空间节点; 公园/绿地; 交通枢纽,桥 (长江大桥); 楼梯; 桥边; 帐篷; 下关西主题公园; 中山码头; 轮渡,绿草地; 春日; 午后; 夕阳,车水马龙; 绿草地; 帐篷; 夕阳,春日午后,,,惬意,,桥下; 桥边; 在走两步就到了; 过两条街就是,桥已经不能再爬; 可以坐轮渡到达浦口,,惬意,小时候; 很多年不曾来过; 变化真大,挤满了遛娃的家长们,Mixed,怀旧/温馨; 愉悦/开心; 放松/平静; 些许失望 (桥不能爬),中/一般,否,独自,看车水马龙(个人); 遛娃(集体); 露营(集体); 坐轮渡(个人); 看夕阳(个人),看到家长遛娃、有人露营,,,否,惬意 (露营/午后),[桥下绿草地] -> [惬意],[惬意] -> [放松/平静]; [变化真大/不能爬桥] -> [怀旧/失望],,[春日午后/绿草地] -> [放松/平静]; [夕阳] -> [愉悦/开心],[下关西主题公园] [临近] [南京长江大桥]; [中山码头] [临近] [下关西主题公园]; [中山码头] [轮渡连接] [浦口],[小时候] -> [常来桥下],重访儿时常去的南京长江大桥下(地点/认知联想)，发现变化大，桥不能爬了(认知功能)，但桥下绿草地挤满遛娃露营的人(认知人群/行为)，春日午后感觉惬意(认知氛围/情感)，附近还有下关火车公园和中山码头(地点)，可坐轮渡看夕阳(行为/空间特征)。
entry_20,2004年还是普铁时代，南京西站仍然在办理客运，并且客流旺盛。江边路的下关长途汽车站仍在使用，2004年时长途客运仍然有较大市场。2012年，南京西站和下关长途汽车站关闭（停办客运业务）。2004年时，长江客运航运业务已日渐凋零，南京港客运码头在2004年关闭。中山码头以北至长江大桥设置着近8、9个各种用途的码头，2014年建设长江滨江风光带，将中山码头以北各码头全部拆除。 2004年江边路北端仅到龙江路，如今已经延伸到了南京长江大桥。惠民大道一年后2005年改名为郑和中路，如今又在建设隧道。下关电厂2009年搬迁后，原本占地巨大的地块进行了大规模路网细化调整，2021年新建了下关大街。鲜鱼巷、永宁街、宝善街、商埠街等，在2010年后的下关大拆迁中面目全非，几乎消失。下关商业中心的热河路受到外部原因影响，如今成为文艺青年热门打卡地。 图、文：下关往事工作室,南京西站; 江边路; 下关长途汽车站; 南京港客运码头; 中山码头; 长江大桥; 长江滨江风光带; 龙江路; 惠民大道; 郑和中路; 下关电厂; 下关大街; 鲜鱼巷; 永宁街; 宝善街; 商埠街; 热河路,交通枢纽; 历史遗迹; 商业设施; 滨水区域; 路径/步道,南京西站; 江边路; 下关长途汽车站; 南京港客运码头; 中山码头; 长江大桥; 码头; 长江滨江风光带; 龙江路; 惠民大道; 郑和中路; 隧道; 下关电厂; 地块; 路网; 下关大街; 鲜鱼巷; 永宁街; 宝善街; 商埠街; 热河路; 商业中心,长江,,,,,,,中山码头以北至长江大桥; 江边路北端仅到龙江路; 如今已经延伸到了南京长江大桥,办理客运; 客流旺盛; 仍在使用; 关闭; 停办客运业务; 日渐凋零; 拆除; 延伸; 建设隧道; 搬迁; 路网细化调整; 新建; 大拆迁; 面目全非; 几乎消失,,文艺青年热门打卡地,普铁时代; 下关往事; 历史变迁,客流旺盛; 文艺青年热门打卡地,Neutral,怀旧/温馨,弱/低,否,,打卡(集体),,,,否,,[热河路] -> [文艺青年热门打卡地],[下关往事/历史变迁] -> [怀旧/温馨],,,[码头] [设置在] [中山码头以北至长江大桥]; [江边路北端] [在2004年止于] [龙江路]; [江边路] [如今延伸至] [南京长江大桥],[时间变化] -> [地点功能/样貌变化 (关闭、拆除、新建、消失)],回顾了2004年至今南京下关区域的变迁(认知联想)，包括南京西站、下关长途汽车站、多个码头的关闭或拆除(地点/认知功能)，道路的延伸和新建(江边路、下关大街)(空间特征/认知功能)，以及老街巷的消失和热河路成为打卡地(地点/认知功能/认知氛围)，体现了城市发展的历史印记(认知意义)。
entry_21,中山码头非常好的地方，坐轮渡过长江，基本都是20分钟一班，中午11点到下午2点是一小时一班，刷公交卡或者买票就是两块钱，公交车坐到中山码头下来就可以看到了，想起若干年前去香港🇭🇰让游客看江景坐的就是这种轮渡船🚢，破破烂烂的，比南京这里差远了！,中山码头; 香港,交通枢纽; 滨水区域,中山码头; 轮渡; 公交卡; 票; 公交车; 轮渡船,长江; 江景,江景; 轮渡船 (南京 vs 香港),,破破烂烂 (香港),,,,公交车坐到中山码头下来就可以看到了,方便 (20分钟/1小时一班); 便宜 (2元); 可刷卡/买票; 易达 (公交),非常好的地方; 比南京这里差远了 (对比香港轮渡),,想起若干年前去香港,,Positive,愉悦/开心; 怀旧/温馨; 自豪/归属感,中/一般,否,独自,坐轮渡(个人); 看江景(个人); 坐公交车(个人),,,,否,,[中山码头] -> [非常好的地方]; [南京轮渡] -> [比香港好],[非常好的地方] -> [愉悦/开心]; [比香港好] -> [自豪/归属感],,[坐轮渡过长江] -> [愉悦/开心],,[中山码头轮渡] [联想到] [香港轮渡],认为中山码头(地点)是非常好的地方(认知美学)，乘坐轮渡方便便宜(行为/认知功能)，可以看江景(行为)，并联想到香港轮渡，觉得南京的更好(认知美学/情感)。
entry_22,我去买几个橘子，你站在这里，不要走动。 周末刷到浦口火车站历史风貌区开街的推文，就开车带闺女去逛逛打个卡，这一去逛下来的体验真的不咋地～吐槽几句 1、交通 我们按照高德导航开车过去，排了很长的队，终于已经到了距离景点差不多一公里多的地方，前面车纷纷掉头，原因是交通管制，交警说掉头从另外道路过去，我们不得不绕道一大圈，到达景区外又开始排队进停车场。逛完后出景区又是绕了一大圈才出景区，因为新开景点，估计交通停车目前跟不上节奏。 2、吃喝 逛景点溜娃，除了逛就是吃喝，目前景区几乎没几个像样的店，只有道路边摆的临时小吃摊位，看起来也没有啥食欲，这方面真的需要改进。 3、建筑 改造后的风貌区只能说还行，很多想还原老场景的施工做法，没有做到修旧如旧的味道，都是崭新的，感觉上差一点，拍照也没有历史风貌区的感觉，倒像是影视城，大马路大门两侧更是如此。 4、施工围挡 靠近浦口火车站站房时，被围挡挡住，保安就是不让过去，但是外面有很多从中山码头过来的游客却可以直接进到站房广场，这个管理就很无语。 5、网红的轨道月台区域不能进 多年前带孩子去，还可以进入到火车轨道区域拍照，挺文艺，现在反而进不去，不知道什么时候才能全部开放。 新开的景点，还是需要点时间去完善。希望越来越好！,浦口火车站; 中山码头,历史遗迹; 交通枢纽; 商业设施,历史风貌区; 高德导航; 道路; 交通管制; 停车场; 景区; 店; 小吃摊位; 建筑; 风貌区; 施工做法; 大马路大门; 施工围挡; 站房; 广场; 轨道; 月台,橘子,崭新; 影视城,,崭新; 像影视城,,排长队; 绕道; 排队,没有啥食欲,绕道一大圈; 绕了一大圈,交通管制; 停车跟不上节奏; 没几个像样的店; 小吃摊位没食欲; 管理无语 (围挡); 轨道月台不能进,不咋地; 还行; 没有修旧如旧的味道; 崭新; 感觉差一点; 没有历史风貌区的感觉; 像影视城; 挺文艺 (以前),不咋地; 感觉差一点,我去买几个橘子; 历史风貌区; 老场景; 多年前,排了很长的队; 很多游客,Negative,挫败/烦恼; 失望,中/一般,否,与家人 (闺女),开车(集体); 逛逛(集体); 打卡(集体); 排队(集体); 掉头(集体); 绕道(集体); 停车(集体); 溜娃(集体),,,吐槽; 需要改进; 希望越来越好,是 (因交通管制绕道),体验真的不咋地,[交通] -> [管制/排队/绕道/跟不上节奏]; [吃喝] -> [没像样店/没食欲]; [建筑] -> [没修旧如旧/崭新/像影视城]; [管理] -> [无语]; [轨道月台] -> [不能进],[不咋地/交通不便/吃喝不行/管理无语/不能进] -> [挫败/烦恼]; [没修旧如旧/像影视城] -> [失望],[失望/烦恼] -> [吐槽/希望改进],,,[新开景点] -> [交通停车跟不上/需要完善],周末带家人开车去新开的浦口火车站历史风貌区(行为/地点)，体验不佳(情感/评价)，吐槽交通管制、排队、绕路(认知功能)，景区餐饮缺乏、小吃没食欲(认知功能)，建筑改造崭新缺乏历史感像影视城(认知美学)，且管理混乱、核心区域如轨道月台不能进入(认知功能)，感到失望和烦恼(情感)，希望景区能改进完善(行为意图)。
entry_23,这是南京非常火🔥的旅游线路之一 码头线路：中山码头浦口码头 这条线路有太多历史 所以非常出名 晚上看江两岸夜景 霓虹灯闪烁 江风徐徐 . ⭕码头运营时间表：6:0019:00。 周一至周五6:007:00、9:0017:00，每60分钟一班8:009:00、17:0019:00，每30分钟一班。 周六至周日休息日6:0019:00，每60分钟一班。 . 📍浦口码头 🎫船票2r（可以支付宝公交卡） . ⭕周边可以逛： 老浦口火车站遗址：朱自清背影写的就是这里 浦口公园 大喜馄饨 . 👩🎓关于我： ✅一个喜欢野路子小众景点的十八线摄影旅行爱好者，立志看遍祖国大好河山 ✅金融打工人 💝感谢喜关注赞收藏,中山码头; 浦口码头; 老浦口火车站遗址; 浦口公园,交通枢纽; 历史遗迹; 公园/绿地; 滨水区域,码头线路; 中山码头; 浦口码头; 霓虹灯; 船票; 支付宝公交卡; 老浦口火车站遗址; 浦口公园; 大喜馄饨 (店名),江两岸; 夜景; 江风,夜景; 霓虹灯闪烁,江风徐徐,霓虹灯闪烁,,江风徐徐,,,运营时间固定; 班次不同 (工作日/周末); 票价便宜 (2元); 可用支付宝,非常火; 非常出名,,太多历史; 朱自清背影写的就是这里,,Positive,兴趣/好奇; 愉悦/开心,中/一般,否,,看夜景(个人); 逛(个人),,,,否,,[码头线路] -> [非常火/非常出名]; [老浦口火车站遗址] -> [朱自清背影写的就是这里],[非常火/非常出名] -> [兴趣/好奇],,[江风徐徐] -> [放松/平静]; [夜景/霓虹灯] -> [愉悦/开心],[老浦口火车站遗址/浦口公园] [位于] [浦口码头周边],,介绍了中山码头到浦口码头这条非常火的旅游线路(地点/认知美学)，因其丰富的历史而出名(认知意义)，晚上可看闪烁的霓虹灯夜景，感受徐徐江风(空间特征/感官体验)，并提供了轮渡运营时间和周边可逛地点(认知功能/行为)。
