,,,,,设有纪念馆和展览设施，可深入了解历史,复堡式红旗造型有设计感; 工业风格建筑精致,具有庄重感和历史氛围,承载重大历史意义; 见证国家建设成就; 体现民族精神
斑驳; 红色屋顶; 锈迹斑斑,,,,路线清晰（从中山码头到浦口码头）,历史遗迹保护完整; 仍有货运功能,老式英式建筑; 斑驳外墙; 锈迹斑斑; 有设计感,时空交错; 怀旧; 有故事,《背影》记忆关联; 孙中山灵柩停放历史; 文学回忆; 历史文化厚重
无敌江景; 环境雅致; 私密; 一步一景皆是画,,,果木特有香气; 橙子特殊香气,位置明确（鼓楼区江边路56号）,包间需提前预约; 需提前三天预订江景包间,高端大气上档次; 环境精致; 建筑协调美观,私密; 雅致; 舒适; 有氛围感,火车主题街区的历史联想
可见的（从轮渡上可见）,,,,位置清晰（靠近中山码头）,,有历史感; 有设计感,有故事; 有文化底蕴,有历史感; 有文化底蕴; 有象征意义
,,,,,,,,
,,,,,,,,
很出片; 突出蓝调,,骑行顺畅; 比玄武湖更舒适,,路线清晰（从扬子江公园向北至长江大桥）,适合骑行; 绿道系统完善,视觉美观; 出片效果好,舒适; 宁静; 有活力,家庭活动场景联想到生活气息
绝了; 拍照好看,,,,路线清晰（拍完火车可以往前走拍长江）,收费制度混乱,宝藏; 拍照好看,令人兴奋; 满足感,历史感
有点老门东的感觉,,,,路线清晰（从中山码头到浦口码头）,周边停车位充足；2元轮渡费用且可用公交卡,不喜欢新修大马路；老建筑更有美感和历史感,有回忆感; 略显普通,老建筑引发怀旧联想
气势雄伟; 春光好,,疾劲的江风,,路线清晰（公共交通指引详细）,有多种交通方式可达；骑行路线规划明确,气势雄伟; 有设计感; 精致; 有历史感,心潮澎湃; 有氛围感; 有活力; 浪漫（日落）,民族自豪感; 特殊年代象征; 有文化底蕴; 有故事
,父亲的声音（想象）,,,,,有历史感; 有故事; 有文化底蕴,怀旧; 沉思; 温暖; 亲切,象征意义/有故事; 怀旧; 有文化底蕴
雄伟; 可爱; 很适合拍照,,,,,建议自驾; 内设地下停车场; 无需门票,有种穿越的感觉,有氛围感,历史感; 文化底蕴; 有故事
,,,,路线受阻,不实用; 维护差; 不方便,无法判断,沉闷; 受限,有历史感（因提到的地点均为历史遗迹）
好看; 很旧; 灯光效果好,,,,路线清晰; 方向感强,票价便宜; 过江速度快; 座位充足,漂亮; 有设计感; 有历史感,浪漫; 宁静; 有氛围感,历史感; 文化底蕴
,,吹风,,路线清晰（江边路串联多个地点）,适合骑行和散步; 可自由停驻,旧貌换新颜; 有历史感,自由; 惬意; 沉重（历史氛围）,记录沉重的历史; 有回忆/有故事
,,,,路线清晰,新开放路径提升可达性,,,
别有一番风味,,江风阵阵,糖芋苗和酒酿小元宵还行,停车场上来就是,免费开放; 有公厕; 游玩3-4小时; 停车费合理,夕阳下别有一番风味; 绿皮火车有特色,适合亲子活动; 有历史感,可以给娃讲火车的历史
色彩斑斓; 视野开阔,,舒服,,路线清晰; 指示牌明确,方便; 安全; 无障碍,好看; 出片; 精致; 协调,有氛围感; 放松; 浪漫,文艺; 浪漫
温暖; 很出片; 胶片感,,手冻得很,,路线清晰（从江边转到火车旁）,适合摄影,出片效果好; 有胶片感和历史氛围,夜晚浪漫; 温暖与寒冷对比明显,怀旧感; 历史感
主打民国风情; 仿民国风格,,,,街区形式清晰可识别,部分文保单位活化利用为商业设施,保留历史风貌; 存在新建仿古建筑,人山人海（开业时）; 冷清（火车站）,民国风情; 文物保护; 历史感
无法判断,无法判断,地暖带来的舒适感（隐含）,无法判断,无法判断,精装修; 看房方便,精装修（隐含美观）,无法判断,无法判断
古朴质感,,,,,,简陋（对比）; 古朴,,勾起对《背影》的回忆
日落很美; 夜景漂亮,呼啸而过的声音,江风吹拂的感觉很舒服,,路线清晰（对面好好便利店沿河边小道）,适合拍照和观景的时间建议（下午四五点）,出片; 有设计感; 浪漫,浪漫; 放松; 宁静,南京特色; 历史感; 文化氛围
夕阳景观,,,,路线清晰（从滨江到商场）,功能齐全; 有餐饮选择; 有文化活动,视觉吸引力一般,轻松; 活力,
满是旧时光的感觉; 沿途绿化不错,火车经过的声音,,南京烤鸭的味道,路线清晰（导航至龙虎巷）,适合顺路参观,有历史感; 趣味性,怀旧; 有趣,历史感; 旧时光联想
显得格外典雅; 精美; 华丽; 让人仿佛穿越回了过去,火车呼啸而过,穿着舒适的鞋子（暗示地面不平或步行需求）,品尝当地美食,路线清晰（火车站-老街-长江大桥）,免费开放; 内部区域较老旧,典雅; 精美; 华丽; 复古; 有设计感,仿佛穿越回了过去; 有氛围感; 有历史感,见证中国近代铁路发展; 承载离别和思念; 中国最早火车站之一
,,,,,,,,历史意义; 城市象征
傍晚景色更出片,,,,路线清晰; 地铁规划明确; 轮渡时间表清晰,轮渡票价便宜; 可以直接刷公交码付款; 免费展览丰富,历史建筑有设计感; 城市更新项目现代化; 滨江景观协调,有历史文化氛围; 正在发展中的活力感; 滨江地带宁静与现代交融,有历史感; 见证中国近代史; 有文化底蕴; 有象征意义的城市变迁
,,,,,南京唯一集高铁、城际、普速铁路于一体的铁路枢纽,有故事有记忆的百年老站,具有历史感和时代变迁感,有故事; 有记忆; 有文化底蕴; 熟悉; 有回忆
适合平面摄影,,车厢内部较窄; 可同时让2个人通行,,路线清晰; 器材运输路径明确,配合度高; 申请流程方便; 设施齐全（厕所、小店）; 对学生组费用偏高,适合平面摄影; 工业风格; 有一定设计感,具有历史感; 文艺,具有历史感; 有故事性
浩荡的江水; 繁华的市区中心,,,,空间过渡清晰（江水至市区）,,大气又不失婉约,有气势; 具代表性,反映城市性格; 影响市民性格; 有象征意义
好看; 治愈感,驻唱歌手演唱声,风大; 舒适的步行体验,,路线清晰,适合city walk; 设施基本完善,有设计感; 出片,宁静/开阔; 有氛围感; 放松,治愈感; 城市休闲场所
视野很好,,,,视野很好,方便观赏日落,坠近喜欢,浪漫; 放松,
夕阳西下拍照很美,,在江边走走很愉快,,路线清晰（老师带领参观）,适合拍照和散步,美；有本地生活感,本地生活感；宁静/放松,金陵历史联想；文化归属感
,,,,,,,,
挺美; 拍照好看; 儿童游乐设施丰富,,骑车20分钟; 步行10分钟; 孩子玩了半个多小时,,路线清晰; 都靠得很近; 沿路步行10分钟左右,轮渡便捷; 公交码支付方便; 设施基本齐全,挺美; 拍照好看; 有设计感,亲子友好; 教育意义; 有点遗憾（未见夕阳）,历史联想（朱自清《背影》）; 文化教育意义
一百分,音乐响起,,咖啡蛋糕口味不错,,咖啡和餐厅功能齐全,环境氛围好,浪漫; 放松,
好看; 出片; 橘子海日落,,吹着江风,,city walk路线清晰; 半小时一班轮渡,轮渡价格2元; 支付宝刷公交卡; 下午四点多适合观看日落,出片; 有氛围感; 有历史感,浪漫; 放松; 有活力,与朱自清《背影》相关联的历史意义
,,,,,,,,有历史感; 文化底蕴
震撼,,,,,,有设计感,震撼; 充满力量感,有历史感; 有文化底蕴
绝绝子; 太能拍出故事感,,,,路线清晰（著名文学作品中的场景）,,有设计感; 有历史感; 有文化内涵,有氛围感; 浪漫; 怀旧,有历史感; 有文化底蕴; 有文学联想; 有回忆
,,,,路线清晰（从中山码头到浦口码头）,使用支付宝公交码便捷；建议靠码头侧落座体现实用性,,,
绝美; 开阔,,骑行顺畅; 步行便利,,路线清晰; 方向感强,设施齐全; 功能明确; 安全; 适合步行和骑行,出片; 有设计感; 精致; 有历史感,浪漫; 放松; 有氛围感,有历史感; 怀旧; 有故事
应该会更美,无法判断,无法判断,无法判断,无法判断,无法判断,无法判断,无法判断,无法判断
漂亮; 出片; 滨江风景开阔,船笛声,,,路线清晰,地铁通达; 登船方便; 可乘游轮,漂亮; 出片; 有设计感,浪漫; 放松; 小众但有趣,历史感; 文化意涵; 自然与城市融合
很好出片; 很多人打卡; 蓝调时刻,,不会很累; 注意行走路径,,路线清晰; 指示牌明确（需注意行走路径）,设施齐全; 安全; 方便导航,好看; 出片; 有设计感; 协调,浪漫; 放松; 有氛围感,历史感; 有故事; 有象征意义
看不清全貌（因围栏）; 橘色的大型起重机; 泄洪般的电动车流,,,,路线清晰（中山码头到浦口码头）,轮渡可刷金陵通仅需两元; 电动车可在轮渡一层停靠,历史厚重感; 壮阔的长江大桥,历史感; 生活气息,朱自清《背影》创作地; 南京港开放历史; 津浦铁路建设史; 靠水吃水的生活方式
一流,,,,,,有设计感/普通,,有历史感
蛮美,,寒冷,,空间布局清晰（作为典型火车站）,目前功能退化（空无一人）,蛮美; 有设计感,宁静; 有历史感,有故事; 有历史感; 有文化底蕴
豁然开朗; 金色; 美不胜收,船只汽笛声,江风吹拂的舒适感,,路线清晰; 导向明确,适合多种活动（观景、拍照、散步）; 设施完善; 安全提示到位,有设计感; 精致; 视觉吸引力强,宁静; 浪漫; 有历史感; 放松,历史感; 有故事; 有文化底蕴
360无死角; 被日落包围,,伴随着江风,,视野开阔,超适合求婚,好看; 出片; 有设计感,浪漫; 有氛围感,象征意义：求婚地点
,老人唱歌,吹江风,,路线清晰（按序游览多个地点）,交通便利（可乘轮渡连接）,有设计感（红绿砖墙）; 有历史感（老式火车头、朱自清背影）,放松; 文艺; 怀旧,历史感; 文化底蕴; 朱自清文学联想
标志性建筑; 见证了国家发展,,单程56公里，需量力而行,,路线清晰（江南江北）；提供详细导航信息,交通繁忙，建议错峰出行,标志性建筑; 国家象征意义,繁忙的交通要塞,历史见证; 国家发展象征
协调/突兀,,,,清晰/方向感强,兼具军事与民用功能,有设计感; 协调; 精致,有历史感; 有故事,有象征意义; 有文化底蕴; 有回忆
简单（早期建筑）; 完好保留（现貌）; 展览丰富,,,,路线清晰（从中山码头到浦口火车站）,功能延续（仍作为渡轮码头使用）; 文化展示功能增强,完好保留原有风格; 有设计感; 精致,有历史感; 有文化底蕴; 活力,纪念孙中山; 朱自清《背影》文学联想; 铁路发展史象征意义
浪漫; 美丽,,风,,路线清晰（可通过地铁公交到达）,无需门票; 开灯时间明确; 停车不便,有设计感; 浪漫; 出片,浪漫; 放松,独特城市记忆; 有象征意义
,,,,路线清晰（在中山码头处）,,,,
,,,,路线清晰; 方向感强,易于导航,,,
无遮拦的江景; 氛围感照片; 圆弧形; 复古建筑; 夕阳下的芦苇,火车鸣笛声,江风,,路线清晰; 时间安排明确,轮渡价格合理; 支付方式多样; 班次规律; 温馨提示应对停航策略,复古建筑有设计感; 圆弧形玻璃栈道精致; 芦苇夕阳氛围感强; 火车车厢有历史感,百年历史感; 氛围感强; 有回忆,文学场景联想（朱自清《背影》）; 历史感强; 有故事; 有文化底蕴
视野特别好,,,,路线清晰（往返线路明确）,票价合理；三层甲板需额外付费且改善观景体验,视野美（正面）,轻松/休闲,
开阔; 民国风格,,吹吹风,,路线清晰（明确指示）,票价低廉; 可刷公交卡,有设计感; 出片,有氛围感; 放松,有历史感; 有故事
浪漫; 古典; 复古,,,,,保留历史特色的同时提供现代服务,有设计感; 精致; 协调,浪漫; 怀旧; 有氛围感,有回忆; 有历史感; 有文化内涵
,,风大; 吃不消,,路线清晰（从大桥玻璃栈道走到下关码头）,停车不便; 对儿童友好的地点建议,,,
天气不好; 桥没亮灯,,舒服,,,,普通,宁静,
名副其实的日落餐厅➕日落咖啡店,无法判断,顺着滨江步道溜溜弯,莓果味明显; 咖啡香气,路线清晰（从世茂滨江希尔顿到中山码头）,滨江步道适合散步; 新开餐厅提供高品质咖啡,有网红店的潜质; 日落景观,休闲放松,日落场景的浪漫联想
电影感; 出片; 光影绝美,,,怀旧小点心香,路线清晰（中山码头-轮渡-浦口码头）,全天免费; 2元轮渡服务; 设施满足拍照需求,电影感; 出片; 有设计感; 光影绝美; 有历史感,有仪式感; 怀旧; 有文化氛围; 亲子友好,民国风情; 朱自清文学意象; 历史厚重感; 文化传承
可以拍摄长江水景,,,,路线清晰（从公园门到引桥方向明确）,功能较完善但安全性不足（桥上无专用行人道）,值得打卡；有童年记忆,怀旧,童年记忆；语文课文内容关联；历史地标
能看到,,,,路线清晰（日常通勤路线）,方便/不便（无法判断具体使用情况）,普通,宁静/喧闹（未明确描述）,有象征意义/无特殊含义（对“有事好商量”这一文化氛围的联想）
视野开阔; 雄伟壮观,江涛声,风大; 步行路程长,,路线清晰,交通便利; 设施完善,历史感强; 出片,开阔; 有活力,有历史感; 有故事
橘色的; 让人赏心悦目,,,,,,好看; 出片,轻松愉快; 浪漫,
熟悉,,不舒适（天气）,热拿铁的香味暗示,容易识别空间布局和窗户位置,咖啡店提供休息功能，但外部天气影响体验,有历史感; 时间停滞感,宁静/沉静; 怀旧,熟悉感; 有回忆
,,,,,,,,
蓝调落日余晖; 很出片,,,,方向清晰（中山码头→浦口码头）,票价便宜（2元）,很出片,可惜遇到阴天影响观感,地标性景观
可见度要求高; 延时摄影效果好,,,,路线清晰（电梯+楼梯可达）,观景平台可自由进出（正面）; 缺乏稳定台面放置相机（负面）,出片; 可拍摄特写和全景,适合摄影的专业性空间,“争气桥”的历史意义（隐含）
画面感满满,,,,路线清晰（街区布局）,停车场充足; 功能分区明确,民国风满满; 很适合拍照打卡; 有设计感,文艺; 有氛围感,历史感; 有故事; 怀旧
如梦似幻; 美的如梦似幻; 圆弧形线条; 梦幻的灯光,隆隆驶过的火车声,夏日的酷暑一扫而空,,路线清晰（从下关火车主题公园到长江大桥玻璃栈道）,"有明确指引路线; 可乘坐电梯; 提供多个最佳观赏点（P3,P5,P8,P10）",浪漫; 如梦似幻; 梦幻; 精致设计感,浪漫; 如梦似幻; 夏日清凉,lalaland电影场景联想
节日氛围浓厚,,,,,,有节日气氛; 有设计感,喜庆; 庆祝,国家庆典联想; 历史与现代结合
好看; 出片,,,,路线清晰,方便拍照; 免费,出片; 美观,宁静/开阔,
,,,,,,,,标志性; 历史意义
,,,,,,,,
,,,,,,,,
很出片; 绝美,江涛拍岸; 汽笛悠鸣,吹着江风,,路线清晰; 半小时一班车,交通便利; 设施齐全; 安全; 无障碍; 好玩,复古风格好看; 出片; 有设计感; 有工业美感,有氛围感; 放松; 有活力; 浪漫,有历史感; 有文化底蕴; 怀旧
非常赞,,,,,,非常赞,开阔; 宁静,
漂亮; 出片,,,,路线清晰,方便拍摄; 时间安排合理,出片效果好; 有设计感,适合拍照; 安静/无干扰,历史感
,,,,,限制通行,,有活动氛围但被限制接近,大桥空间被临时用于媒体制作
浪漫; 出片; 视野开阔; 波光粼粼,轮渡汽笛声,江风,,路线清晰; 时间安排明确,设施齐全; 价格便宜; 安全; 方便使用公交卡,好看; 出片; 有设计感; 精致; 有历史感; 文艺,浪漫; 放松; 有氛围感; 有活力,厚重的历史感; 有故事; 有文化底蕴; 有回忆
无法判断,无法判断,无法判断,无法判断,无法判断,认为船只应该航行而非停留港口（隐喻）,无法判断,无法判断,对
晴天,,,,路线清晰（区分电动车和行人通道）,轮渡服务基本功能满足但效率低下,,热闹,
蛮壮观; 视野会更好; 没有遮挡,,江风吹拂,,路线清晰（中山码头↔浦口码头）,价格低廉（2元/人）; 小朋友免费; 航程约20分钟; 每半小时一班,适合拍照; 出片效果好,傍晚氛围感强,连接城市两岸的重要交通方式
太美了; 新海诚电影现实版,,,,路线清晰（从查区到渡江胜利纪念馆再到绿博园）,滨江步道适合步行游览; 游乐设施齐全,美丽; 有设计感; 童趣,有活力; 充实; 温暖,历史教育意义; 自然与人文结合; 童年回忆
灯光效果,,可能被蚊虫叮咬,,路线清晰（导航性质描述）,有明确开放和关闭时间; 提供实用信息（如驱蚊建议）,灯光设计有吸引力（隐含）,夜晚氛围感强（隐含）,
露出来的土地多了; 船,,,,路线清晰（玻璃栈桥右边一直往前走）,适合拍照的位置存在且可达,有拍摄价值,,日常通勤中注意到的变化
,,,,路线清晰（多个明确的步行路线）,地铁是最优出行工具；住宿建议实用；景点预约制度明确,,,
有电影感; 氛围感绝啦; 橘子海日落,音乐节气氛,废了一双鞋,咖啡香气,city walk路线清晰,基本免费; 轮渡便宜; 音乐节服务不错,出片; 有设计感; 精致; 有氛围感,宁静; 放松; 活力; 浪漫; 有趣,有历史感; 文艺; 怀旧; 有故事
风景超美; 开阔江景; 城市天际线; 日落景观,,,,路线清晰; 从鼓楼滨江一直贯通到鱼嘴湿地公园,免费开放; 设施齐全; 交通便利; 停车方便,好看; 出片; 视觉美感强,轻松; 放松; 有活力,自然生态价值（江豚）; 城市休闲象征
心空了一下,人声鼎沸,捏紧口罩; 屏住呼吸; 晕船,,无法判断,灯光仅周末/节假日开放,灯光秀好看; 有设计感; 像厦门/新加坡/芭提雅,人声鼎沸; 人潮涌动; 浪漫氛围; 有活力,昔日夫子庙; 文化联想; BGM增添情感
风景很不错,有人唱小曲; 桥下有人戏水,吹着风; 不冷不热,,路线不够清晰（需要绕一大圈）,公交可达性好（1路公交）；玻璃栈桥可游览,风景很不错；像极了小时候的夏天,有活力；放松；怀旧,童年回忆；夏日情怀
黑乎乎; 可以看窗外风景,,,,路线清晰（从中山码头到浦口码头）,渡轮服务便捷; 2元票价; 半小时一班; 无地铁直达,商业化严重; 背影咖啡等元素值得驻足,没什么好玩; 黑暗压抑; 偏僻不便,朱自清《背影》文化联想
很好看; 夜景,震撼,很舒服很放松,,路线清晰（从中山码头到浦口码头再到玻璃栈道）,约一个小时一趟; 必须早点排队,挺舒服; 振奋人心,放松; 震撼,人民的力量很大
靠窗位置风景好,,,嘎嘎香,路线清晰（从浦口到下关）,价格实惠（2元）；刷公交卡便捷；分层设计合理,火车铁轨适合拍照,工作日拥挤,服务居民通勤的功能性交通方式
,,,,,,历史厚重感,隐忍和清冷感,文学联想（朱自清《背影》）; 个人回忆（母亲陪伴）
梦幻的氛围; 层次感和立体感,,,棉花和花朵带来的季节气息（隐含）,,适合拍照,有设计感; 出片,梦幻; 放松,历史感; 怀旧
格外温柔,,,,,,有设计感; 有历史感,温柔; 浪漫,有历史感; 怀旧
景色很好,丢石子的声音,平坦的江边地面适合玩耍,,路线清晰（从火车公园到大桥）,设施基本可用但部分需消费,有设计感（玻璃栈道）; 视野开阔（江景）,轻松; 放松,亲子互动空间; 历史感（火车元素）
甚有氛围感,,,,,年初游客较少适合拍照; 六月夜市热闹但影响拍照体验,有氛围感（正面）; 夜市喧闹影响体验（负面）,有氛围感; 热闹/拥挤,历史火车元素引发怀旧联想
亮闪闪; 很明显; 各种活河蚌生态造景,黑鸢啼鸣,江边阳光很好没啥风,,路线清晰（看完江豚后可继续前行参观其他设施）,免费开放; 增殖放流站功能明确; 科普讲解服务完善,漂亮; 有设计感; 丰富多样,放松; 充满生机; 温暖人心; 有活力,自然保护意识; 城市与自然的连接; 科学教育意义
美美的日落; 氛围感拉满; 拍照绝了; 夕阳江景; 民国风建筑; 夜景好看,,吹江风,食物香味,路线清晰; 指示明确,价格实惠; 使用方便; 支付方式多样,有设计感; 精致; 协调,氛围感; 文艺; 治愈; 放松,历史感; 影视记忆; 文化底蕴
宏伟朴实; 豪华; 有特色,,,,位置明确（中山码头附近）,不建议纯住宿（价格贵且客房少）,有特色; 历史价值高,历史感强; 文化氛围浓厚,历史建筑; 法国文化影响; 明代遗存元素; 宋庆龄/张学良曾居住
视野特别开阔; 感觉挺震撼,,桥面是拱形的; 江风大; 路程有点长; 安全性还不错,,方向感强; 视野开阔,有专门步行区域; 和自行车道分开; 安全性好,普通; 实用性强,震撼; 开阔,标志性建筑; 城市连接作用
视野开阔,轮渡汽笛声; 江涛声,风大,,路线清晰; 指示牌明确,方便; 安全; 经济实惠（2元票价）,普通,实用性强; 缺乏休闲氛围,有历史感; 有文化背景
夕阳; 夜景; 视野最好,,吹江风很舒服,,路线清晰（公交转乘至中山码头）,轮渡收费便宜; 可刷公交卡; 分层合理,夜景好看; 露天平台视野好,舒适放松,浦口火车站历史感
,,,,,满足交通和通航需求,有历史感; 有设计感,有象征意义,有历史感; 有文化底蕴; 象征国家成就
自然山水景观; 现代都市风貌; 历史建筑,,,,清晰的区域划分; 明确的发展脉络,重要发展区域; 教育资源集中; 交通便利,自然与人文景观交汇; 历史感与现代感结合,发展潜力大; 生态宜居; 历史厚重,历史文化传承; 现代城市发展; 教育文化中心
仿佛置身于旧时光中; 氛围感炸裂,,,,路线清晰（园区游览+明孝陵一日游）,停车便利; 步行可达地铁; 设施齐全; 自驾友好,民国风满满; 文艺值拉满; 出片; 有设计感,复古与潮流碰撞; 有历史感; 小众安静,历史回响; 民国时期背景; 文艺气息; 演艺家关联
文艺风格; 历史年代感,,,,路线清晰（通过轮渡连接两岸）,商业配套完善; 轮渡交通功能正常,文艺风格设计感; 历史保护建筑协调,有氛围感; 有历史感,朱自清文学记忆联想; 铁路文化传承
视角很棒; 很美; 江面夕阳; 大气磅礴,无法判断,无法判断,无法判断,路线清晰; 轮渡时间明确,普通支付2元; 刷卡支付1元; 豪华观光轮渡20元; 电动车能上船; 轮渡时间5分钟,很棒; 美; 气势磅礴; 有氛围感,惬意; 有趣; 别样风情,文学联想(背影); 影视取景地(情深深雨蒙蒙); 历史街区
出片; 开阔; 很有故事感; 可爱; 复古,汽笛声; 白噪音,风吹拂; 平稳船体,,路线清晰,轮渡价格便宜; 可刷公交卡; 路线设计合理,复古建筑出片; 开阔水域美观; 有故事感,豁然开朗; 放松; 有文化氛围; 安静,历史联想; 文化记忆; 教育意义
漂亮; 洁白; 优雅; 绝佳,窸窸窣窣; 来来往往的航船声,沁人肌骨的凉意; 摇晃感,机油味; 铁锈味; 土腥味,路线清晰（从栈桥到渡口再到轮渡各层）,基本功能完善（运输班次、观光甲板收费）,整洁优雅（新码头）; 历史感（旧设施/老人）; 意境美（江景）,怀旧; 宁静; 多元包容; 富有生活气息,历史变迁; 新旧交替; 社会缩影; 记忆承载
浪漫; 太美; 世纪晚霞,,,,,,好看; 出片; 浪漫,有氛围感; 浪漫,
波光粼粼; 随手一拍就是氛围感大片,,江风拂面; 别提多惬意,,路线清晰（从中山码头到浦口火车站）,轮渡每20分钟一班; 时间灵活; 票价1元; 可带自行车,复古建筑好看; 文艺又浪漫; 有设计感,穿越回旧时光; 文艺; 浪漫,民国电影; 写满故事; 历史韵味
,,,,,,,,
色彩斑斓; 视野开阔; 光线柔和,民间歌手演唱,舒服; 风大,,路线清晰,方便; 座椅充足,好看; 出片; 有设计感; 精致; 有点旧,有氛围感; 有活力; 放松; 浪漫; 宁静,有历史感; 文艺; 怀旧; 有故事; 有文化底蕴
随手一拍都是大片; 视野超好,,江风拂面,,路线清晰; 位置明确,轮渡班次密集; 每15-20分钟一班,有氛围感; 出片效果好,有大片感; 拍照氛围佳,与历史交通和城市地标相关
,,江边吹风很舒服,,路线清晰（通过轮渡和未来地铁5号线可达）,交通便利性提升,,人气上升,老下关的历史地位
,,,,,,,,
古朴与沧桑; 文艺; 复古风格,,,,路线清晰（外部可参观）,外部区域可全天参观；停车场便利；内部区域暂未开放,文艺; 复古风格; 完整保留民国风貌,怀旧; 浪漫; 有文化氛围,历史感; 文学记忆（《背影》）; 七八十年代回忆
美到让人窒息; 美美的; 中式浪漫,,晚风,,路线清晰（从下关主题公园到玻璃栈道；从中山码头到玻璃栈桥）,玻璃栈桥开放时间明确; 渡轮票价便宜（2元）,美到让人窒息; 美美的; 有设计感,浪漫; 有活力; 放松,六朝古都的深厚文化底蕴; 中式浪漫
非常美; 更美,,,,,改造重建后功能未知,有设计感; 有历史感; 太应景; 出片,有民国氛围感; 浪漫,朱自清《背影》文学记忆; 影视取景地记忆; 怀旧
复古氛围很好; 很出片; 夕阳西下; 雄伟的长江大桥,无法判断,步行45分钟; 骑车20分钟,无法判断,路线清晰（从中山码头到浦口码头再到大桥）,轮渡便宜且曾经不拥挤; 步行和骑行可达性强,复古氛围很好; 很出片; 雄伟的长江大桥,人潮涌动（当前）; 通勤便捷（过去）,朱自清《背影》中的场景; 影视取景地; 历史感
,,,,,曾经具有重要交通功能，现已停止使用,有历史感,具有工业时代的历史厚重感,有历史感; 有故事; 有文化底蕴; 现代; 有象征意义
,,,,,目前仍在使用; 曾作为重要交通节点,被列为南京市第三批第一名文化遗产保护名录,具有重要的文化和历史价值,迎接孙中山先生灵柩的历史背景; 民国时期建筑; 文化遗产
视野开阔,火车汽笛声,风吹拂感,,方向感强,空间开放且易达,有历史感,宁静/放松,有历史感; 怀旧
视野好,,,,路线清晰；两边同时发车，一小时一班,基本功能完善；票价合理；班次明确；等待期间可游览周边,适合打卡拍照,时间过得快（等待期间）,历史感；影视剧拍摄地
,,,,,功能齐全（有旱冰场、儿童乐园、游泳池等设施）,,曾经是热门景点（1970年代至2000年代）,历史感（建成于1971年）; 文化意义（吸引国内外游客）
有设计感,江涛声,路面平坦,,路线清晰,方便; 有明确指引,有设计感; 精致,有氛围感; 放松,有历史感; 有故事
风景太美; 城市美丽,,身心享受跑步的乐趣,,路线清晰（沿江依次经过多个地标）,适合跑步锻炼,有设计感; 有历史感; 协调,放松; 宁静; 有氛围感,历史感; 文化底蕴
江水景观; 落日; 玻璃栈道; 民国风格建筑; 火车改造餐厅,,气温（炎热）; 玻璃栈道不敢走,,路线清晰；标识明确,渡轮服务完善；餐厅、书店设施齐全；候车大厅改装合理,出片；有设计感；精致；浪漫；有历史感；协调,浪漫；放松；文艺；有氛围感；宁静；独特,历史感；文化气息；怀旧；现代感；有故事
,,,,,,,,
