关系抽取_RE_Spatial_Cognitive,关系抽取_RE_Cognitive_Emotion,关系抽取_RE_Emotion_Behavior,关系抽取_RE_Spatial_Emotion
[绿道] -> [适合骑行]; [天气] -> [很出片],[视觉美观] -> [愉悦/开心]; [骑行顺畅] -> [放松/平静],[愉悦/开心] -> [推荐; 下次还来],[蓝调日光] -> [愉悦/开心]
[下关火车公园] -> [宝藏]; [火车] -> [绝了]; [长江] -> [超级棒],[宝藏] -> [愉悦/开心]; [拍照好看] -> [愉悦/开心],[愉悦/开心] -> [推荐; 下次还来],[火车] -> [绝了]; [长江] -> [超级棒]
[中山码头轮渡] -> [方便且便宜]; [老建筑] -> [满满回忆],[满满回忆] -> [怀旧/温馨]; [老建筑兴趣] -> [兴趣/好奇],[怀旧/温馨] -> [可能推荐轮渡体验],[老建筑] -> [怀旧/温馨]
[长江大桥] -> [气势雄伟]; [桥头堡建筑群] -> [心潮澎湃],[气势雄伟] -> [敬畏/惊叹]; [心潮澎湃] -> [自豪/归属感],[敬畏/惊叹] -> [推荐游览],[长江大桥] -> [敬畏/惊叹]; [时代标语] -> [自豪/归属感]
[浦口火车站] -> [象征意义/有故事],[怀旧氛围] -> [怀旧/温馨]; [温暖亲切] -> [放松/平静],[怀旧/温馨] -> [沉浸式停留]; [放松/平静] -> [推荐/想再来],[老旧砖石与铁轨] -> [怀旧/温馨]
[江边观景台] -> [可以看见雄伟的南京长江大桥]; [绿皮火车和服务员服装] -> [有种穿越的感觉],[有种穿越的感觉] -> [怀旧/温馨]; [拍照适合] -> [愉悦/开心],[愉悦/开心] -> [推荐自驾前往]; [怀旧/温馨] -> [喜欢这种穿越感],[南京长江大桥] -> [敬畏/惊叹]; [江豚] -> [愉悦/开心]
[施工围挡] -> [路线受阻]; [候车室、站台关闭] -> [不实用],[受限的空间体验] -> [挫败/烦恼],[挫败/烦恼] -> [不会再来/劝退],[无法进入的历史遗迹] -> [失望/悲伤]
[轮渡] -> [票价便宜]; [观景台] -> [灯光效果好],[票价便宜] -> [愉悦/开心]; [灯光效果好] -> [愉悦/开心],[愉悦/开心] -> [推荐; 想常来],[江上落日] -> [兴趣/好奇]; [对岸夜景] -> [愉悦/开心]
[江边路] -> [路线清晰]; [民国海军医院] -> [有历史感],[自由] -> [愉悦/开心]; [惬意] -> [放松/平静],[愉悦/开心] -> [想常来],[江风] -> [惬意]; [江景] -> [愉悦/开心]
[新开放路径] -> [提升可达性],[提升可达性] -> [兴趣/好奇],[兴趣/好奇] -> [推荐使用新路径],
[绿皮火车] -> [有特色]; [铁路轮渡栈桥旧址] -> [有历史感],[适合亲子活动] -> [愉悦/开心]; [有历史感] -> [兴趣/好奇],[愉悦/开心] -> [推荐]; [兴趣/好奇] -> [亲子活动],[夕阳下的江景] -> [放松/平静]
[夕阳西下] -> [色彩斑斓/视野开阔]; [滨江公园] -> [好看/精致],[浪漫氛围] -> [愉悦/开心]; [视觉美感] -> [愉悦/开心],[愉悦/开心] -> [推荐]; [放松/平静] -> [漫步休闲],"[落霞与孤鹜齐飞,秋水共长天一色] -> [敬畏/惊叹]"
[南京长江大桥] -> [出片效果好]; [火车场景] -> [胶片感],[出片效果好] -> [愉悦/开心]; [胶片感] -> [放松/平静],[愉悦/开心] -> [推荐/下次还来],[落日暖光] -> [温暖感]; [寒冷天气] -> [身体不适]
[民国建筑街区] -> [主打民国风情]; [市保浦口电厂旧址] -> [最大牌]; [国保浦口火车站旧址] -> [冷清],[民国风情] -> [兴趣/好奇]; [冷清] -> [平静],[平静] -> [周末一大早前往参观],[民国风情] -> [兴趣/好奇]
[精装修] -> [美观],[精装修] -> [舒适/安全],[舒适/安全] -> [可能有接近意愿],[地暖] -> [舒适/安全]
[朱自清故居] -> [简陋]; [清代建筑] -> [古朴],[勾起对《背影》的回忆] -> [怀旧/温馨],,
[河边小道] -> [路线清晰]; [日落] -> [出片],[浪漫氛围] -> [愉悦/开心]; [江风舒服] -> [放松/平静],[愉悦与放松] -> [推荐/下次还来],[日落+江风+夜景] -> [愉悦/放松/惊叹]
[滨江] -> [适合citywalk]; [ITC MALL] -> [功能齐全],[轻松氛围] -> [愉悦/开心]; [有趣活动] -> [兴趣/好奇],[愉悦/开心] -> [推荐周边游览],[夕阳] -> [愉悦/开心]
[火车道] -> [有趣]; [旧时光街道] -> [怀旧氛围],[有趣] -> [兴趣/好奇]; [怀旧氛围] -> [愉悦/开心],[兴趣/好奇] -> [顺路参观并停留],[火车经过] -> [兴趣/好奇]
[浦口火车站] -> [承载离别和思念]; [德国风格建筑] -> [典雅]; [复古座椅/壁画] -> [仿佛穿越回了过去],[仿佛穿越回了过去] -> [怀旧/温馨]; [典雅建筑] -> [愉悦/开心]; [历史意义] -> [敬畏/惊叹],[愉悦/开心] -> [推荐前往]; [怀旧/温馨] -> [适合拍照打卡],[火车呼啸而过] -> [沉浸式体验]; [复古氛围] -> [怀旧]
[南京长江大桥] -> [城市象征],[城市象征] -> [中性认知],,
[中山码头] -> [轮渡服务便利]; [下关火车主题园] -> [历史教育意义],[历史意义] -> [自豪/归属感]; [滨江景色] -> [兴趣/好奇],[兴趣/好奇] -> [推荐前往],[滨江夕阳] -> [兴趣/好奇]
[浦口码头] -> [有故事有记忆的百年老站],[有故事有记忆] -> [怀旧/温馨],[怀旧/温馨] -> [历史价值认可],[百年老站] -> [怀旧/温馨]
[火车主题公园] -> [适合平面摄影]; [火车车厢] -> [具有一定拍摄限制],[适合平面摄影] -> [兴趣/好奇]; [配合度高] -> [舒适/安全],[兴趣/好奇] -> [推荐该场地]; [舒适/安全] -> [愿意再次使用],[工业风格车厢] -> [兴趣/好奇]
[长江大桥] -> [大气又不失婉约的城市性格],[影响千千万万南京人] -> [自豪/归属感],[自豪/归属感] -> [推荐他人参观],[浩荡的江水] -> [敬畏/惊叹]
[江边路] -> [适合city walk]; [梧桐道和阳光] -> [被治愈],[宁静开阔氛围] -> [放松/平静]; [风大] -> [紧张/不适],[放松/平静] -> [city walk和看落日]; [紧张/不适] -> [提前离开],[落日和晚风] -> [治愈感]; [驻唱演出] -> [愉悦/开心]
[玻璃栈道] -> [视野很好]; [长江大桥] -> [视野很好],[视野很好] -> [愉悦/开心]; [视野很好] -> [放松/平静],[愉悦/开心] -> [坠近喜欢],[日落] -> [敬畏/惊叹]
[鼓楼滨江风光带] -> [适合拍照和散步]; [江豚观测点] -> [本地生活感],[本地生活感] -> [怀旧/温馨]; [夕阳西下拍照很美] -> [愉悦/开心],[愉悦/开心] -> [推荐; 想再来一次],[夕阳西下] -> [愉悦/开心]
,,,
[江豚观测点] -> [教育意义]; [民国首都电厂旧址公园] -> [挺美]; [儿童游乐场] -> [孩子玩得开心],[亲子友好] -> [愉悦/开心]; [教育意义] -> [兴趣/好奇]; [朱自清《背影》火车站] -> [怀旧/温馨],[愉悦/开心] -> [下次再来],[长江全景] -> [欣赏/惊叹]
[咖啡店+餐厅] -> [环境氛围好]; [落日余晖] -> [浪漫氛围],[环境氛围好] -> [愉悦/开心]; [浪漫氛围] -> [放松/平静],[愉悦/开心] -> [推荐; 下次还来],[落日余晖] -> [放松/平静]; [背景音乐] -> [愉悦/开心]
[轮渡] -> [出片]; [江豚观赏地] -> [推荐],[出片] -> [愉悦/开心]; [放松氛围] -> [放松/平静],[愉悦/开心] -> [推荐/下次还来],[橘子海日落] -> [愉悦/开心]; [江风] -> [放松/平静]; [江豚露出水面] -> [兴趣/好奇]
[民国建筑] -> [文化底蕴],[有历史感] -> [中性感知],,[民国建筑] -> [历史文化感知]
[长江大桥] -> [震撼],[充满力量感] -> [敬畏/惊叹]; [有历史感] -> [自豪/归属感],[敬畏/惊叹] -> [观景],[长江大桥] -> [震撼]; [长在桥下] -> [敬畏/惊叹]
[下午五点的光线] -> [太能拍出故事感]; [车站建筑] -> [有历史感],[有历史感] -> [怀旧/温馨]; [太能拍出故事感] -> [愉悦/开心],[愉悦/开心] -> [太能拍出故事感]; [怀旧/温馨] -> [推荐],[下午五点的光线] -> [愉悦/开心]
[轮渡] -> [建议靠码头侧落座],,,
[中山码头] -> [起点清晰]; [玻璃栈道] -> [出片]; [日落] -> [绝美],[路线清晰] -> [轻松/舒适]; [出片] -> [愉悦/开心]; [日落绝美] -> [放松/平静],[愉悦/开心] -> [推荐/想常来],[日落🌇] -> [治愈/惊叹]
[落日] -> [应该会更美],[应该会更美] -> [放松/平静],[焦虑/害怕] -> [怕被挤死],[落日] -> [放松/平静]
[下关火车主题公园] -> [出片]; [中山码头-浦口码头轮渡] -> [浪漫],[滨江风景开阔] -> [放松/平静]; [出片效果] -> [愉悦/开心],[放松/平静] -> [推荐; 下次还来],[长江景色] -> [兴趣/好奇]
[玻璃栈桥] -> [很好出片]; [蓝调时刻] -> [很多人打卡],[很好出片] -> [愉悦/开心]; [放松] -> [不会很累],[愉悦/开心] -> [推荐/下次还来],[蓝调时刻+灯光] -> [愉悦/开心]
[浦口码头] -> [朱自清《背影》创作地]; [长江大桥] -> [轮渡需求减少],[历史故事] -> [怀旧/温馨]; [泄洪般的电动车流] -> [惊叹/敬畏],[惊叹/敬畏] -> [推荐; 依旧可打],[长江大桥] -> [惊叹/敬畏]
[咖啡馆] -> [景色一流],[景色一流] -> [愉悦/开心],[愉悦/开心] -> [推荐/下次还来],[景色] -> [愉悦/开心]
[老浦口火车站] -> [蛮美]; [老浦口火车站] -> [发生过很多故事],[蛮美] -> [敬畏/惊叹]; [发生过很多故事] -> [怀旧/温馨],[敬畏/惊叹] -> [参观游览],[空无一人] -> [宁静氛围引发的怀旧感]
[历史建筑] -> [有文化底蕴]; [江边夕阳] -> [美不胜收],[有历史感] -> [怀旧/温馨]; [开阔江景] -> [愉悦/开心]; [金色夕阳] -> [敬畏/惊叹],[放松/平静] -> [度过惬意的下午]; [愉悦/开心] -> [推荐; 想常来],[金色夕阳] -> [敬畏/惊叹]; [江风] -> [舒适]
[夕Space] -> [360无死角江景]; [日落] -> [浪漫氛围],[浪漫氛围] -> [愉悦/开心]; [求婚意义] -> [浪漫/温馨],[愉悦/开心] -> [推荐; 下次还来],[被日落包围] -> [愉悦/开心]
[老式火车头] -> [有历史感]; [朱自清背影] -> [文化底蕴],[怀旧氛围] -> [怀旧/温馨]; [吹江风] -> [放松/平静],[放松/平静] -> [推荐/可能再来],[朱自清背影] -> [怀旧/温馨]; [老人唱歌] -> [放松/平静]
[南京长江大桥] -> [标志性建筑],[标志性建筑] -> [自豪/归属感]; [见证国家发展] -> [自豪/归属感],[自豪/归属感] -> [推荐; 想常来],[南京长江大桥] -> [自豪/归属感]
[六角亭] -> [兼具军事与民用功能]; [挹江门] -> [有历史感],[城市变迁] -> [怀旧/悲伤],[悲伤/失望] -> [不会再来],[双檐翘角结构九间城楼] -> [精致/有设计感]
[中山码头] -> [有历史感]; [候船室大楼] -> [有设计感],[有历史感] -> [怀旧/温馨]; [文化展示] -> [兴趣/好奇],[怀旧/温馨] -> [推荐; 下次还来],[历史展览] -> [兴趣/好奇]
[南京长江大桥] -> [浪漫]; [玻璃栈道] -> [出片],[浪漫氛围] -> [愉悦/开心]; [美丽景色] -> [放松/平静],[愉悦/开心] -> [推荐],[落日景观] -> [愉悦/开心]; [蓝调时刻] -> [放松/平静]
[中山码头] -> [可观赏长江]; [长江] -> [偶遇江豚],,[惊喜] -> [推荐/下次还想来],[偶遇江豚] -> [惊喜/愉悦]
[玻璃栈道] -> [路线清晰],[方向感强] -> [Neutral],[Neutral] -> [步行],
[玻璃栈道] -> [圆弧形精致]; [民国海军医院旧址] -> [复古建筑]; [芦苇丛] -> [氛围感强],[百年历史感] -> [怀旧/温馨]; [氛围感照片] -> [愉悦/开心],[兴趣/好奇] -> [卡着日落时间点再来],[火车鸣笛声] -> [怀旧/温馨]; [夕阳下的芦苇] -> [愉悦/开心]
[三层甲板] -> [视野特别好],[视野美] -> [愉悦/开心],[愉悦/开心] -> [推荐三层甲板体验],[开阔视野] -> [舒适/安全]
[下关火车主题园] -> [出片]; [长江游轮] -> [视野开阔],[有氛围感] -> [放松/平静]; [出片] -> [愉悦/开心],[放松/平静] -> [推荐; 下次还来],[秋日江风] -> [舒适/放松]
[夕Space] -> [浪漫江景餐厅]; [民国首都电厂旧址公园] -> [有历史感],[怀旧氛围] -> [怀旧/温馨]; [浪漫场景] -> [愉悦/开心],[怀旧/温馨] -> [28年后再次来到同一地点],[夕阳] -> [温情记忆]; [江景] -> [浪漫感受]
[玻璃栈道] -> [停车不便]; [步行路线] -> [路线清晰],[风大] -> [风中凌乱]; [步行距离远] -> [疲惫],[疲惫] -> [小小孩肯定吃不消],[风] -> [风中凌乱]
[未亮灯的桥] -> [普通]; [晚上的风] -> [舒服],[舒服] -> [放松/平静]; [天气不好] -> [些许失落],[放松/平静] -> [继续停留吹风],[晚上的风] -> [放松/平静]
[滨江步道] -> [适合散步]; [云兮餐厅] -> [日落餐厅],[咖啡好喝] -> [愉悦/开心]; [日落场景] -> [兴趣/好奇],[愉悦/开心] -> [推荐/会再来],[日落景观] -> [兴趣/好奇]
[绿皮火车轨道] -> [电影感]; [鹅黄色外墙] -> [出片]; [朱自清站台] -> [文学氛围],[电影感] -> [愉悦/开心]; [文学氛围] -> [怀旧/温馨]; [科普教育] -> [兴趣/好奇],[愉悦/开心] -> [推荐; 下次还来]; [怀旧/温馨] -> [穿民国风亲子装],[夕阳光影] -> [愉悦/开心]; [朱自清站台] -> [怀旧/温馨]
[长江大桥] -> [值得打卡]; [童年记忆] -> [怀旧],[怀旧] -> [怀旧/温馨],[怀旧/温馨] -> [推荐; 下次还来],[长江大桥] -> [怀旧/温馨]
[南京鼓楼有事好商量协商议事室] -> [有象征意义/无特殊含义],[有象征意义] -> [兴趣/好奇],[兴趣/好奇] -> [观察],[指示牌] -> [兴趣/好奇]
[长江大桥] -> [出片]; [下关火车街区] -> [历史感强],[开阔景观] -> [放松/平静]; [历史感] -> [愉悦/开心],[愉悦/开心] -> [推荐/下次还来],[江风吹拂] -> [舒适/安全]; [大桥雄伟] -> [敬畏/惊叹]
[橘色日落] -> [好看/出片],[轻松愉快氛围] -> [愉悦/开心],[愉悦/开心] -> [推荐/想再来],[橘色日落] -> [愉悦/开心]
[下关滨江] -> [时间停滞感]; [熟悉的景色] -> [容易识别窗户位置],[怀旧感] -> [怀旧/温馨],[放松/平静] -> [适合这个周末喝咖啡],[熟悉的景色] -> [怀旧/温馨]
,,,
[玻璃栈桥] -> [很出片]; [落日] -> [蓝调余晖],[很出片] -> [兴趣/好奇],[兴趣/好奇] -> [推荐/下次还来],[蓝调落日余晖] -> [愉悦/开心]
[观景平台] -> [出片]; [可见度] -> [拍摄效果],[出片] -> [兴趣/好奇]; [拍摄推荐] -> [自豪/归属感],[兴趣/好奇] -> [推荐该拍摄点],[夜景车流] -> [兴趣/好奇]
[民国风建筑] -> [很适合拍照打卡]; [火车] -> [有氛围感],[民国风满满] -> [愉悦/开心]; [画面感满满] -> [兴趣/好奇],[愉悦/开心] -> [推荐; 下次还来],[民国风建筑] -> [愉悦/开心]
[长江大桥玻璃栈道] -> [浪漫]; [夕阳和蓝调时刻] -> [如梦似幻],[如梦似幻] -> [愉悦/开心]; [浪漫氛围] -> [愉悦/开心],[愉悦/开心] -> [推荐前往]; [愉悦/开心] -> [表达强烈兴趣],[夕阳和蓝调时刻] -> [愉悦/开心]; [梦幻灯光] -> [愉悦/开心]
[国庆限定花篮] -> [有节日气氛]; [祝福祖国文字] -> [有设计感],[喜庆氛围] -> [愉悦/开心]; [国家庆典联想] -> [自豪/归属感],[愉悦/开心] -> [可能吸引游客打卡],[国庆限定花篮] -> [愉悦/开心]
[落日] -> [出片]; [栈道] -> [路线清晰],[出片] -> [愉悦/开心]; [开阔氛围] -> [放松/平静],[愉悦/开心] -> [推荐; 下次还来],[夕阳景观] -> [愉悦/开心]
[长江大桥] -> [标志性],[标志性] -> [中性情感],,
,,,
,,,
[复古火车站台] -> [出片]; [铁路轮渡栈桥] -> [近距离看货船]; [日落] -> [绝美],[出片] -> [愉悦/开心]; [江涛拍岸] -> [放松/平静]; [日落] -> [敬畏/惊叹],[愉悦/开心] -> [推荐; 下次还来]; [放松/平静] -> [在江边坐坐],[汽笛声] -> [兴趣/好奇]; [绝美日落] -> [敬畏/惊叹]
[蓝天白云] -> [非常赞],[非常赞] -> [愉悦/开心],[愉悦/开心] -> [推荐/表达正面体验],[蓝天白云] -> [愉悦/开心]
[轮渡] -> [出片效果好]; [落日] -> [漂亮],[出片效果好] -> [愉悦/开心]; [适合拍照] -> [兴趣/好奇],[愉悦/开心] -> [推荐; 下次还来],[落日] -> [愉悦/开心]
[综艺拍摄] -> [限制通行],[限制通行] -> [轻微失望],[轻微失望] -> [改变路线],[综艺拍摄现场] -> [好奇]
[玻璃栈道] -> [视野开阔]; [民国建筑群] -> [有历史感]; [落日] -> [浪漫],[浪漫氛围] -> [愉悦/开心]; [有历史感] -> [敬畏/惊叹],[愉悦/开心] -> [推荐; 想常来],[长江落日] -> [治愈/敬畏]; [江风] -> [舒适]
[港口] -> [安全但非目的]; [船] -> [应航行],[对他人气质的欣赏] -> [钦佩],[钦佩] -> [公开赞美],无法判断
[轮渡] -> [热闹]; [行人通道] -> [排队慢],[热闹氛围] -> [兴趣/好奇]; [长时间排队] -> [挫败/烦恼],[挫败/烦恼] -> [改变出行方式（骑电动车）],[晴天] -> [兴趣/好奇]
[轮渡] -> [适合拍照]; [落日余晖] -> [傍晚氛围感强],[适合拍照] -> [愉悦/开心]; [傍晚氛围感强] -> [放松/平静]; [船行驶在江面上真的蛮壮观] -> [敬畏/惊叹],[愉悦/开心] -> [推荐]; [敬畏/惊叹] -> [下次还来],[落日余晖] -> [放松/平静]; [开阔江景] -> [敬畏/惊叹]
[滨江步道] -> [路线清晰且风景优美]; [大坝瀑布] -> [太美了],[历史教育意义] -> [敬畏/惊叹]; [新海诚电影现实版] -> [愉悦/开心],[愉悦/开心] -> [推荐他人来南京体验],[大坝瀑布] -> [惊叹]; [童趣游乐设施] -> [愉悦]
[玻璃栈桥] -> [灯光设计有吸引力]; [观光灯] -> [夜晚氛围感强],[灯光设计吸引人] -> [兴趣/好奇],[兴趣/好奇] -> [推荐/计划前往],[灯光] -> [兴趣/好奇]
[金陵船厂的船] -> [有拍摄价值],[有拍摄价值] -> [兴趣/好奇],[兴趣/好奇] -> [想去拍] -> [去拍照],[天气好] -> [愉悦/开心]
[地铁] -> [最优出行工具],[实用建议] -> [自豪/归属感],[自豪/归属感] -> [推荐南京旅游],
[橘子海日落] -> [氛围感绝啦]; [不老村] -> [有电影感],[氛围感绝啦] -> [愉悦/开心]; [音乐节气氛] -> [兴趣/好奇],[愉悦/开心] -> [推荐; 想常来],[橘子海日落] -> [愉悦/开心]; [音乐节气氛] -> [兴趣/好奇]
[滨江风光带] -> [风景超美]; [南京眼] -> [视觉美感强]; [鱼嘴湿地公园] -> [日落景观],[风景超美] -> [愉悦/开心]; [日落景观] -> [放松/平静]; [江豚观赏] -> [兴趣/好奇],[愉悦/开心] -> [推荐/下次还来]; [放松/平静] -> [可以长时间停留],[日落景观] -> [放松/平静]; [江豚观赏] -> [兴趣/好奇]
[大桥灯光] -> [心空了一下]; [南堡公园人气] -> [人声鼎沸],[灯光秀] -> [愉悦/开心]; [人群密集] -> [紧张/焦虑],[愉悦/开心] -> [推荐观看灯光秀],[日落] -> [放松/平静]; [大桥亮灯] -> [治愈感]
[长江大桥] -> [风景很不错]; [玻璃栈桥] -> [路线不够清晰],[风景很不错] -> [愉悦/开心]; [像极了小时候的夏天] -> [怀旧/温馨],[愉悦/开心] -> [没有后悔出门]; [放松/平静] -> [吃完晚饭才回家],[吹着风] -> [舒适/安全]; [听到小曲] -> [愉悦/开心]
[朱自清同款火车站] -> [黑乎乎啥也看不清]; [大马路] -> [商业化严重],[朱自清文化联想] -> [兴趣/好奇]; [黑暗压抑场景] -> [失望/悲伤],[失望/悲伤] -> [不推荐/不会专门再来],[对窗观景座位] -> [新奇体验]
[轮渡] -> [出片效果好]; [长江大桥] -> [震撼],[很舒服很放松] -> [放松/平静]; [震撼] -> [敬畏/惊叹],[放松/平静] -> [想要再次体验]; [敬畏/惊叹] -> [想要再次体验],[江景] -> [好看]; [火车声音] -> [震撼]
[轮渡] -> [价格实惠]; [火车铁轨] -> [适合拍照],[性价比高] -> [舒适/安全]; [适合拍照] -> [兴趣/好奇],[兴趣/好奇] -> [推荐拍照点],[烧饼香味] -> [愉悦/开心]
[浦口火车站] -> [历史厚重感]; [浦口火车站] -> [隐忍和清冷感],[历史厚重感] -> [怀旧/温馨]; [个人回忆] -> [感动/悲伤],[感动/悲伤] -> [推荐/怀念浦口火车站],[浦口火车站] -> [怀旧/温馨]
[南京下关火车站] -> [适合拍照]; [侧逆光效果] -> [梦幻氛围],[梦幻氛围] -> [愉悦/开心]; [放松体验] -> [放松/平静],[放松/平静] -> [推荐去拍照]; [焦虑] -> [通过拍照寻求缓解],[侧逆光下的火车站] -> [愉悦/开心]
[民国风街区] -> [有历史感]; [夜色] -> [温柔],[温柔氛围] -> [放松/平静]; [历史感] -> [愉悦/开心],[愉悦/开心] -> [感兴趣/想来体验],[温柔夜景] -> [放松/平静]
[江边] -> [可以玩丢石子]; [玻璃栈道] -> [景色很好],[轻松氛围] -> [愉悦/开心]; [美景] -> [放松/平静],[愉悦/开心] -> [推荐为遛娃好地方],[开阔江景] -> [放松/平静]
[下关火车主题公园] -> [甚有氛围感]; [夜市] -> [拍照体验下降],[甚有氛围感] -> [愉悦/开心],[愉悦/开心] -> [推荐与中山码头、浦口码头一起游玩],[火车场景] -> [兴趣/好奇]
[江豚] -> [银亮亮圆滚滚; 亮闪闪]; [科普中心] -> [丰富多样],[亮闪闪的江豚] -> [惊叹/好奇]; [自然生态展示] -> [兴趣/好奇]; [温暖的阳光] -> [放松/平静],[放松/平静] -> [推荐他人来访]; [惊叹/好奇] -> [长时间停留并深度体验],[江豚现身瞬间] -> [喜悦/兴奋]; [黑鸢捉鱼场景] -> [兴趣/好奇]
[轮渡] -> [价格实惠]; [夕阳江景] -> [氛围感拉满]; [民国风建筑] -> [拍照必去],[氛围感拉满] -> [愉悦/开心]; [吹江风] -> [放松/平静]; [影视记忆] -> [兴趣/好奇],[愉悦/开心] -> [推荐/下次还来]; [放松/平静] -> [待了很久/不想走],[夕阳江景] -> [愉悦/开心]; [江风] -> [放松/平静]
[法式城堡建筑] -> [有特色]; [明城墙砖外墙] -> [历史价值高],[有特色] -> [兴趣/好奇]; [历史价值高] -> [敬畏/惊叹],[兴趣/好奇] -> [推荐拍照打卡],[法式城堡+明城墙砖] -> [敬畏/惊叹]
[拱形桥面] -> [路途有点长]; [步行区域设计] -> [安全性不错],[开阔视野] -> [震撼/惊叹]; [安全性评价] -> [舒适/安全],[愉悦/开心] -> [计划骑自行车重访],[开阔江景] -> [震撼/惊叹]
[中山码头] -> [有历史感]; [宁浦线轮渡] -> [经济实惠],[有历史感] -> [平静]; [实用性强] -> [平静],[平静] -> [中性态度，无明显推荐或劝退],[开阔江景] -> [平静]
[三层露台] -> [视野和风景最好]; [广场] -> [吹江风很舒服],[夕阳] -> [愉悦/开心]; [吹江风很舒服] -> [放松/平静],[愉悦/开心] -> [推荐; 下次还来],[夜景] -> [愉悦/开心]
[南京长江大桥] -> [有历史感]; [南京长江大桥] -> [有文化底蕴],[有历史感] -> [自豪/归属感]; [有象征意义] -> [敬佩],[自豪/归属感] -> [被誉为争气桥],[南京长江大桥] -> [自豪/归属感]
[老山国际森林公园] -> [自然美景]; [研创园] -> [重要发展区域],[自然与人文景观交汇] -> [自豪/归属感]; [发展潜力大] -> [兴趣/好奇],[自豪/归属感] -> [推荐/感兴趣],[自然山水景观] -> [自豪/归属感]
[民国教学楼遗址] -> [仿佛置身于旧时光中]; [工业风咖啡馆] -> [文艺值拉满],[民国风满满] -> [兴趣/好奇]; [氛围感炸裂] -> [愉悦/开心],[愉悦/开心] -> [推荐; 想常来],[树影婆娑] -> [放松/平静]
