关系抽取_RE_Spatial_Cognitive
[锦绣江山花园] -> [配套比较全]; [锦绣江山花园] -> [小区较老]
[咖啡店+餐厅] -> [环境氛围好]; [落日余晖] -> [浪漫氛围]
[轮渡] -> [出片]; [江豚观赏地] -> [推荐]
[民国建筑] -> [文化底蕴]
[长江大桥] -> [震撼]
[下午五点的光线] -> [太能拍出故事感]; [车站建筑] -> [有历史感]
[轮渡] -> [建议靠码头侧落座]
[中山码头] -> [起点清晰]; [玻璃栈道] -> [出片]; [日落] -> [绝美]
[落日] -> [应该会更美]
[下关火车主题公园] -> [出片]; [中山码头-浦口码头轮渡] -> [浪漫]
[玻璃栈桥] -> [很好出片]; [蓝调时刻] -> [很多人打卡]
[浦口码头] -> [朱自清《背影》创作地]; [长江大桥] -> [轮渡需求减少]
[咖啡馆] -> [景色一流]
[老浦口火车站] -> [蛮美]; [老浦口火车站] -> [发生过很多故事]
[历史建筑] -> [有文化底蕴]; [江边夕阳] -> [美不胜收]
[夕Space] -> [360无死角江景]; [日落] -> [浪漫氛围]
[老式火车头] -> [有历史感]; [朱自清背影] -> [文化底蕴]
[南京长江大桥] -> [标志性建筑]
[六角亭] -> [兼具军事与民用功能]; [挹江门] -> [有历史感]
[中山码头] -> [有历史感]; [候船室大楼] -> [有设计感]
[南京长江大桥] -> [浪漫]; [玻璃栈道] -> [出片]
[中山码头] -> [可观赏长江]; [长江] -> [偶遇江豚]
[玻璃栈道] -> [路线清晰]
[玻璃栈道] -> [圆弧形精致]; [民国海军医院旧址] -> [复古建筑]; [芦苇丛] -> [氛围感强]
[三层甲板] -> [视野特别好]
[下关火车主题园] -> [出片]; [长江游轮] -> [视野开阔]
[夕Space] -> [浪漫江景餐厅]; [民国首都电厂旧址公园] -> [有历史感]
[玻璃栈道] -> [停车不便]; [步行路线] -> [路线清晰]
[未亮灯的桥] -> [普通]; [晚上的风] -> [舒服]
[滨江步道] -> [适合散步]; [云兮餐厅] -> [日落餐厅]
[绿皮火车轨道] -> [电影感]; [鹅黄色外墙] -> [出片]; [朱自清站台] -> [文学氛围]
[长江大桥] -> [值得打卡]; [童年记忆] -> [怀旧]
[南京鼓楼有事好商量协商议事室] -> [有象征意义/无特殊含义]
[长江大桥] -> [出片]; [下关火车街区] -> [历史感强]
[橘色日落] -> [好看/出片]
[下关滨江] -> [时间停滞感]; [熟悉的景色] -> [容易识别窗户位置]
[玻璃栈桥] -> [很出片]; [落日] -> [蓝调余晖]
[观景平台] -> [出片]; [可见度] -> [拍摄效果]
[民国风建筑] -> [很适合拍照打卡]; [火车] -> [有氛围感]
[长江大桥玻璃栈道] -> [浪漫]; [夕阳和蓝调时刻] -> [如梦似幻]
[国庆限定花篮] -> [有节日气氛]; [祝福祖国文字] -> [有设计感]
[落日] -> [出片]; [栈道] -> [路线清晰]
[长江大桥] -> [标志性]
[复古火车站台] -> [出片]; [铁路轮渡栈桥] -> [近距离看货船]; [日落] -> [绝美]
[蓝天白云] -> [非常赞]
[轮渡] -> [出片效果好]; [落日] -> [漂亮]
[综艺拍摄] -> [限制通行]
[玻璃栈道] -> [视野开阔]; [民国建筑群] -> [有历史感]; [落日] -> [浪漫]
[港口] -> [安全但非目的]; [船] -> [应航行]
[轮渡] -> [热闹]; [行人通道] -> [排队慢]
[轮渡] -> [适合拍照]; [落日余晖] -> [傍晚氛围感强]
[滨江步道] -> [路线清晰且风景优美]; [大坝瀑布] -> [太美了]
[玻璃栈桥] -> [灯光设计有吸引力]; [观光灯] -> [夜晚氛围感强]
[金陵船厂的船] -> [有拍摄价值]
[地铁] -> [最优出行工具]
[橘子海日落] -> [氛围感绝啦]; [不老村] -> [有电影感]
[滨江风光带] -> [风景超美]; [南京眼] -> [视觉美感强]; [鱼嘴湿地公园] -> [日落景观]
[大桥灯光] -> [心空了一下]; [南堡公园人气] -> [人声鼎沸]
[长江大桥] -> [风景很不错]; [玻璃栈桥] -> [路线不够清晰]
[朱自清同款火车站] -> [黑乎乎啥也看不清]; [大马路] -> [商业化严重]
[轮渡] -> [出片效果好]; [长江大桥] -> [震撼]
[轮渡] -> [价格实惠]; [火车铁轨] -> [适合拍照]
[浦口火车站] -> [历史厚重感]; [浦口火车站] -> [隐忍和清冷感]
[南京下关火车站] -> [适合拍照]; [侧逆光效果] -> [梦幻氛围]
[民国风街区] -> [有历史感]; [夜色] -> [温柔]
[江边] -> [可以玩丢石子]; [玻璃栈道] -> [景色很好]
[下关火车主题公园] -> [甚有氛围感]; [夜市] -> [拍照体验下降]
[江豚] -> [银亮亮圆滚滚; 亮闪闪]; [科普中心] -> [丰富多样]
[轮渡] -> [价格实惠]; [夕阳江景] -> [氛围感拉满]; [民国风建筑] -> [拍照必去]
[法式城堡建筑] -> [有特色]; [明城墙砖外墙] -> [历史价值高]
[拱形桥面] -> [路途有点长]; [步行区域设计] -> [安全性不错]
[中山码头] -> [有历史感]; [宁浦线轮渡] -> [经济实惠]
[三层露台] -> [视野和风景最好]; [广场] -> [吹江风很舒服]
[南京长江大桥] -> [有历史感]; [南京长江大桥] -> [有文化底蕴]
[老山国际森林公园] -> [自然美景]; [研创园] -> [重要发展区域]
[民国教学楼遗址] -> [仿佛置身于旧时光中]; [工业风咖啡馆] -> [文艺值拉满]
[浦口火车站大马路] -> [文艺风格]; [南京北站旧址] -> [历史年代感]
[长江大桥] -> [视角很棒]; [夕阳] -> [很美]
[轮渡] -> [出片]; [浦口火车站长廊] -> [有故事感]; [江豚书屋] -> [教育意义]
[新浦口码头] -> [洁白漂亮优雅]; [轮渡甲板] -> [绝佳观景台]
[玻璃栈道] -> [出片; 浪漫]
[轮渡] -> [性价比直接拉满]; [浦口火车站] -> [文艺又浪漫]
[网红灯塔] -> [好看/出片]; [滨江步道] -> [路线清晰]
[船头位置] -> [视野超好]; [江景] -> [随手一拍都是大片]
[过江轮渡] -> [人气上升]
[民国风貌建筑] -> [文艺]; [旧物仓] -> [复古风格]
[长江大桥] -> [美到让人窒息]; [玻璃栈道] -> [美美的]; [火车] -> [美美的]
[南京北站旧址] -> [有历史感]; [民国风灯光] -> [有民国氛围感]
[浦口火车站] -> [复古氛围很好]; [长江大桥玻璃栈桥] -> [雄伟]
[铁路轮渡栈桥] -> [有历史感]; [铁路轮渡栈桥] -> [有文化底蕴]
[中山码头] -> [具有重要的文化和历史价值]; [中山码头] -> [文化遗产]
[浦口火车站] -> [有历史感]
[渡轮] -> [视野好]; [浦口站旧址] -> [适合打卡拍照]
[南堡公园] -> [功能齐全]; [长江大桥] -> [最火景点之一]
[中山码头] -> [有设计感]; [工业风建筑] -> [适合拍照]
[沿江地标] -> [风景太美]; [历史建筑群] -> [有历史感]
[阅江楼] -> [适宜登高望远]; [中山码头渡轮] -> [体验民国风情]; [火车改造餐厅] -> [环境很好]
[下关江边] -> [视野开阔]; [老旧火车和复古站台] -> [很有复古感]
[轮渡] -> [票价合理]; [浦口火车站] -> [有文化底蕴]
[中山码头; 下关火车公园] -> [适合拍照]
[浦口浦云路大桥] -> [有英伦腔调]; [南京长江大桥] -> [震撼]
[南京长江大桥下的隐藏空间] -> [独特且值得探索]
[中山码头] -> [民国风情]; [下关火车主题公园] -> [工业风建筑]; [玻璃栈桥] -> [夜景灯光]
[长江大桥] -> [我国第一座现代化大桥]; [居民楼观景平台] -> [视野宽广; 拍照非常方便]
[蒸汽机车和绿皮车厢] -> [蛮适合拍照]; [书店环境] -> [蛮适合拍照]
[落日余晖] -> [美到令人窒息]; [轮渡上层甲板] -> [出片]
[夕Space落日餐厅] -> [韩系风格]; [二楼露台正对玄武湖] -> [欣赏风景]
[候船厅变成历史陈列馆] -> [有历史感]
[民国首都电厂旧址公园] -> [有历史感]; [民国首都电厂旧址公园] -> [有回忆]
[玻璃栈道] -> [海边风格]; [晚霞] -> [格外的美丽]
[日落] -> [好看]; [灯光璀璨] -> [出片]
[南京长江大桥] -> [宏伟]; [玻璃栈桥] -> [免费但需注意路线]
[下关火车主题公园] -> [复古]; [浦口码头] -> [民国感]; [江景] -> [开阔]
[浦口火车站] -> [承载新功能]; [浦口火车站建筑群] -> [国内数一数二]
[落日余晖] -> [色彩绚丽]; [滨江步道] -> [路线清晰]
[窗户] -> [观景最佳位]; [元宝元素装饰] -> [精致/有设计感]
[橘子海] -> [好看/出片]; [长江大桥玻璃栈道] -> [晚上亮灯很好看]
[下关火车主题公园] -> [浪漫]; [玻璃栈道] -> [宝藏]
[三层甲板] -> [建议上三层拍照]; [2元票价] -> [性价比高]
[南京长江大桥] -> [历史厚重感]; [夫子庙-秦淮河] -> [江南水乡风格]
[南京长江大桥] -> [跨越时空的伟大杰作]
[下关火车主题公园] -> [适合摄影]; [亲水设计] -> [可以走到江边]
[下关火车主题公园] -> [适合拍照]; [民国风建筑] -> [出片]
[日落余晖] -> [非常出片]; [下关火车站] -> [适合拍照]
[龙虎巷1号民国建筑] -> [具有历史价值]; [法桐掩映] -> [格外显眼]
[江岸线] -> [风景无敌]; [铁路轮渡桥遗址] -> [工业风]; [望桥礁] -> [网红打卡点]
[长江] -> [繁忙与辽阔]; [民国建筑] -> [有历史感]
[中山码头] -> [太有电影感]; [轮渡] -> [有氛围]
[挹江门] -> [见证中国近代史风云变幻]; [民国海军医院旧址] -> [南京唯一的民国医院遗存]
[西洋古典近代风格建筑] -> [有设计感/精致]
[玻璃栈道] -> [出片]; [长江大桥] -> [怀旧氛围]
[紫峰大厦与南堡构图] -> [构图巧妙]; [长江大桥灯光] -> [灯光设计美观]
[老南京北站] -> [很有年代感]; [轮渡] -> [适合拍照]
[南京西站] -> [有历史感]; [南京西站] -> [落寞]
[中山码头] -> [可一饱江景]
[民国建筑风格] -> [复古文艺范]; [橘子小品装饰] -> [瞬间穿越百年]
[浦口火车站] -> [有历史感]; [轮渡] -> [价格便宜且准时]
[樱花岛与竹林] -> [超美]; [工业风油罐] -> [适合拍艺术大片]; [樱花隧道废弃铁轨] -> [电影感十足]
[浦口火车站] -> [历史韵味浓]; [《背影》主题雕塑] -> [有文化氛围]
[仿古街区] -> [没有完整历史展示]; [零星标识牌] -> [缺乏整体感]
[候车大楼前、月台雨廊下、红房别墅间] -> [有历史感]; [长江对岸的滨江风光带] -> [协调统一]
[轮渡服务] -> [免费乘坐]; [轮渡服务] -> [人车可以上船]
[网红桥] -> [未来网红打卡地]; [江豚文创] -> [美貌且价格不贵]
[民国建筑] -> [完美融合]; [废弃火车站] -> [有历史感]
[月台美式] -> [有氛围感]; [铁轨] -> [有设计感]
[富贵山城墙] -> [美学欣赏]; [轮渡] -> [功能性好评]
[大场景] -> [爽]
[夕Space] -> [有温度]
[浦口火车站] -> [有历史感]; [古老的小物件] -> [怀旧氛围]
[浦口火车站] -> [有历史感]; [浦口火车站] -> [有文化底蕴]
[轮渡] -> [公交体感]; [南京北站] -> [废弃火车站有历史感]
[轮渡] -> [便宜方便]; [落日] -> [绝美]
[玻璃栈道] -> [可进可退视野]; [火车主题园] -> [吸引人]
[颐和路] -> [浪漫氛围]; [民国风格建筑群] -> [有文化底蕴]
[铁路轮渡旧址] -> [有历史意义]
[轮渡] -> [风景真的很美很美]; [橘子海夕阳] -> [很适合拍照]
[浦口火车站复古小街区] -> [出片场景]; [轮渡] -> [功能明确]
[长江大桥] -> [壮观]; [玻璃栈道] -> [适合散步]; [夕阳] -> [惬意]
[铁路轮渡栈桥] -> [小众]; [铁路轮渡栈桥] -> [文艺]; [铁路轮渡栈桥] -> [工业风]
[桥梁展示馆] -> [桥梁世界展示]; [大桥纪念馆] -> [教育基地]
[浦口铁路轮渡桥] -> [展现了建筑智慧与工程奇迹]
[滨江花园等地点] -> [改善职工住房条件]
[背影主题装置] -> [有趣]; [文创打卡店] -> [有设计感]
[民国海军医院旧址] -> [有历史感]
[黄昏] -> [诗意的]
[浦口火车站] -> [充满回忆的民国街区]; [站台] -> [见证发展变迁]
[轮渡] -> [历史感强]; [三层甲板船头] -> [更好观景体验]
[南京长江大桥] -> [壮丽]
[轮渡靠窗位置] -> [可以看到江景]; [长江大桥] -> [非常震撼]
[南京长江大桥] -> [人车混行存在安全隐患]; [大桥正中间] -> [心情激动]
[轮渡] -> [实惠]; [晚霞] -> [浪漫]
[下关火车主题公园] -> [文艺范儿]; [夕阳] -> [治愈]
[滨江绿道] -> [骑行顺畅]; [观景平台] -> [拍照好看]
[日落] -> [最美的]
[轮渡] -> [唤醒长江的清晨]
[南京秋季] -> [醉美]; [历史遗迹群] -> [厚重历史感]
[阳光洒在江面上] -> [波光粼粼]; [江边日落] -> [浪漫]
[江豚] -> [最受喜爱的水域]
[高楼] -> [遮挡视野]; [高楼间隙] -> [绝佳视角]; [火车商业化] -> [败兴]
[轮渡] -> [休闲放松]; [日落] -> [美丽]
[玻璃栈道] -> [适合拍摄大桥外观]; [火车轨道] -> [火车班次多]
[曲径通幽的选址] -> [位置隐蔽]; [空间融合设计] -> [浑然一体]
[下关电厂] -> [历史厚重感]; [小红楼] -> [文化传承]
[中山码头] -> [轮渡性价比高]; [浦口火车站] -> [出片好看]
[中山码头] -> [有故事感]; [复古风格建筑] -> [文艺氛围]
[中山码头轮渡] -> [运营时间安排清晰]
[下关火车主题公园] -> [适合拍照]; [傍晚江边] -> [凉快]
[观景平台] -> [宽阔江面一览无遗]; [傍晚时分] -> [最佳选择]
[长江大桥] -> [气势磅礴]; [长江大桥] -> [红色精神]
[轮渡] -> [功能完善]
[轮渡] -> [性价比高]; [滨江路线] -> [风景优美]; [玻璃栈道] -> [出片]
[火车站台、书店车厢] -> [出片]; [废弃码头石阶] -> [出片]
[中山码头] -> [多功能使用]; [夕阳] -> [浪漫氛围]
[阅江楼] -> [非常值得]; [玻璃栈桥] -> [仿佛看到时间的轨迹]; [长江大桥夜景] -> [夜景很美]
[樱花在夜色中] -> [更显美丽]
[玻璃栈道] -> [出片]; [铁路轮渡栈桥旧址] -> [包含日落]
[轮渡] -> [仿佛穿越回了旧时光]; [夕阳下的江面] -> [美成了一幅画]
[夕阳] -> [醉美]
[轮渡] -> [最佳深度体验长江]; [破旧售票处] -> [历史感强]
[江景] -> [风景很好]; [民国建筑] -> [装修有特色]
[玻璃栈道] -> [感兴趣]; [交通路线] -> [路线清晰]
[长江大桥] -> [壮观]; [桥塔] -> [宏伟]; [夜景灯光] -> [氛围感强]
[下关火车主题公园] -> [好看/出片]; [绿皮火车] -> [巨好拍]
[下关火车主题公园] -> [有设计感]; [拼接的火车头] -> [有创意]
[夕Space] -> [浪漫氛围]
[江豚] -> [惊喜]; [夕阳] -> [浪漫]; [玻璃栈道灯光] -> [夜晚出片]
[天台] -> [视野超级好]; [滨江公园] -> [不能遛狗]
[浦口火车站] -> [充满历史感]; [下关火车主题园] -> [拍摄人文、历史风超有质感]; [牛首山佛顶宫] -> [超震撼的佛教文化建筑]
[浦口码头] -> [有生活气息]
[落日] -> [出片]; [亮灯后的景观] -> [真的美]
[浦口码头] -> [拍照打卡点]; [中山码头到浦口码头渡轮] -> [可以看到南京长江大桥]
[芦苇荡] -> [拍人像很出片]; [江边视野] -> [视野超级开阔]
[下关火车主题公园] -> [好看/出片]; [日落] -> [浪漫]; [玻璃栈道] -> [视野好]
[扬子江生态公园] -> [悠闲; 开阔]; [南京北站] -> [朱自清《背影》里的火车站]
[民国时期建筑旧址] -> [有历史感]; [铁路轮渡] -> [时代特色]
[南京长江大桥] -> [国家重点交通设施]
[南京长江大桥] -> [有历史感; 有文化底蕴; 有象征意义]
[夕阳] -> [超美]; [长江大桥] -> [地标感]
[下关] -> [有历史感]; [鼓楼滨江] -> [熟悉/陌生]
[电厂旧址] -> [有设计感]; [临江座位] -> [便于拍照观景]
[南京长江大桥] -> [争气桥]; [双层式铁路公路两用桥梁] -> [自主设计建造]
[民国海军医院旧址] -> [经典中西合璧设计]; [回字形石子路和梧桐林荫大道] -> [复古氛围浓厚]
[长江大桥] -> [象征意义/标志性建筑]
[下关火车主题公园] -> [有历史感]; [下午3-4点半光线] -> [掌管氛围感]
[夕Space落日餐厅] -> [位置很好]; [日落] -> [绝美]
[滨江公园] -> [独一份的松弛感]; [夕阳] -> [满目金黄]
[百年火车站] -> [有历史感]; [火车站建筑] -> [有文化底蕴]
[玻璃栈道] -> [适合拍照]; [江边路南段] -> [岁月静好]
[站房外观] -> [具有历史美感]
[达摩雕像群] -> [好出片]; [樱花天梯] -> [特别美]; [滨江风貌区] -> [清静惬意]
[中山码头] -> [有回忆]; [滨江风光带] -> [很洋气]
[铁路轮渡栈桥旧址] -> [有历史感]; [江边风景] -> [风景宜人]
[浦口火车站] -> [文学名胜]; [浦口大马路] -> [沉浸感强]
[江豚观赏地] -> [有历史感]
[江豚观赏地] -> [未看到江豚]
[玻璃栈道] -> [有设计感]; [长江大桥] -> [标志性建筑]
[下关火车主题公园] -> [动人画卷]; [波光粼粼的江面] -> [心醉]
[武庙闸] -> [有氛围感]; [阳光码头] -> [日落出片]
[浦口码头] -> [复古风情]; [船顶观景台] -> [视野开阔]
[江边] -> [巨美]; [轮渡] -> [拍好看照片]; [玻璃栈道] -> [灯光亮化]
[轮渡] -> [票价太益民]; [朱自清背影车站] -> [历史感]
[滨江风光带] -> [适合拍人像写真]; [老南京馄饨] -> [好吃]
[小径] -> [路线清晰]; [儿童游乐+西餐厅] -> [设施齐全]
[小摊夜市] -> [童年旧时光的感觉]; [胖子鱿鱼] -> [童年记忆]
[军舰模型] -> [震撼]; [历史展示] -> [历史厚重感]
[浦口火车站] -> [有历史感]
[铁皮火车] -> [怀旧]; [玻璃栈道] -> [人巨多]
[下关火车主题园] -> [有历史感]
[夕Space落日餐厅] -> [临江优美环境]; [夕Space落日餐厅] -> [独特外形设计]
[汽渡] -> [小众景点]; [二三楼甲板] -> [体验风的感觉]
[江豚] -> [浪漫]; [映虹桥] -> [网红]; [轮渡] -> [视野开阔]
[民国建筑] -> [有历史感]; [无尽夏花卉] -> [色彩斑斓]; [环境] -> [闹中取静]
[轮渡] -> [价格实惠]; [长江日落] -> [绝美]
[101明潮里] -> [潮流艺术园区]; [阅江楼] -> [中式美学氛围拉满]
[下关滨江] -> [视野开阔]
[网红路牌] -> [出片]; [江边平台] -> [视野开阔]; [主题餐厅] -> [平价]
[长江大桥南桥头堡] -> [地标意义]
[长江大桥夜景] -> [好看]; [江水拍打两岸] -> [像海边]
[钢窗] -> [线条简洁]; [钢窗] -> [造型利落]; [钢窗] -> [通透性增强]
[浦口火车站] -> [有历史感]; [江景] -> [历历在目]
[火车车厢] -> [超级适合出片]
[轮渡] -> [体验历史感]; [日落] -> [美美]; [玻璃栈道] -> [出片]
[中山码头] -> [排队人群震惊]
[渡轮] -> [票价便宜]; [朱自清站台] -> [有文化意义]
[鼓楼滨江] -> [视野开阔]; [落日] -> [美]
[浦口火车站] -> [有代入感]; [废弃铁轨] -> [非常颓旧]
[民国建筑] -> [有设计感]; [梧桐大道] -> [浪漫]
[玻璃栈道] -> [美不胜收]; [夕阳与灯光交相辉映] -> [雄伟壮观]
[下关电厂旧址] -> [真的太美了]
[长江大桥] -> [开阔江景]; [中山码头] -> [交通便利]
[停车场] -> [停车方便]; [大桥公园关闭] -> [无法进入和参观纪念馆]
[仿宫殿形式的两层建筑] -> [具有鲜明的折衷主义建筑风格]; [朱执信纪念碑] -> [纪念民主革命家]
[江豚] -> [最幸福]; [落日余晖] -> [美]
[蓝调灯光] -> [太动漫了]; [动漫风格建筑] -> [有设计感]
[废弃建筑] -> [框架构图]; [江边景观] -> [随手拍都会很美]
[微光咖啡Shimmer Cafe] -> [有设计感]; [江景] -> [特别优美]
[连体双屋顶建筑] -> [形式还很特别]; [民国国企宿舍] -> [很难🉐的]
[轮渡] -> [价格实惠]; [观景台] -> [适合看夜景]; [玻璃栈道] -> [安全设计]
[下关火车主题公园] -> [适合人像拍摄]
[101明潮里] -> [工业风出片]; [阅江楼] -> [中式美学氛围拉满]
[轮渡] -> [功能性受限制但提供替代方案]
[下关火车主题公园] -> [美丽日落]; [玻璃栈桥] -> [恐高感]
[路口; 道路] -> [路线清晰]
[落日余晖] -> [浪漫]
[民国建筑旧址] -> [有故事感]; [玻璃栈道] -> [最佳欣赏落日地]
[下午阳光] -> [超出片]
[落日] -> [浪漫]; [晚风] -> [浪漫]
[下关火车主题园] -> [太美太出片]; [青草和小雏菊] -> [充满生机灵动]
[中山码头轮渡日落] -> [氛围感强]; [江苏省美术馆] -> [文艺]
[夕Space] -> [最浪漫的江景日落]; [落日余晖] -> [浪漫]
[扬子江生态公园] -> [城市里的海边乌托邦]; [江景] -> [绝美自然风光]
[火车模型] -> [功能单一]; [江边] -> [可以拍情绪片]
[锈迹斑驳的雨廊] -> [有历史感]; [褪色的南京北站牌匾] -> [有故事感]
[复古火车站台] -> [有氛围感]; [绿皮火车] -> [有设计感]
[玻璃栈道] -> [超级适合情侣拍照]; [望江亭+步行可达] -> [路线清晰]
[滨江风光带] -> [氛围感强]
[橘黄洋红色彩] -> [浪漫]; [中山码头] -> [有历史感]
[栈桥] -> [包出片]
[南京北站] -> [有文化底蕴]; [整修后] -> [干净]
[江豚在江面上玩耍] -> [具有生态价值和观赏意义]
[下关火车主题公园] -> [有氛围感]; [废弃房屋] -> [背景点缀]
[中山码头落日] -> [最美]; [粉色晚霞] -> [超级浪漫]
[轮渡] -> [很出片]; [长江和大桥景观] -> [很好]
[老街区道路] -> [交通拥堵]; [小吃摊] -> [价格偏高]
[南堡公园电梯] -> [不对外开放]
[骑行道] -> [路线清晰且骑行顺畅]
[落日余晖] -> [刚好看到]
[老浦口火车站] -> [复古文艺; 出片]; [青奥体育公园] -> [场馆设施超棒]; [江北图书馆] -> [设计感十足]
[南京长江大桥] -> [承载几代南京人的记忆]; [南京长江大桥] -> [像是走进了一部老电影]
[民国建筑风格] -> [有历史感]
[南京长江大桥] -> [最佳视角]; [蓝调时刻] -> [迷人的蓝色]
[中山码头] -> [交通便利]; [渡轮] -> [视野好]; [长江大桥] -> [晚上灯光好看]
[浦口火车站老街区] -> [保留历史风貌]; [施工中的毛毛虫状态] -> [有发展潜力]
[下关火车主题公园] -> [老地方]
[防洪墙] -> [散步非常惬意]; [绿皮火车车厢] -> [很有趣]
[江豚观赏台] -> [发现江水变清]; [民国首都电厂旧址公园] -> [一部活着的百年电厂史]; [扬子饭店] -> [彷佛置身德国天鹅堡]
[斑驳的墙面] -> [有岁月痕迹]; [破旧房屋] -> [历史感]
[轮渡二层窗户] -> [拍出剪影感]; [傍晚三四点] -> [可以看日落]
[三层轮渡] -> [可以自由拍照]; [三楼甲板] -> [视线好无遮挡]
[灯光秀] -> [很是震撼]; [标志性建筑群] -> [现代感]
[绿皮火车] -> [有历史感]; [长江大桥背景] -> [拍照非常nice]
[长江大桥南桥头堡] -> [视野非常开阔]; [紫峰大厦天际线] -> [出片]
[长江大桥] -> [百年历史美感]; [晚霞] -> [景色美丽]
[阅江楼] -> [景色很美]; [玻璃栈桥] -> [巨出片]
[轮渡] -> [价格低廉，性价比高]; [轮渡] -> [有历史感和文化意义]
[下关火车主题公园] -> [描绘民国时期的油画]; [灯塔落日] -> [浪漫]; [观景平台] -> [视野绝佳]
[下关西火车主题街区] -> [人少空气好]; [围炉煮茶设施] -> [放松氛围]
[红顶黄墙英式建筑] -> [有设计感]; [百年历史] -> [有历史感]
[南京长江大桥] -> [收费服务]
[玻璃栈道] -> [路线清晰]; [江景] -> [优美]
[180度开阔的江景] -> [外形吸睛]; [甲板] -> [适合拍照]
[下关西主题街] -> [出大片]; [美食街] -> [餐饮服务齐全]
[火车] -> [好看/出片]
[网红灯塔] -> [好看/出片]; [落日] -> [浪漫]
[玻璃栈桥] -> [太浪漫]; [大桥灯光] -> [浪漫氛围]
[火车车厢] -> [空间较狭窄]; [江边芦苇荡] -> [自然美]
[扬子江生态公园] -> [江景无敌]; [民国机电厂遗址] -> [充满历史感]
[网红灯塔] -> [好看/出片]; [滨江步道] -> [路线清晰]
[玻璃栈道] -> [有特色]; [景观灯] -> [明亮]
[浦口火车站] -> [有历史感]; [民国风格建筑] -> [有设计感]
[出片场景] -> [好看/出片]
[下关西主题街区] -> [超美]; [江景] -> [完美结合]; [民国特色火车主题] -> [很有氛围]
[朱自清雕像] -> [与课文关联]; [没有卖橘子] -> [失望]
[101明潮里] -> [艺术园区]; [阅江楼] -> [中式美学氛围拉满]; [银杏树] -> [观赏期]
[夜灯] -> [夜景很美]
[下关火车主题公园] -> [宛如童话世界]; [长江景观] -> [美哭]
[玻璃栈道] -> [视野开阔]; [高空眩晕感] -> [紧张/焦虑]
