行为活动_Behavior_Activities,行为活动_Behavior_Approach_Avoidance_Intent,行为活动_Behavior_Plan_Change,行为活动_Behavior_Activity_Evaluation
建设; 改造; 驻防; 商业经营; 游览想象,不会再来（已拆除）,否,兼具军事与民用功能
乘坐轮渡; 参观展览; 游览; 拍照; 亲子活动; 文化探索,推荐; 下次还来,否,渡轮旅行结合历史文化体验令人满意
观景; 拍照; 看日落,推荐,否,认为观赏日落体验很好
拍照; 观景,推荐/下次还想来,否,
步行,,否,
乘坐轮渡; 拍照; 观景; 游览; 参观博物馆; 观看江豚; 散步; 购买小吃; 阅读,推荐; 想常来; 卡着日落时间点再来,是（轮渡停航时先游玩江边路）,靠窗位置适合拍照; 江豚观赏有季节性; 景观平台视野开阔
乘坐轮渡; 观景,推荐三层甲板体验,否,认为花钱上三楼甲板是值得的体验
散步; 拍照; 观景; 乘坐轮渡; 游览,推荐; 下次还来,否,一路上走走停停拍拍照，吹吹风，verygood
观景; 拍照; 就餐,推荐,否,感受到时光变迁中的不变温情
步行; 观光; 拍照; 乘坐轮渡,推荐（适合亲子游）,否,小小孩肯定吃不消
散步; 摄影,下次还会来,否,摄影机会一般但放松效果好
散步; 观景; 品尝咖啡; 探索新店,推荐/会再来,否,咖啡出人意料的好喝
拍照; 观景; 阅读; 科普教育; 品尝美食; 骑行; 休闲散步; 旅游打卡,推荐; 下次还来; 想常来,否,电影感写真效果好；光影绝美；亲子互动满意
观光游览; 拍照; 步行探索,推荐; 下次还来,否,认为值得一游并愿意再次前往
通勤; 观察,,否,日常通勤中的观察体验
乘坐轮渡; 骑行; 散步; 拍照; 观景,推荐/下次还来,否,拍照体验好; 观景令人满意
观景; 拍照,推荐/想再来,否,日落观赏体验很好
喝咖啡; 观察窗外风景; 休闲阅读或写作,未明确表达推荐或回避意愿,否,咖啡体验适合周末放松
,,,
乘坐渡轮; 观景; 拍照,推荐/下次还来,否,很出片
拍照; 延时摄影; 游览,推荐该拍摄点,否,认为是不错的拍摄选择
拍照; 打卡; 逛街; 就餐; 参观; 亲子活动,推荐; 下次还来,否,街区丰富度令人满意
散步; 观看日落; 拍照; 城市漫步; 参观景点,推荐前往; 表达强烈兴趣,否,认为这是一次非常值得的城市漫步体验
拍照; 观赏,可能吸引游客前来打卡,否,
摄影; 观赏落日,推荐; 下次还来,否,拍照体验满意
,,否,
,,,
,,,
拍照; 乘坐轮渡; 观景; 打卡; 参观博物馆; 阅读; 亲子活动; 玩耍; 挖沙子; 看日落,推荐; 下次还来,否,拍照很出片; 亲子活动丰富有趣; 坐船体验很棒
观景,推荐/表达正面体验,否,对自然景观表示满意
拍照; 游览; 乘坐轮渡,推荐; 下次还来,否,拍摄体验很好，建议朋友同行
遛狗; 散步; 询问情况,不会再来专门探看,是（改变原计划路线）,原本想近距离观察但未能实现
散步; 拍照; 乘坐轮渡; 观景; 打卡; 看日落; 游览; 参观历史遗址,推荐; 想常来,否,城市漫步很浪漫; 拍照出片效果好
,无法判断,无法判断,无法判断
乘坐轮渡; 骑行,无明显回避或推荐意图,是（改变出行方式，选择骑电动车）,对排队制度不满意，采用替代方案
乘坐轮渡; 拍照; 观景; 看落日,推荐; 下次还来,否,船行驶在江面上真的蛮壮观
城市漫步; 参观纪念馆; 晨间散步; 观景; 游玩游乐项目; 捡树叶,推荐他人来南京体验,否,感受到童年乐趣; 学习历史知识很受鼓舞
夜间游览; 观景; 拍照,推荐/计划前往,否,需要准备防蚊用品以提升体验
拍照; 散步,想来拍照,否,拍照体验满意
观光游览; 餐饮消费; 城市漫步; 使用旅行APP规划行程,推荐南京旅游,否,使用圆周旅迹做攻略，行程规划可以轻松搞定
乘坐轮渡; 拍照; city walk; 游览历史遗迹; 观看江豚; 散步; 露营; 参加音乐节; 喝咖啡; 独处,推荐; 想常来,否,露营氛围感绝啦; 音乐节服务和氛围很nice
骑行; 速滑; Citywalk; 徒步; 观景; 观赏江豚; 看日落,推荐; 下次还来,否,骑行、速滑、Citywalk等活动体验良好; 观景和看日落体验佳
观景; 拍照; 散步; 看日落,无明显回避，但有提醒（蚊子、晕船）,否,认为灯光秀值得一看，BGM加分
散步; 观景; 拍照; 游玩; 听音乐; 戏水; 就餐,推荐；下次还来；想常来,否,没有后悔出门；玩得很尽兴；菜也不错；一天画上完美句号
乘坐轮渡; 游览; 拍照; 参观; 品尝咖啡,不推荐/不会专门再来,否,渡轮体验新颖但整体景点质量不高
乘坐轮渡; 拍照; 游览; 观景; 散步; 乘坐公交,推荐/下次还来,否,逛一逛还是挺舒服的
乘坐轮渡; 拍照; 购买小吃,推荐（拍照点+美食）,否,轮渡性价比高，拍照值得，烧饼好吃
参观; 骑行; 观展; 寻找亲人,推荐/怀念浦口火车站的历史意义,否,印象深刻且触动内心
拍照,推荐; 想常来,否,拍照过程让人放松并忘记烦恼
游览; 观景,推荐/感兴趣,否,
游玩; 丢石子; 散步; 观景,推荐,否,小朋友在江边就能玩好久好久
拍照; 游览; 逛夜市,不建议作为主力拍摄点,否,拍照体验有趣且有氛围感
观江豚; 拍照; 游览; 科普学习; 购物; 观看自然生态展示; 与工作人员交流; 聆听讲解; 散步; 观落日,强烈推荐; 表达重访意愿,否,江豚观赏令人惊喜; 科普体验丰富有趣; 购物带来乐趣; 整体体验让人放松治愈
乘坐轮渡; 拍照; 游览; 品尝美食; 散步,推荐; 下次还来,否,拍照很出片; 吃饭便宜好吃
拍照; 打卡; 参观; 了解历史,推荐拍照打卡,否,适合拍照打卡
步行; 观景; 拍照; 计划重访,推荐; 下次还来,否,步行体验虽然有点累但很值得
乘坐轮渡; 观景; 交通出行,中性态度，无明显推荐或劝退,否,作为交通工具功能完善但缺乏休闲吸引力
乘坐轮渡; 观景; 拍照; 散步; 游览广场; 计划下次参观,推荐; 下次还来,否,轮渡出片体验满意；广场吹江风很舒服
,,,
观光旅游; 教育学习; 商务办公; 休闲娱乐,推荐/感兴趣,否,无法判断
Citywalk; 拍照; 参观展览; 喝咖啡; 体验模拟飞行; 打卡; 游览,推荐; 想常来,否,沉浸式体验非常满意
游览; 拍照; 乘坐轮渡; 饮用咖啡,推荐/下次还来,否,咖啡体验融入文化背景
乘坐轮渡; 散步; 拍照; 观景; 游览历史街区; 亲子活动; 休闲娱乐,推荐; 想常来,否,带小朋友坐坐轮渡来乐园逗留虚度下时光真的是不错的选择
乘坐轮渡; 拍照; 游览; 骑行; 观景; 听讲解; 购买文创产品; 亲子活动,推荐; 下次还来,否,逆光剪影出片满意; 江豚讲解有趣; 文创产品吸引人
乘坐轮渡; 拍照; 观察人群; 沉思; 游览,推荐; 下次还来,否,认为坐轮渡是非常值得的体验
观景; 拍照; 打卡,推荐; 下次还来,否,日落晚霞非常浪漫
乘坐轮渡; 拍照; 漫步; 游览,推荐; 下次还来,否,轮渡旅程惬意; 拍照出片; 浦口火车站沉浸感强
,,,
散步; 拍照; 观景; 打卡; 听音乐,推荐; 下次还来,否,拍照很出片
乘坐轮渡; 拍照; 观景,推荐; 建议选择船头位置; 记得穿有质感的衣服,否,拍照有感觉; 拍照出片效果好
散步; 观景; 乘坐轮渡,推荐/想来/会再来,否,江边吹风很舒服
,,,
游览; 拍照; 阅读相关文学背景; 寻找《背影》场景; 参观旧物仓,推荐; 想常来,否,能在这里找到属于自己的乐趣
拍照; 观看日落; 乘坐渡轮; 散步,推荐; 想常来,否,拍照很出片; 观赏日落很浪漫
拍照; 游览,推荐; 下次还来,否,拍照很出片
乘坐轮渡; 拍照; 游览; 散步; 骑行,推荐; 下次还来,否,认为行程安排合理，适合打卡和拍照
参观; 游览; 了解历史,可能吸引对历史感兴趣者前来参观,否,
了解历史; 参观,推荐参观/值得了解其历史,否,
散步; 观景; 拍照,想来参观,无法判断,适合散步和观景
乘坐轮渡; 打卡拍照; 游览浦口站旧址,下次会再来（隐含）,否,视野好；适合打卡拍照
观光; 休闲; 娱乐; 健身,关闭状态导致无法访问,否,
拍照; 打卡; 散步; 探索,推荐; 下次还来,否,拍照很出片
跑步; 欣赏风景; 探索新路线,期待下次解锁新的路线,否,身心享受跑步的乐趣
散步; 观景; 拍照; 旅行打卡; 乘坐渡轮; 参观; 就餐; 阅读; 观看江豚; 体验玻璃栈道,推荐；下次还想来,否,观景体验良好；餐厅环境舒适；玻璃栈道刺激但不敢尝试
,,,
散步; 观景; 拍照; 发呆,推荐前往体验,否,拍照很有复古感; 发呆让人变安静
乘坐轮渡; 拍照打卡; 游览历史遗迹; 阅读文学作品关联,推荐首次游客前往,否,轮渡性价比高；楼上观景值得
拍照,推荐/会再来,否,拍照体验很好
拍照; 散步; 观景; 摄影创作,推荐; 下次还来,否,光线柔和，拍摄体验很好
探索; 游览,推荐; 想常来,否,探索体验有价值
乘坐轮渡; 拍照; 观景; 游览; 散步; 阅读（江豚书屋）; 夜间游览,推荐; 想常来; 可能再次游览,否,体验感特别棒; 拍照很出片
拍照; 摄影创作; 观察交通; 欣赏城市景观,推荐; 下次还来,否,拍摄体验很好，认为是最佳机位
参观火车公园; 拍照; 用餐; 读书; 休闲,推荐; 下次还来,否,可以吃吃喝喝还可以放肆拍照; 在这边休闲一下也是很不错的
乘坐轮渡; 拍照; 观景; 散步; 游览,推荐；强烈建议体验轮渡并去上层甲板,否,拍照体验很好；轮渡值得推荐
拍照; 观景,推荐/下次还来,否,美美的出片
散步; 游览,推荐（周末值得去）,否,整体体验积极
拍照; 观景; 回忆往事,推荐; 想常来,否,拍照并回忆过往感到温馨
拍照; 观景; 散步,推荐; 下次还来,否,轻松拍出海边日落黄昏感觉
欣赏日落; 观赏夜景; 游戏; 跑步,推荐; 下次还来,否,跑步很顺畅; 游戏很开心
游览; 拍照; 观景; 步行,推荐（并提供避坑建议）,否,感受到历史与现代的碰撞，觉得别有一番韵味
散步; 观景; 拍照; 乘坐轮渡; 阅读; 品尝饮品; 参观景点; 城市漫步,推荐; 下次还来,否,很悠闲舒服的路线
参观游览; 拍照留念; 学习历史; 观看影视作品取景地,推荐参观,否,认为这里是具有重要文化价值的遗址
散步; 纳凉; 拍照; 观景; 休闲休憩; 烧烤; 亲子活动; 坐江边; 观人,推荐; 想常来,否,散步很舒服; 看风景很治愈
喝咖啡; 观景; 拍照; 休息,推荐; 下次还来,否,咖啡和环境都很满意
,,否,
散步; 拍照; 观景; 打卡; 骑行; 乘坐轮渡; 饮用咖啡; 游览,推荐; 下次还来,否,拍照很出片; 观赏日落很治愈; 咖啡是city walk好搭子
打卡; 拍照; 游览,推荐; 想常来,否,打卡体验满意
乘坐轮渡; 观赏日落; 拍照; 计划再次体验,下次还来,否,体验感挺不错
旅行观光; 文化参观; 历史纪念; 城市漫步,推荐南京作为旅游目的地,否,
观景; 打卡,推荐去南京长江大桥参观,否,
拍照; 观景; 等待日落,推荐; 想常来,否,拍摄体验良好
散步; 拍照; 打卡,推荐; 可以去打卡,否,拍照很出片
拍照; 观景,推荐; 下次还来,否,拍照体验非常好
参观; 观察; 阅读介绍,推荐了解城市历史,否,感受到丰富的历史内涵
徒步; 骑行; 遛娃; 露营; 摄影; 观景; 打卡; 看晚霞,推荐; 下次还来,否,风景无敌; 拍照很好看; 徒步轻松愉快
,,,
步行; 观光游览; 拍照; 观景; 购物; 参观展览; 乘坐轮渡,推荐,否,游轮性价比高; 江豚观赏略有遗憾但总体满意
乘坐轮渡; 拍照,推荐；建议前往,否,拍照体验满意
打卡; 参观; 游览,推荐,否,
,,,
参观游览; 拍照; 打卡; 亲子活动,推荐/下次还来（因出片而肯定）,否,认为值得带孩子来、有纪念意义
摄影; 游览; 爬楼,推荐该拍摄机位,否,拍摄体验良好，尽管光线条件不佳
拍照; 游览; 乘坐轮渡; 观看夕阳,推荐; 下次还来,否,拍照体验很好
参观; 回忆,未明确表达,否,
,,,
用餐,推荐,否,
参观; 拍照; 打卡; 观景; 乘坐轮渡,推荐拍照打卡地,否,每一处都很出片
乘坐轮渡; 参观历史遗迹; 拍照; 打卡; 观景,推荐,否,认为是值得打卡的文化体验
散步; 拍照; 观景; 打卡; 骑行; 参加市集; 汉服体验; 赏花; 野餐; 看展览,推荐; 下次还来,否,拍照出片效果很好; 汉服体验很有趣; 樱花隧道很有感觉
收藏信息,无法判断,无法判断,无法判断
打卡; 拍照; 阅读; 参观展览; 寻找个人记忆; 品尝饮品,推荐; 下次还来,否,认为是一次不一样的文化体验
游览; 拍照; 盖章; 观察,劝退; 不会再来,否,拍照打卡勉强满足需求，但整体体验差
参观; 学习历史; 观景; 沉思,推荐/想再来,否,感受历史氛围、获得情感共鸣
,,,
乘坐轮渡; 公共交通出行,,否,
散步; 打卡; 购物; 拍照; 赏晚霞; 观灯光秀,推荐/下次还来,否,购物和拍照体验满意
推荐旅游目的地,促进前往南京的意愿,否,
拍照; 游览; 参观; 观景,推荐; 想常来,否,旗袍与民国建筑完美融合，出片效果好
散步; 购物; 拍照; 观景,推荐/下次还来,是（被场景吸引而改变原计划）,购买橘子和拍照体验满意
旅游; 拍照; 参观历史遗迹; 公共交通出行; 观察路人互动,真的好喜欢南京两块钱的轮渡,否,白天当游客晚上流浪的旅行方式很有趣
拍摄; 小组合作,,否,
通知恢复营业,推荐/重访意愿（隐含）,否,
打卡; 拍照; 品尝甜品; 观灯,推荐/下次还来,否,品尝江南抹茶小甜品体验良好
,,,
乘坐轮渡; 拍照; 游览,推荐/愿意再来,否,总体来说2块钱的船坐得不错
乘坐轮渡; 散步; 观景; 喝咖啡; 看落日,推荐; 下次还来,否,轮渡便宜方便; 咖啡馆适合消遣; 落日出片
自驾游览; 步行观光; 拍照打卡; 休闲餐饮,推荐（隐含在'来都来了'中）,否,流动性强，游览轻松; 拍照体验满意
,,,
city walk; 拍照; 观景,推荐/想再来,否,欣赏光影效果很浪漫
历史联想; 观察; 思考,,否,
,,,
乘坐轮渡; 拍照; 观景; 观看日落,推荐体验；会再来,否,风景真的很美很美；甲板上也很适合拍照
乘坐轮渡; 游览; 拍照; 亲子活动,推荐家庭出游地点,否,孩子们体验良好，认为是一次成功的亲子活动
散步; 观景; 拍照; 回忆,推荐; 想常来,否,站在玻璃栈道上观赏夕阳很惬意
拍照; 打卡; 游览,推荐; 想常来,否,拍照出片效果好
参观; 学习; 了解历史,,否,
,,,
住房翻修改造; 购买商品房; 集资建房,支持住房改善措施,否,改善了职工居住条件
游览; 拍照; 打卡; 购物,推荐,否,适合拍照打卡
参观; 拍照,,否,
观景; 看日落,推荐/想再来,无法判断,欣赏黄昏景色很放松
游览; 拍照打卡; 喝咖啡; 集章,推荐; 想常来,否,咖啡打卡体验好; 集章活动有趣
乘坐轮渡; 拍照打卡; 观赏江景; 乘坐公交,推荐/值得体验,否,轮渡体验具有打卡价值和观赏性
,,否,
乘坐轮渡; 拍照; 观景; 散步,推荐（轮椅出行的朋友可以来玩呀）,否,整体体验顺畅且风景优美
,,,
city walk; 徒步; 骑行; 拍照; 观景; 吃饭,推荐/下次还来,否,整体体验丰富有意义，但部分路段存在安全隐患
乘坐轮渡; 观景; 拍照; 吹风,推荐; 下次还来,否,感受到无法言喻的自由感
拍照; 散步; 观景,推荐（避开高峰时前往）,否,认为在夕阳下拍照和放松是非常治愈的体验
骑行; 拍照; 观景; 散步; 野餐; 亲子活动; 乘坐轮渡,推荐; 下次还来,否,骑行很顺畅; 拍照很好看; 野餐很放松
观景; 看日落,无法判断,无法判断,无法判断
游览; 拍照; 观景; 乘坐交通工具,推荐; 下次还来; 想常来,否,穿越千年风华
散步; 观景; 打卡; 拍照; 城市漫步,想常来,否,对探索历史文化线路充满兴趣
观赏江景; 发呆; 拍照; 等待日落,推荐; 下次还来,否,发呆很治愈; 拍照很出片
观赏江豚; 打卡,接近意愿,无法判断,无法判断
观光游览; 拍照; 歇息; 城市漫步,推荐部分景点/可能不会再来火车主题公园,否,整体满意，除火车主题外
乘坐轮渡; 观景; 拍照; 散步,推荐; 可以尝试,否,适合随缘逛逛的轻松活动
拍照; 观景; 等待火车; 乘坐地铁; 乘坐公交; 步行,推荐玻璃栈道拍摄点，但冬季需注意保暖,否,拍摄体验满意但冬季寒冷影响整体舒适度
探店; 回访体验,推荐; 想常来,否,对空间融合设计表示赞赏
参观游览; 艺术欣赏; 喝咖啡; 历史研究,推荐/有兴趣前往,否,
乘坐轮渡; 观赏落日; 拍照; 打卡; 游览,推荐; 下次还来,否,轮渡性价比高；拍照体验好；文化氛围浓厚
拍照; 纪念,推荐/愿意进行摄影纪念,否,
参观; 拍照; 游览,推荐或感兴趣前往,否,
通勤; 出行规划,,否,
拍照; 散步; 观赏江景,推荐; 下次还来,否,拍照体验很好
乘坐轮渡; 观景; 看日落,推荐; 下次还来,否,观赏日落体验极佳
拍照,推荐（隐含）,否,拍照记录体验良好
乘坐轮渡; 游览; 亲子活动,积极前往（防讯结束后立即出发）,否,
乘坐轮渡; 拍照; 观景; 游览; 散步; 购物; 品尝小吃; 阅读; 观看江豚,推荐; 想常来,否,轮渡性价比高; 整体行程轻松愉快
拍照; 散步; 观景; 阅读; 咖啡消费,推荐,否,拍摄效果满意
乘坐轮渡; 喝咖啡; 观景; 看夕阳,推荐/可能再来,否,享受喝咖啡和看夕阳的结合体验
观光游览; 拍照; 散步; 观景; 看夜景,推荐白天参观；不推荐晚上上桥,否,整体轻松愉快，但夜晚体验受限
观景,未明确提及,否,对夜间观赏樱花的体验持正面评价
拍照; 散步; 看日落; 旅行; 骑行; 乘坐轮渡,推荐; 想常来,否,拍摄体验良好; 路线实用
乘坐轮渡; 观赏江景; 拍照; 休闲游览,推荐; 下次还来,否,整个轮渡过程很出片且体验感强
看日落; 拍照; 打卡,推荐/下次还来,否,
,,,
乘坐轮渡; 游览历史遗址; 散步; 拍照; 品尝美食; 购物; 观景,强烈推荐; 必去,否,轮渡体验推荐; 美食丰富满意
,,,
就餐; 观景; 散步; 亲子活动; 乘坐轮渡,推荐; 下次还来,否,整体旅程非常惬意，美食与休闲结合良好
观光游览; 乘坐公共交通; 就餐,推荐/下次还来,否,烤肉体验很好
远观; 乘坐轮渡; 参观; 漫步; 骑行; 拍照; 观景,下次还来,否,轮渡性价比高; 拍照体验好
拍照; 摄影花絮录制,想再来/推荐,否,拍摄体验很好，“巨好拍”
散步; 游览,无明确意图，但表现出兴趣,无法判断,对火车头的设计感到满意
求婚; 拍照; 共进餐食,推荐; 想再次光临,否,求婚成功，体验非常满意
观景; 拍照; 散步; 游览,推荐; 想常来,否,感到惊喜且满意
城市漫步; 观景; 遛狗（未完成）,推荐不带狗时来访,是（因规定改变游览计划）,在天台看风景也算不虚此行
拍照; 游览; 打卡,推荐; 想去打卡,否,随手拍出文艺大片; 效果更好
购物; 观察,愿意购买并停留,否,觉得物品真实有趣且价格合理
打卡; 观景; 看日落,推荐; 下次还来,否,打卡体验满意
乘坐轮渡; 拍照; 游览; 盖章,推荐,否,拍照体验满意; 交通便利度满意
拍照; 观景; 等待日落; 散步,推荐; 下次还来,否,拍照体验很好; 日落过程令人享受
拍照; 观景; 打卡; 散步; 骑行; 看日落,推荐; 下次还来,否,拍照很出片; 散步很放松
乘坐轮渡; 拍照; 游览; 观景; 散步; 听歌,推荐; 想常来,否,下午的光拍人像很好看; 扬子江生态公园适合放慢脚步坐下来
散步; 观景; 拍照; 打卡; 亲子活动; 看江豚,推荐; 下次还来,否,适合周末休闲散步、了解历史
,,否,
无法判断,无法判断,否,
乘坐轮渡; 拍照打卡; 散步; 观景; 阅读文学作品; 游览历史建筑; 欣赏夕阳,推荐; 下次还来,否,认为夕阳景色很美; 觉得回程人少体验更好
,,否,
观赏日落; 用餐; 拍照; 聊天; 听音乐; 约会,推荐; 下次还来,否,薄脆披萨好吃; 拍照观景方便; 上菜较慢但整体体验好
,,,
参观; 拍照; 散步; 历史探索,推荐; 想常来,否,复古拍照体验好
,,,
拍照; 打卡; 观景,推荐/下次还来,否,模特表现力超好，拍照效果满意
喝咖啡; 观赏日落; 拍照; 晒太阳,推荐; 想常来,是（原计划坐船改为去咖啡店）,喝咖啡很惬意; 拍照满意; 时间过得舒服
散步; 拍照; 观景; 乘坐轮渡; 登高; 游览,推荐; 下次还来,否,心神畅快；心结消了
参观; 怀旧回忆; 拍照留念,推荐参观; 有文化意义值得了解,无法判断,感受到历史厚重感，体验深刻
拍照; 记录生活,鼓励记录生活,否,
,,,
,无法判断,否,无法判断
散步; 骑行; 拍照; 观景; 野餐; 露营; 发呆; 阅读; 看日落,推荐; 下次还来,否,一路闲逛下来很惬意舒服
参观; 游览,无法判断,否,
散步; 拍照; 观景; 登山; 游览; 购物; 观赏非遗表演; 看日落; 夜市消费,推荐; 下次还来,否,整体体验非常好，尤其是摄影和自然景观欣赏
散步; 观景; 回忆; 游览,推荐; 想常来,否,晒太阳很舒服
散步; 观景; 扔水漂; 就餐; 拍照打卡; 参加生日派对（潜在）,推荐前往（不如来下关西）,否,扔水漂带来童年乐趣；火车上提供餐饮服务体验良好
,,,
参观历史遗迹; 拍照; 阅读/思考; 散步; 购物; 喝咖啡; 观景,推荐; 想常来,否,咖啡体验很好；漫步很惬意
观景; 观赏江豚,不会在冬天来,否,
步行,不会再来,否,
,无法判断,无法判断,无法判断
步行; 观景,提供路线推荐,否,
散步; 拍照; 观景; 发呆; 欣赏日落,推荐; 下次还来,否,拍照是美好的瞬间定格
citywalk; 拍照; 观景; 散步; 打卡; 阅读（先锋书店）; 赏花（梅花）,推荐; 下次还来,否,好逛又好拍; 美美地citywalk
乘坐渡轮; 拍照; 观赏风景; 听声音; 休闲发呆,推荐体验,否,即使不拍照也感到治愈
散步; 拍照; 观景; 打卡; 骑行; 乘坐轮渡; 品尝美食; 游览,推荐; 下次还来,否,拍照很出片; 骑行顺畅; 美食体验好
乘坐轮渡; 观景; 游览; 拍照打卡,非常推荐大家去体验一下,否,认为轮渡功能分区合理且价格实惠
散步; 拍照; 观景; 乘坐轮渡; 品尝美食,推荐,否,拍摄体验满意，美食体验良好
散步; 观景; 拍照; 亲子活动; 用餐,推荐; 下次还来,否,散步很惬意；适合全家游玩
,,,
逛街; 购物; 品尝美食; 拍照,推荐; 下次还来,否,所有食物都很好吃
参观展览; 研学体验; 军舰模型制作; 拍照打卡; 历史学习,推荐; 下次还来,否,研学体验寓教于乐
,,,
